Time,Port,Metric,Value
2026-05-11 15:53:50.000,0,imissed,0
2026-05-11 15:53:50.000,0,oerrors,0
2026-05-11 15:53:50.000,0,rx_nombuf,0
2026-05-11 15:53:50.000,0,ierrors,0
2026-05-11 15:53:50.000,0,obytes,0
2026-05-11 15:53:50.000,0,ibytes,538
2026-05-11 15:53:50.000,0,ipackets,2
2026-05-11 15:53:50.000,0,opackets,0
2026-05-11 15:53:50.000,n,Value,1
2026-05-11 15:53:51.000,0,imissed,0
2026-05-11 15:53:51.000,0,oerrors,0
2026-05-11 15:53:51.000,0,rx_nombuf,0
2026-05-11 15:53:51.000,0,ierrors,0
2026-05-11 15:53:51.000,0,obytes,0
2026-05-11 15:53:51.000,0,ibytes,538
2026-05-11 15:53:51.000,0,ipackets,2
2026-05-11 15:53:51.000,0,opackets,0
2026-05-11 15:53:51.000,n,Value,1
2026-05-11 15:53:52.000,0,imissed,0
2026-05-11 15:53:52.000,0,oerrors,0
2026-05-11 15:53:52.000,0,rx_nombuf,0
2026-05-11 15:53:52.000,0,ierrors,0
2026-05-11 15:53:52.000,0,obytes,0
2026-05-11 15:53:52.000,0,ibytes,538
2026-05-11 15:53:52.000,0,ipackets,2
2026-05-11 15:53:52.000,0,opackets,0
2026-05-11 15:53:52.000,n,Value,1
2026-05-11 15:53:53.000,0,imissed,0
2026-05-11 15:53:53.000,0,oerrors,0
2026-05-11 15:53:53.000,0,rx_nombuf,0
2026-05-11 15:53:53.000,0,ierrors,0
2026-05-11 15:53:53.000,0,obytes,0
2026-05-11 15:53:53.000,0,ibytes,538
2026-05-11 15:53:53.000,0,ipackets,2
2026-05-11 15:53:53.000,0,opackets,0
2026-05-11 15:53:53.000,n,Value,1
2026-05-11 15:53:54.000,0,imissed,0
2026-05-11 15:53:54.000,0,oerrors,0
2026-05-11 15:53:54.000,0,rx_nombuf,0
2026-05-11 15:53:54.000,0,ierrors,0
2026-05-11 15:53:54.000,0,obytes,0
2026-05-11 15:53:54.000,0,ibytes,538
2026-05-11 15:53:54.000,0,ipackets,2
2026-05-11 15:53:54.000,0,opackets,0
2026-05-11 15:53:54.000,n,Value,1
2026-05-11 15:53:55.000,0,imissed,0
2026-05-11 15:53:55.000,0,oerrors,0
2026-05-11 15:53:55.000,0,rx_nombuf,0
2026-05-11 15:53:55.000,0,ierrors,0
2026-05-11 15:53:55.000,0,obytes,0
2026-05-11 15:53:55.000,0,ibytes,538
2026-05-11 15:53:55.000,0,ipackets,2
2026-05-11 15:53:55.000,0,opackets,0
2026-05-11 15:53:55.000,n,Value,1
2026-05-11 15:53:56.000,0,imissed,0
2026-05-11 15:53:56.000,0,oerrors,0
2026-05-11 15:53:56.000,0,rx_nombuf,0
2026-05-11 15:53:56.000,0,ierrors,0
2026-05-11 15:53:56.000,0,obytes,0
2026-05-11 15:53:56.000,0,ibytes,538
2026-05-11 15:53:56.000,0,ipackets,2
2026-05-11 15:53:56.000,0,opackets,0
2026-05-11 15:53:56.000,n,Value,1
2026-05-11 15:53:57.000,0,imissed,0
2026-05-11 15:53:57.000,0,oerrors,0
2026-05-11 15:53:57.000,0,rx_nombuf,0
2026-05-11 15:53:57.000,0,ierrors,0
2026-05-11 15:53:57.000,0,obytes,0
2026-05-11 15:53:57.000,0,ibytes,538
2026-05-11 15:53:57.000,0,ipackets,2
2026-05-11 15:53:57.000,0,opackets,0
2026-05-11 15:53:57.000,n,Value,1
2026-05-11 15:53:58.000,0,imissed,0
2026-05-11 15:53:58.000,0,oerrors,0
2026-05-11 15:53:58.000,0,rx_nombuf,0
2026-05-11 15:53:58.000,0,ierrors,0
2026-05-11 15:53:58.000,0,obytes,0
2026-05-11 15:53:58.000,0,ibytes,538
