Time,Port,Metric,Value
2026-05-11 21:26:31.000,0,obytes,0
2026-05-11 21:26:31.000,0,imissed,0
2026-05-11 21:26:31.000,0,rx_nombuf,0
2026-05-11 21:26:31.000,0,oerrors,0
2026-05-11 21:26:31.000,0,ierrors,0
2026-05-11 21:26:31.000,0,ipackets,3
2026-05-11 21:26:31.000,0,ibytes,810
2026-05-11 21:26:31.000,0,opackets,0
2026-05-11 21:26:31.000,n,Value,1
2026-05-11 21:26:32.000,0,obytes,697506404
2026-05-11 21:26:32.000,0,imissed,0
2026-05-11 21:26:32.000,0,rx_nombuf,0
2026-05-11 21:26:32.000,0,oerrors,0
2026-05-11 21:26:32.000,0,ierrors,0
2026-05-11 21:26:32.000,0,ipackets,3
2026-05-11 21:26:32.000,0,ibytes,810
2026-05-11 21:26:32.000,0,opackets,11625143
2026-05-11 21:26:32.000,n,Value,1
2026-05-11 21:26:33.000,0,obytes,2929693420
2026-05-11 21:26:33.000,0,imissed,0
2026-05-11 21:26:33.000,0,rx_nombuf,0
2026-05-11 21:26:33.000,0,oerrors,0
2026-05-11 21:26:33.000,0,ierrors,0
2026-05-11 21:26:33.000,0,ipackets,3
2026-05-11 21:26:33.000,0,ibytes,810
2026-05-11 21:26:33.000,0,opackets,48828261
2026-05-11 21:26:33.000,n,Value,1
2026-05-11 21:26:34.000,0,obytes,5161884648
2026-05-11 21:26:34.000,0,imissed,0
2026-05-11 21:26:34.000,0,rx_nombuf,0
2026-05-11 21:26:34.000,0,oerrors,0
2026-05-11 21:26:34.000,0,ierrors,0
2026-05-11 21:26:34.000,0,ipackets,3
2026-05-11 21:26:34.000,0,ibytes,810
2026-05-11 21:26:34.000,0,opackets,86031446
2026-05-11 21:26:34.000,n,Value,1
2026-05-11 21:26:35.000,0,obytes,7394076048
2026-05-11 21:26:35.000,0,imissed,0
2026-05-11 21:26:35.000,0,rx_nombuf,0
2026-05-11 21:26:35.000,0,oerrors,0
2026-05-11 21:26:35.000,0,ierrors,0
2026-05-11 21:26:35.000,0,ipackets,3
2026-05-11 21:26:35.000,0,ibytes,810
2026-05-11 21:26:35.000,0,opackets,123234636
2026-05-11 21:26:35.000,n,Value,1
2026-05-11 21:26:36.000,0,obytes,9626267140
2026-05-11 21:26:36.000,0,imissed,0
2026-05-11 21:26:36.000,0,rx_nombuf,0
2026-05-11 21:26:36.000,0,oerrors,0
2026-05-11 21:26:36.000,0,ierrors,0
2026-05-11 21:26:36.000,0,ipackets,3
2026-05-11 21:26:36.000,0,ibytes,810
2026-05-11 21:26:36.000,0,opackets,160437823
2026-05-11 21:26:36.000,n,Value,1
2026-05-11 21:26:37.000,0,obytes,11858458128
2026-05-11 21:26:37.000,0,imissed,0
2026-05-11 21:26:37.000,0,rx_nombuf,0
2026-05-11 21:26:37.000,0,oerrors,0
2026-05-11 21:26:37.000,0,ierrors,0
2026-05-11 21:26:37.000,0,ipackets,3
2026-05-11 21:26:37.000,0,ibytes,810
2026-05-11 21:26:37.000,0,opackets,197641004
2026-05-11 21:26:37.000,n,Value,1
2026-05-11 21:26:38.000,0,obytes,14090649460
2026-05-11 21:26:38.000,0,imissed,0
2026-05-11 21:26:38.000,0,rx_nombuf,0
2026-05-11 21:26:38.000,0,oerrors,0
2026-05-11 21:26:38.000,0,ierrors,0
2026-05-11 21:26:38.000,0,ipackets,3
2026-05-11 21:26:38.000,0,ibytes,810
2026-05-11 21:26:38.000,0,opackets,234844195
2026-05-11 21:26:38.000,n,Value,1
2026-05-11 21:26:39.000,0,obytes,16322840020
2026-05-11 21:26:39.000,0,imissed,0
2026-05-11 21:26:39.000,0,rx_nombuf,0
2026-05-11 21:26:39.000,0,oerrors,0
2026-05-11 21:26:39.000,0,ierrors,0
2026-05-11 21:26:39.000,0,ipackets,3
2026-05-11 21:26:39.000,0,ibytes,810
2026-05-11 21:26:39.000,0,opackets,272047371
2026-05-11 21:26:39.000,n,Value,1
2026-05-11 21:26:40.000,0,obytes,18555031244
2026-05-11 21:26:40.000,0,imissed,0
2026-05-11 21:26:40.000,0,rx_nombuf,0
2026-05-11 21:26:40.000,0,oerrors,0
2026-05-11 21:26:40.000,0,ierrors,0
2026-05-11 21:26:40.000,0,ipackets,3
2026-05-11 21:26:40.000,0,ibytes,810
2026-05-11 21:26:40.000,0,opackets,309250557
2026-05-11 21:26:40.000,n,Value,1
2026-05-11 21:26:41.000,0,obytes,20787222288
2026-05-11 21:26:41.000,0,imissed,0
2026-05-11 21:26:41.000,0,rx_nombuf,0
2026-05-11 21:26:41.000,0,oerrors,0
2026-05-11 21:26:41.000,0,ierrors,0
2026-05-11 21:26:41.000,0,ipackets,3
2026-05-11 21:26:41.000,0,ibytes,810
2026-05-11 21:26:41.000,0,opackets,346453740
2026-05-11 21:26:41.000,n,Value,1
2026-05-11 21:26:42.000,0,obytes,23019411460
2026-05-11 21:26:42.000,0,imissed,0
2026-05-11 21:26:42.000,0,rx_nombuf,0
2026-05-11 21:26:42.000,0,oerrors,0
2026-05-11 21:26:42.000,0,ierrors,0
2026-05-11 21:26:42.000,0,ipackets,3
2026-05-11 21:26:42.000,0,ibytes,810
2026-05-11 21:26:42.000,0,opackets,383656895
2026-05-11 21:26:42.000,n,Value,1
2026-05-11 21:26:43.000,0,obytes,25251602024
2026-05-11 21:26:43.000,0,imissed,0
2026-05-11 21:26:43.000,0,rx_nombuf,0
2026-05-11 21:26:43.000,0,oerrors,0
2026-05-11 21:26:43.000,0,ierrors,0
2026-05-11 21:26:43.000,0,ipackets,3
2026-05-11 21:26:43.000,0,ibytes,810
2026-05-11 21:26:43.000,0,opackets,420860070
2026-05-11 21:26:43.000,n,Value,1
2026-05-11 21:26:44.000,0,obytes,27483793060
2026-05-11 21:26:44.000,0,imissed,0
