Time,Port,Metric,Value
2026-05-06 20:07:50.000,1,obytes,0
2026-05-06 20:07:50.000,1,imissed,0
2026-05-06 20:07:50.000,1,rx_nombuf,0
2026-05-06 20:07:50.000,1,oerrors,0
2026-05-06 20:07:50.000,1,ierrors,0
2026-05-06 20:07:50.000,1,opackets,0
2026-05-06 20:07:50.000,1,ibytes,471410010
2026-05-06 20:07:50.000,1,ipackets,7856855
2026-05-06 20:07:50.000,0,obytes,0
2026-05-06 20:07:50.000,0,imissed,0
2026-05-06 20:07:50.000,0,rx_nombuf,0
2026-05-06 20:07:50.000,0,oerrors,0
2026-05-06 20:07:50.000,0,ierrors,0
2026-05-06 20:07:50.000,0,opackets,0
2026-05-06 20:07:50.000,0,ibytes,0
2026-05-06 20:07:50.000,0,ipackets,0
2026-05-06 20:07:50.000,n,Value,2
2026-05-06 20:07:51.000,1,obytes,0
2026-05-06 20:07:51.000,1,imissed,0
2026-05-06 20:07:51.000,1,rx_nombuf,0
2026-05-06 20:07:51.000,1,oerrors,0
2026-05-06 20:07:51.000,1,ierrors,0
2026-05-06 20:07:51.000,1,opackets,0
2026-05-06 20:07:51.000,1,ibytes,2262035838
2026-05-06 20:07:51.000,1,ipackets,37700606
2026-05-06 20:07:51.000,0,obytes,0
2026-05-06 20:07:51.000,0,imissed,0
2026-05-06 20:07:51.000,0,rx_nombuf,0
2026-05-06 20:07:51.000,0,oerrors,0
2026-05-06 20:07:51.000,0,ierrors,0
2026-05-06 20:07:51.000,0,opackets,0
2026-05-06 20:07:51.000,0,ibytes,0
2026-05-06 20:07:51.000,0,ipackets,0
2026-05-06 20:07:51.000,n,Value,2
2026-05-06 20:07:52.000,1,obytes,0
2026-05-06 20:07:52.000,1,imissed,0
2026-05-06 20:07:52.000,1,rx_nombuf,0
2026-05-06 20:07:52.000,1,oerrors,0
2026-05-06 20:07:52.000,1,ierrors,0
2026-05-06 20:07:52.000,1,opackets,0
2026-05-06 20:07:52.000,1,ibytes,4089953862
2026-05-06 20:07:52.000,1,ipackets,68165916
2026-05-06 20:07:52.000,0,obytes,0
2026-05-06 20:07:52.000,0,imissed,0
2026-05-06 20:07:52.000,0,rx_nombuf,0
2026-05-06 20:07:52.000,0,oerrors,0
2026-05-06 20:07:52.000,0,ierrors,0
2026-05-06 20:07:52.000,0,opackets,0
2026-05-06 20:07:52.000,0,ibytes,0
2026-05-06 20:07:52.000,0,ipackets,0
2026-05-06 20:07:52.000,n,Value,2
2026-05-06 20:07:53.000,1,obytes,0
2026-05-06 20:07:53.000,1,imissed,0
2026-05-06 20:07:53.000,1,rx_nombuf,0
2026-05-06 20:07:53.000,1,oerrors,0
2026-05-06 20:07:53.000,1,ierrors,0
2026-05-06 20:07:53.000,1,opackets,0
2026-05-06 20:07:53.000,1,ibytes,5927084490
2026-05-06 20:07:53.000,1,ipackets,98784763
2026-05-06 20:07:53.000,0,obytes,0
2026-05-06 20:07:53.000,0,imissed,0
2026-05-06 20:07:53.000,0,rx_nombuf,0
2026-05-06 20:07:53.000,0,oerrors,0
2026-05-06 20:07:53.000,0,ierrors,0
2026-05-06 20:07:53.000,0,opackets,0
2026-05-06 20:07:53.000,0,ibytes,273
2026-05-06 20:07:53.000,0,ipackets,1
2026-05-06 20:07:53.000,n,Value,2
2026-05-06 20:07:54.000,1,obytes,0
2026-05-06 20:07:54.000,1,imissed,0
2026-05-06 20:07:54.000,1,rx_nombuf,0
2026-05-06 20:07:54.000,1,oerrors,0
2026-05-06 20:07:54.000,1,ierrors,0
2026-05-06 20:07:54.000,1,opackets,0
2026-05-06 20:07:54.000,1,ibytes,7783275502
2026-05-06 20:07:54.000,1,ipackets,129721282
2026-05-06 20:07:54.000,0,obytes,0
2026-05-06 20:07:54.000,0,imissed,0
2026-05-06 20:07:54.000,0,rx_nombuf,0
2026-05-06 20:07:54.000,0,oerrors,0
2026-05-06 20:07:54.000,0,ierrors,0
2026-05-06 20:07:54.000,0,opackets,0
2026-05-06 20:07:54.000,0,ibytes,273
2026-05-06 20:07:54.000,0,ipackets,1
2026-05-06 20:07:54.000,n,Value,2
2026-05-06 20:07:55.000,1,obytes,0
2026-05-06 20:07:55.000,1,imissed,0
2026-05-06 20:07:55.000,1,rx_nombuf,0
2026-05-06 20:07:55.000,1,oerrors,0
2026-05-06 20:07:55.000,1,ierrors,0
2026-05-06 20:07:55.000,1,opackets,0
2026-05-06 20:07:55.000,1,ibytes,9597203838
2026-05-06 20:07:55.000,1,ipackets,159953406
2026-05-06 20:07:55.000,0,obytes,0
2026-05-06 20:07:55.000,0,imissed,0
2026-05-06 20:07:55.000,0,rx_nombuf,0
