Linux 6.8.0-111-generic (testbed-node6) 	06/05/26 	_x86_64_	(24 CPU)

20:54:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:54:57     all    5,05    0,00    0,25    0,13    0,00    0,00    0,00    0,00    0,00   94,57
20:54:57       0    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:54:57       1    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:54:57       2    1,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   98,00
20:54:57       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:57       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:57       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:57       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:57       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:57       8   99,01    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00
20:54:57       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:57      10    7,00    0,00    1,00    2,00    0,00    0,00    0,00    0,00    0,00   90,00
20:54:57      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:57      12    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:54:57      13    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:54:57      14    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
20:54:57      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:57      16    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
20:54:57      17    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
20:54:57      18    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:54:57      19    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:54:57      20    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
20:54:57      21    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
20:54:57      22    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:57      23    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99

20:54:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:54:58     all    4,78    0,00    0,21    0,04    0,00    0,00    0,00    0,00    0,00   94,97
20:54:58       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58       2    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   99,00
20:54:58       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58       4    2,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
20:54:58       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58       8  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
20:54:58       9    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:54:58      10    7,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
20:54:58      11    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
20:54:58      12    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
20:54:58      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58      17    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58      18    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:54:58      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:58      20    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:54:58      21    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:54:58      22    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
20:54:58      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

20:54:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:54:59     all    4,33    0,00    0,04    0,00    0,00    0,00    0,00    0,00    0,00   95,63
20:54:59       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59       6    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:54:59       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59       8  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
20:54:59       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      11    1,94    0,00    0,97    0,00    0,00    0,00    0,00    0,00    0,00   97,09
20:54:59      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      17    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:54:59      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      21    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      22    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:54:59      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

20:54:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:55:00     all    6,05    0,00    0,67    0,00    0,00    0,00    0,00    0,00    0,00   93,28
20:55:00       0    2,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
20:55:00       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:00       2    3,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
20:55:00       3    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:55:00       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:00       5    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:55:00       6    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
20:55:00       7    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:55:00       8  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
20:55:00       9    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:55:00      10    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
20:55:00      11    4,04    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   92,93
20:55:00      12    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
20:55:00      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:00      14    6,93    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   91,09
20:55:00      15    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
20:55:00      16    2,97    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   95,05
20:55:00      17    3,03    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,97
20:55:00      18    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
20:55:00      19    4,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
20:55:00      20    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
20:55:00      21    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
20:55:00      22    3,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
20:55:00      23    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00

20:55:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:55:01     all    4,37    0,00    0,04    0,00    0,00    0,00    0,00    0,00    0,00   95,59
20:55:01       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01       2    1,96    0,00    0,98    0,00    0,00    0,00    0,00    0,00    0,00   97,06
20:55:01       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01       4    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:55:01       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01       6    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:55:01       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01       8  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
20:55:01       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      10    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:55:01      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      17    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      21    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      22    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:01      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

20:55:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:55:02     all    4,34    0,00    0,00    0,08    0,00    0,00    0,00    0,00    0,00   95,58
20:55:02       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:02       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:02       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:02       3    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:55:02       4    1,96    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,04
20:55:02       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:55:02       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
