Time,Port,Metric,Value
2026-05-13 15:22:46.000,1,opackets,0
2026-05-13 15:22:46.000,1,rx_nombuf,0
2026-05-13 15:22:46.000,1,obytes,0
2026-05-13 15:22:46.000,1,imissed,0
2026-05-13 15:22:46.000,1,ibytes,810
2026-05-13 15:22:46.000,1,oerrors,0
2026-05-13 15:22:46.000,1,ipackets,3
2026-05-13 15:22:46.000,1,ierrors,0
2026-05-13 15:22:46.000,0,opackets,0
2026-05-13 15:22:46.000,0,rx_nombuf,0
2026-05-13 15:22:46.000,0,obytes,0
2026-05-13 15:22:46.000,0,imissed,0
2026-05-13 15:22:46.000,0,ibytes,0
2026-05-13 15:22:46.000,0,oerrors,0
2026-05-13 15:22:46.000,0,ipackets,0
2026-05-13 15:22:46.000,0,ierrors,0
2026-05-13 15:22:46.000,n,Value,2
2026-05-13 15:22:47.000,1,opackets,0
2026-05-13 15:22:47.000,1,rx_nombuf,0
2026-05-13 15:22:47.000,1,obytes,0
2026-05-13 15:22:47.000,1,imissed,0
2026-05-13 15:22:47.000,1,ibytes,649067178
2026-05-13 15:22:47.000,1,oerrors,0
2026-05-13 15:22:47.000,1,ipackets,10817811
2026-05-13 15:22:47.000,1,ierrors,0
2026-05-13 15:22:47.000,0,opackets,0
2026-05-13 15:22:47.000,0,rx_nombuf,0
2026-05-13 15:22:47.000,0,obytes,0
2026-05-13 15:22:47.000,0,imissed,0
2026-05-13 15:22:47.000,0,ibytes,0
2026-05-13 15:22:47.000,0,oerrors,0
2026-05-13 15:22:47.000,0,ipackets,0
2026-05-13 15:22:47.000,0,ierrors,0
2026-05-13 15:22:47.000,n,Value,2
2026-05-13 15:22:48.000,1,opackets,0
2026-05-13 15:22:48.000,1,rx_nombuf,0
2026-05-13 15:22:48.000,1,obytes,0
2026-05-13 15:22:48.000,1,imissed,0
2026-05-13 15:22:48.000,1,ibytes,1856289754
2026-05-13 15:22:48.000,1,oerrors,0
2026-05-13 15:22:48.000,1,ipackets,30938183
2026-05-13 15:22:48.000,1,ierrors,0
2026-05-13 15:22:48.000,0,opackets,0
2026-05-13 15:22:48.000,0,rx_nombuf,0
2026-05-13 15:22:48.000,0,obytes,0
2026-05-13 15:22:48.000,0,imissed,0
2026-05-13 15:22:48.000,0,ibytes,0
2026-05-13 15:22:48.000,0,oerrors,0
2026-05-13 15:22:48.000,0,ipackets,0
2026-05-13 15:22:48.000,0,ierrors,0
2026-05-13 15:22:48.000,n,Value,2
2026-05-13 15:22:49.000,1,opackets,0
2026-05-13 15:22:49.000,1,rx_nombuf,0
2026-05-13 15:22:49.000,1,obytes,0
2026-05-13 15:22:49.000,1,imissed,0
2026-05-13 15:22:49.000,1,ibytes,3082520910
2026-05-13 15:22:49.000,1,oerrors,0
2026-05-13 15:22:49.000,1,ipackets,51375370
2026-05-13 15:22:49.000,1,ierrors,0
2026-05-13 15:22:49.000,0,opackets,0
2026-05-13 15:22:49.000,0,rx_nombuf,0
2026-05-13 15:22:49.000,0,obytes,0
2026-05-13 15:22:49.000,0,imissed,0
2026-05-13 15:22:49.000,0,ibytes,0
2026-05-13 15:22:49.000,0,oerrors,0
2026-05-13 15:22:49.000,0,ipackets,0
2026-05-13 15:22:49.000,0,ierrors,0
2026-05-13 15:22:49.000,n,Value,2
2026-05-13 15:22:50.000,1,opackets,0
2026-05-13 15:22:50.000,1,rx_nombuf,0
2026-05-13 15:22:50.000,1,obytes,0
2026-05-13 15:22:50.000,1,imissed,0
2026-05-13 15:22:50.000,1,ibytes,4290887610
2026-05-13 15:22:50.000,1,oerrors,0
2026-05-13 15:22:50.000,1,ipackets,71514783
2026-05-13 15:22:50.000,1,ierrors,0
2026-05-13 15:22:50.000,0,opackets,0
2026-05-13 15:22:50.000,0,rx_nombuf,0
2026-05-13 15:22:50.000,0,obytes,0
