Linux 6.8.0-111-generic (testbed-node6) 	07/05/26 	_x86_64_	(24 CPU)

17:18:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:18:01     all    1,05    0,00    0,46    0,17    0,00   24,22    0,00    0,00    0,00   74,10
17:18:01       0    0,00    0,00    0,00    0,00    0,00   85,15    0,00    0,00    0,00   14,85
17:18:01       1    0,00    0,00    0,00    0,00    0,00    2,00    0,00    0,00    0,00   98,00
17:18:01       2    0,00    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00   98,99
17:18:01       3    0,00    0,00    0,00    0,00    0,00   53,92    0,00    0,00    0,00   46,08
17:18:01       4    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:18:01       5    0,00    0,00    0,00    0,00    0,00   41,67    0,00    0,00    0,00   58,33
17:18:01       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:18:01       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:18:01       8    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
17:18:01       9    0,00    0,00    0,00    0,00    0,00   42,86    0,00    0,00    0,00   57,14
17:18:01      10    0,00    0,00    1,03    0,00    0,00   53,61    0,00    0,00    0,00   45,36
17:18:01      11    0,00    0,00    0,99    0,00    0,00   56,44    0,00    0,00    0,00   42,57
17:18:01      12    0,99    0,00    0,00    1,98    0,00    0,00    0,00    0,00    0,00   97,03
17:18:01      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:18:01      14    0,00    0,00    0,00    0,00    0,00   54,17    0,00    0,00    0,00   45,83
17:18:01      15    0,00    0,00    0,00    0,00    0,00   55,10    0,00    0,00    0,00   44,90
17:18:01      16    1,02    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   96,94
17:18:01      17    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:18:01      18    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
17:18:01      19   14,85    0,00    3,96    0,00    0,00    0,00    0,00    0,00    0,00   81,19
17:18:01      20    0,00    0,00    0,00    0,00    0,00   77,14    0,00    0,00    0,00   22,86
17:18:01      21    1,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   98,00
17:18:01      22    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
17:18:01      23    0,00    0,00    1,03    0,00    0,00   58,76    0,00    0,00    0,00   40,21

17:18:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:18:02     all    0,46    0,00    0,38    0,00    0,00   23,38    0,00    0,00    0,00   75,78
17:18:02       0    0,00    0,00    0,00    0,00    0,00   83,33    0,00    0,00    0,00   16,67
17:18:02       1    0,00    0,00    0,00    0,00    0,00    1,98    0,00    0,00    0,00   98,02
17:18:02       2    2,97    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   96,04
17:18:02       3    1,94    0,00    0,97    0,00    0,00   52,43    0,00    0,00    0,00   44,66
17:18:02       4    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:18:02       5    0,00    0,00    0,00    0,00    0,00   35,29    0,00    0,00    0,00   64,71
17:18:02       6    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:18:02       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:18:02       8    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
17:18:02       9    0,00    0,00    0,00    0,00    0,00   37,78    0,00    0,00    0,00   62,22
17:18:02      10    0,00    0,00    0,00    0,00    0,00   56,31    0,00    0,00    0,00   43,69
17:18:02      11    0,00    0,00    0,00    0,00    0,00   55,00    0,00    0,00    0,00   45,00
17:18:02      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:18:02      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:18:02      14    0,00    0,00    0,00    0,00    0,00   53,06    0,00    0,00    0,00   46,94
17:18:02      15    0,00    0,00    1,03    0,00    0,00   51,55    0,00    0,00    0,00   47,42
17:18:02      16    0,99    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   97,03
17:18:02      17    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
17:18:02      18    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:18:02      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:18:02      20    0,00    0,00    0,00    0,00    0,00   75,96    0,00    0,00    0,00   24,04
17:18:02      21    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
17:18:02      22    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:18:02      23    0,00    0,00    0,00    0,00    0,00   58,76    0,00    0,00    0,00   41,24

17:18:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:18:03     all    2,13    0,00    1,25    0,00    0,00   25,04    0,00    0,00    0,00   71,57
17:18:03       0    0,00    0,00    0,00    0,00    0,00   87,50    0,00    0,00    0,00   12,50
17:18:03       1    0,00    0,00    0,00    0,00    0,00    2,94    0,00    0,00    0,00   97,06
17:18:03       2    8,08    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   90,91
17:18:03       3    5,83    0,00    2,91    0,00    0,00   62,14    0,00    0,00    0,00   29,13
17:18:03       4    1,96    0,00    1,96    0,00    0,00    0,00    0,00    0,00    0,00   96,08
17:18:03       5    0,00    0,00    0,00    0,00    0,00   42,11    0,00    0,00    0,00   57,89
17:18:03       6    5,94    0,00    3,96    0,00    0,00    0,00    0,00    0,00    0,00   90,10
17:18:03       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:18:03       8    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:18:03       9    0,00    0,00    0,00    0,00    0,00   37,93    0,00    0,00    0,00   62,07
17:18:03      10    0,00    0,00    0,00    0,00    0,00   57,14    0,00    0,00    0,00   42,86
17:18:03      11    0,00    0,00    0,00    0,00    0,00   56,57    0,00    0,00    0,00   43,43
17:18:03      12    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
17:18:03      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:18:03      14    0,00    0,00    0,00    0,00    0,00   57,00    0,00    0,00    0,00   43,00
17:18:03      15    0,00    0,00    0,00    0,00    0,00   56,57    0,00    0,00    0,00   43,43
17:18:03      16   10,00    0,00    5,00    0,00    0,00    0,00    0,00    0,00    0,00   85,00
17:18:03      17    3,06    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   94,90
17:18:03      18    3,96    0,00    2,97    0,00    0,00    0,00    0,00    0,00    0,00   93,07
17:18:03      19    7,92    0,00    5,94    0,00    0,00    0,00    0,00    0,00    0,00   86,14
17:18:03      20    0,00    0,00    0,00    0,00    0,00   76,92    0,00    0,00    0,00   23,08
17:18:03      21    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
17:18:03      22    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
17:18:03      23    1,00    0,00    1,00    0,00    0,00   63,00    0,00    0,00    0,00   35,00

17:18:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:18:04     all    0,25    0,00    0,17    0,00    0,00   23,19    0,00    0,00    0,00   76,38
17:18:04       0    0,00    0,00    0,00    0,00    0,00   83,17    0,00    0,00    0,00   16,83
17:18:04       1    0,00    0,00    0,00    0,00    0,00    2,00    0,00    0,00    0,00   98,00
17:18:04       2    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:18:04       3    1,01    0,00    1,01    0,00    0,00   51,52    0,00    0,00    0,00   46,46
17:18:04       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
