Time,Port,Metric,Value
2026-05-07 15:45:10.000,1,imissed,0
2026-05-07 15:45:10.000,1,obytes,0
2026-05-07 15:45:10.000,1,rx_nombuf,0
2026-05-07 15:45:10.000,1,ipackets,7808888
2026-05-07 15:45:10.000,1,ibytes,468531572
2026-05-07 15:45:10.000,1,opackets,0
2026-05-07 15:45:10.000,1,ierrors,0
2026-05-07 15:45:10.000,1,oerrors,0
2026-05-07 15:45:10.000,0,imissed,0
2026-05-07 15:45:10.000,0,obytes,0
2026-05-07 15:45:10.000,0,rx_nombuf,0
2026-05-07 15:45:10.000,0,ipackets,0
2026-05-07 15:45:10.000,0,ibytes,0
2026-05-07 15:45:10.000,0,opackets,0
2026-05-07 15:45:10.000,0,ierrors,0
2026-05-07 15:45:10.000,0,oerrors,0
2026-05-07 15:45:10.000,n,Value,2
2026-05-07 15:45:11.000,1,imissed,0
2026-05-07 15:45:11.000,1,obytes,0
2026-05-07 15:45:11.000,1,rx_nombuf,0
2026-05-07 15:45:11.000,1,ipackets,40058741
2026-05-07 15:45:11.000,1,ibytes,2403522752
2026-05-07 15:45:11.000,1,opackets,0
2026-05-07 15:45:11.000,1,ierrors,0
2026-05-07 15:45:11.000,1,oerrors,0
2026-05-07 15:45:11.000,0,imissed,0
2026-05-07 15:45:11.000,0,obytes,0
2026-05-07 15:45:11.000,0,rx_nombuf,0
2026-05-07 15:45:11.000,0,ipackets,0
2026-05-07 15:45:11.000,0,ibytes,0
2026-05-07 15:45:11.000,0,opackets,0
2026-05-07 15:45:11.000,0,ierrors,0
2026-05-07 15:45:11.000,0,oerrors,0
2026-05-07 15:45:11.000,n,Value,2
2026-05-07 15:45:12.000,1,imissed,0
2026-05-07 15:45:12.000,1,obytes,0
2026-05-07 15:45:12.000,1,rx_nombuf,0
2026-05-07 15:45:12.000,1,ipackets,72336988
2026-05-07 15:45:12.000,1,ibytes,4340217636
2026-05-07 15:45:12.000,1,opackets,0
2026-05-07 15:45:12.000,1,ierrors,0
2026-05-07 15:45:12.000,1,oerrors,0
2026-05-07 15:45:12.000,0,imissed,0
2026-05-07 15:45:12.000,0,obytes,0
2026-05-07 15:45:12.000,0,rx_nombuf,0
2026-05-07 15:45:12.000,0,ipackets,0
2026-05-07 15:45:12.000,0,ibytes,0
2026-05-07 15:45:12.000,0,opackets,0
2026-05-07 15:45:12.000,0,ierrors,0
2026-05-07 15:45:12.000,0,oerrors,0
2026-05-07 15:45:12.000,n,Value,2
2026-05-07 15:45:13.000,1,imissed,0
2026-05-07 15:45:13.000,1,obytes,0
2026-05-07 15:45:13.000,1,rx_nombuf,0
2026-05-07 15:45:13.000,1,ipackets,104713113
2026-05-07 15:45:13.000,1,ibytes,6282785136
2026-05-07 15:45:13.000,1,opackets,0
2026-05-07 15:45:13.000,1,ierrors,0
2026-05-07 15:45:13.000,1,oerrors,0
2026-05-07 15:45:13.000,0,imissed,0
2026-05-07 15:45:13.000,0,obytes,0
2026-05-07 15:45:13.000,0,rx_nombuf,0
2026-05-07 15:45:13.000,0,ipackets,0
2026-05-07 15:45:13.000,0,ibytes,0
2026-05-07 15:45:13.000,0,opackets,0
2026-05-07 15:45:13.000,0,ierrors,0
2026-05-07 15:45:13.000,0,oerrors,0
2026-05-07 15:45:13.000,n,Value,2
2026-05-07 15:45:15.000,1,imissed,0
2026-05-07 15:45:15.000,1,obytes,0
2026-05-07 15:45:15.000,1,rx_nombuf,0
2026-05-07 15:45:15.000,1,ipackets,137052524
2026-05-07 15:45:15.000,1,ibytes,8223149732
2026-05-07 15:45:15.000,1,opackets,0
2026-05-07 15:45:15.000,1,ierrors,0
2026-05-07 15:45:15.000,1,oerrors,0
2026-05-07 15:45:15.000,0,imissed,0
2026-05-07 15:45:15.000,0,obytes,0
2026-05-07 15:45:15.000,0,rx_nombuf,0
2026-05-07 15:45:15.000,0,ipackets,0
2026-05-07 15:45:15.000,0,ibytes,0
2026-05-07 15:45:15.000,0,opackets,0
2026-05-07 15:45:15.000,0,ierrors,0
2026-05-07 15:45:15.000,0,oerrors,0
2026-05-07 15:45:15.000,n,Value,2
2026-05-07 15:45:16.000,1,imissed,0
2026-05-07 15:45:16.000,1,obytes,0
2026-05-07 15:45:16.000,1,rx_nombuf,0
2026-05-07 15:45:16.000,1,ipackets,169396731
2026-05-07 15:45:16.000,1,ibytes,10163802570
2026-05-07 15:45:16.000,1,opackets,0
2026-05-07 15:45:16.000,1,ierrors,0
2026-05-07 15:45:16.000,1,oerrors,0
2026-05-07 15:45:16.000,0,imissed,0
2026-05-07 15:45:16.000,0,obytes,0
2026-05-07 15:45:16.000,0,rx_nombuf,0
2026-05-07 15:45:16.000,0,ipackets,3
2026-05-07 15:45:16.000,0,ibytes,814
2026-05-07 15:45:16.000,0,opackets,0
2026-05-07 15:45:16.000,0,ierrors,0
2026-05-07 15:45:16.000,0,oerrors,0
2026-05-07 15:45:16.000,n,Value,2
2026-05-07 15:45:17.000,1,imissed,0
2026-05-07 15:45:17.000,1,obytes,0
2026-05-07 15:45:17.000,1,rx_nombuf,0
2026-05-07 15:45:17.000,1,ipackets,201702244
2026-05-07 15:45:17.000,1,ibytes,12102133542
2026-05-07 15:45:17.000,1,opackets,0
2026-05-07 15:45:17.000,1,ierrors,0
2026-05-07 15:45:17.000,1,oerrors,0
2026-05-07 15:45:17.000,0,imissed,0
2026-05-07 15:45:17.000,0,obytes,0
2026-05-07 15:45:17.000,0,rx_nombuf,0
2026-05-07 15:45:17.000,0,ipackets,3
2026-05-07 15:45:17.000,0,ibytes,814
2026-05-07 15:45:17.000,0,opackets,0
2026-05-07 15:45:17.000,0,ierrors,0
2026-05-07 15:45:17.000,0,oerrors,0
2026-05-07 15:45:17.000,n,Value,2
2026-05-07 15:45:18.000,1,imissed,0
2026-05-07 15:45:18.000,1,obytes,0
2026-05-07 15:45:18.000,1,rx_nombuf,0
2026-05-07 15:45:18.000,1,ipackets,234097548
2026-05-07 15:45:18.000,1,ibytes,14045851590
2026-05-07 15:45:18.000,1,opackets,0
2026-05-07 15:45:18.000,1,ierrors,0
2026-05-07 15:45:18.000,1,oerrors,0
2026-05-07 15:45:18.000,0,imissed,0
2026-05-07 15:45:18.000,0,obytes,0
2026-05-07 15:45:18.000,0,rx_nombuf,0
