Linux 6.8.0-111-generic (testbed-node6) 	07/05/26 	_x86_64_	(24 CPU)

16:02:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:02:12     all    1,17    0,00    0,79    0,00    0,00   26,38    0,00    0,00    0,00   71,66
16:02:12       0    0,00    0,00    0,00    0,00    0,00   34,38    0,00    0,00    0,00   65,62
16:02:12       1    3,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
16:02:12       2    0,00    0,00    0,00    0,00    0,00    1,00    0,00    0,00    0,00   99,00
16:02:12       3    0,00    0,00    0,00    0,00    0,00   43,30    0,00    0,00    0,00   56,70
16:02:12       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:12       5    0,00    0,00    0,00    0,00    0,00   43,75    0,00    0,00    0,00   56,25
16:02:12       6    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
16:02:12       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:12       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:12       9    0,00    0,00    0,00    0,00    0,00   53,06    0,00    0,00    0,00   46,94
16:02:12      10    0,00    0,00    0,00    0,00    0,00   71,29    0,00    0,00    0,00   28,71
16:02:12      11    0,00    0,00    0,00    0,00    0,00   71,29    0,00    0,00    0,00   28,71
16:02:12      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:12      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:12      14    0,00    0,00    0,00    0,00    0,00   73,00    0,00    0,00    0,00   27,00
16:02:12      15    0,00    0,00    0,00    0,00    0,00   68,69    0,00    0,00    0,00   31,31
16:02:12      16    6,12    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   90,82
16:02:12      17    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
16:02:12      18    3,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   93,00
16:02:12      19   12,87    0,00    6,93    0,00    0,00    0,00    0,00    0,00    0,00   80,20
16:02:12      20    0,00    0,00    0,96    0,00    0,00   87,50    0,00    0,00    0,00   11,54
16:02:12      21    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:12      22    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:12      23    0,00    0,00    0,00    0,00    0,00   82,52    0,00    0,00    0,00   17,48

16:02:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:02:13     all    0,79    0,00    0,29    0,00    0,00   25,30    0,00    0,00    0,00   73,61
16:02:13       0    0,00    0,00    1,08    0,00    0,00   30,11    0,00    0,00    0,00   68,82
16:02:13       1    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
16:02:13       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:13       3    0,00    0,00    0,00    0,00    0,00   40,86    0,00    0,00    0,00   59,14
16:02:13       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:13       5    0,00    0,00    0,00    0,00    0,00   42,27    0,00    0,00    0,00   57,73
16:02:13       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:13       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:13       8    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
16:02:13       9    0,00    0,00    0,00    0,00    0,00   49,47    0,00    0,00    0,00   50,53
16:02:13      10    0,00    0,00    0,00    0,00    0,00   68,27    0,00    0,00    0,00   31,73
16:02:13      11    0,00    0,00    0,00    0,00    0,00   69,31    0,00    0,00    0,00   30,69
16:02:13      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:13      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:13      14    0,00    0,00    0,00    0,00    0,00   69,61    0,00    0,00    0,00   30,39
16:02:13      15    0,00    0,00    0,00    0,00    0,00   66,67    0,00    0,00    0,00   33,33
16:02:13      16    1,98    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   96,04
16:02:13      17   12,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   87,00
16:02:13      18    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
16:02:13      19    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
16:02:13      20    0,00    0,00    0,00    0,00    0,00   84,76    0,00    0,00    0,00   15,24
16:02:13      21    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:13      22    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
16:02:13      23    0,00    0,00    0,96    0,00    0,00   79,81    0,00    0,00    0,00   19,23

16:02:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:02:14     all    0,04    0,00    0,00    0,00    0,00   24,81    0,00    0,00    0,00   75,15
16:02:14       0    0,00    0,00    0,00    0,00    0,00   29,79    0,00    0,00    0,00   70,21
16:02:14       1    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
16:02:14       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:14       3    0,00    0,00    0,00    0,00    0,00   41,24    0,00    0,00    0,00   58,76
16:02:14       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:14       5    0,00    0,00    0,00    0,00    0,00   41,84    0,00    0,00    0,00   58,16
16:02:14       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:14       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:14       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:14       9    0,00    0,00    0,00    0,00    0,00   50,52    0,00    0,00    0,00   49,48
16:02:14      10    0,00    0,00    0,00    0,00    0,00   66,34    0,00    0,00    0,00   33,66
16:02:14      11    0,00    0,00    0,00    0,00    0,00   66,67    0,00    0,00    0,00   33,33
16:02:14      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:14      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:14      14    0,00    0,00    0,00    0,00    0,00   66,99    0,00    0,00    0,00   33,01
16:02:14      15    0,00    0,00    0,00    0,00    0,00   63,37    0,00    0,00    0,00   36,63
16:02:14      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:02:14      17    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
