Linux 6.8.0-111-generic (testbed-node6) 	06/05/26 	_x86_64_	(24 CPU)

19:57:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:57:31     all    0,62    0,00    0,58    0,00    0,00   22,90    0,00    0,00    0,00   75,90
19:57:31       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:31       1    0,00    0,00    0,00    0,00    0,00   69,70    0,00    0,00    0,00   30,30
19:57:31       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:31       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:31       4    0,00    0,00    0,96    0,00    0,00   77,88    0,00    0,00    0,00   21,15
19:57:31       5    0,00    0,00    0,00    0,00    0,00   77,78    0,00    0,00    0,00   22,22
19:57:31       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:31       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:31       8    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
19:57:31       9    0,00    0,00    0,00    0,00    0,00   80,81    0,00    0,00    0,00   19,19
19:57:31      10    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
19:57:31      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:31      12   10,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   89,00
19:57:31      13    0,00    0,00    0,00    0,00    0,00   59,79    0,00    0,00    0,00   40,21
19:57:31      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:31      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:31      16    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
19:57:31      17    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
19:57:31      18    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
19:57:31      19    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
19:57:31      20    0,00    0,00    0,00    0,00    0,00   78,70    0,00    0,00    0,00   21,30
19:57:31      21    0,99    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   97,03
19:57:31      22    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
19:57:31      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

19:57:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:57:32     all    0,66    0,00    0,29    0,08    0,00   22,68    0,00    0,00    0,00   76,28
19:57:32       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:32       1    0,00    0,00    0,99    0,00    0,00   68,32    0,00    0,00    0,00   30,69
19:57:32       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:32       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:32       4    0,00    0,00    0,00    0,00    0,00   77,45    0,00    0,00    0,00   22,55
19:57:32       5    0,00    0,00    0,00    0,00    0,00   77,45    0,00    0,00    0,00   22,55
19:57:32       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:57:32       7    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
19:57:32       8    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
19:57:32       9    0,00    0,00    0,00    0,00    0,00   79,80    0,00    0,00    0,00   20,20
