Linux 6.8.0-111-generic (testbed-node6) 	07/05/26 	_x86_64_	(24 CPU)

14:23:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:23:11     all    1,81    0,00    0,93    0,00    0,00   16,44    0,00    0,00    0,00   80,81
14:23:11       0    1,14    0,00    0,00    0,00    0,00   14,77    0,00    0,00    0,00   84,09
14:23:11       1    0,00    0,00    0,00    0,00    0,00    3,80    0,00    0,00    0,00   96,20
14:23:11       2    1,19    0,00    0,00    0,00    0,00    4,76    0,00    0,00    0,00   94,05
14:23:11       3    0,00    0,00    0,00    0,00    0,00    8,82    0,00    0,00    0,00   91,18
14:23:11       4    1,52    0,00    0,00    0,00    0,00   28,79    0,00    0,00    0,00   69,70
14:23:11       5    0,00    0,00    0,00    0,00    0,00    4,69    0,00    0,00    0,00   95,31
14:23:11       6    2,47    0,00    1,23    0,00    0,00   22,22    0,00    0,00    0,00   74,07
14:23:11       7    0,00    0,00    0,00    0,00    0,00    5,41    0,00    0,00    0,00   94,59
14:23:11       8   17,39    0,00    5,43    0,00    0,00   31,52    0,00    0,00    0,00   45,65
14:23:11       9    0,00    0,00    0,00    0,00    0,00    3,08    0,00    0,00    0,00   96,92
14:23:11      10    0,00    0,00    1,27    0,00    0,00   21,52    0,00    0,00    0,00   77,22
14:23:11      11    8,00    0,00    1,33    0,00    0,00    6,67    0,00    0,00    0,00   84,00
14:23:11      12    0,00    0,00    1,15    0,00    0,00   19,54    0,00    0,00    0,00   79,31
14:23:11      13    1,28    0,00    1,28    0,00    0,00    2,56    0,00    0,00    0,00   94,87
14:23:11      14    1,12    0,00    0,00    0,00    0,00   22,47    0,00    0,00    0,00   76,40
14:23:11      15    1,11    0,00    0,00    0,00    0,00   18,89    0,00    0,00    0,00   80,00
14:23:11      16    0,00    0,00    1,27    0,00    0,00   25,32    0,00    0,00    0,00   73,42
14:23:11      17    0,00    0,00    0,00    0,00    0,00   12,86    0,00    0,00    0,00   87,14
14:23:11      18    1,59    0,00    1,59    0,00    0,00   22,22    0,00    0,00    0,00   74,60
14:23:11      19    0,00    0,00    1,41    0,00    0,00   15,49    0,00    0,00    0,00   83,10
14:23:11      20    1,35    0,00    1,35    0,00    0,00   21,62    0,00    0,00    0,00   75,68
14:23:11      21    1,33    0,00    1,33    0,00    0,00   24,00    0,00    0,00    0,00   73,33
14:23:11      22    0,00    0,00    1,61    0,00    0,00   37,10    0,00    0,00    0,00   61,29
14:23:11      23    0,00    0,00    1,52    0,00    0,00   13,64    0,00    0,00    0,00   84,85

14:23:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:23:12     all    2,25    0,00    0,39    0,00    0,00   14,62    0,00    0,00    0,00   82,73
14:23:12       0    0,00    0,00    0,00    0,00    0,00   17,78    0,00    0,00    0,00   82,22
14:23:12       1    0,00    0,00    0,00    0,00    0,00   12,79    0,00    0,00    0,00   87,21
14:23:12       2    1,16    0,00    1,16    0,00    0,00    5,81    0,00    0,00    0,00   91,86
14:23:12       3    0,00    0,00    0,00    0,00    0,00    8,82    0,00    0,00    0,00   91,18
14:23:12       4    0,00    0,00    0,00    0,00    0,00   32,31    0,00    0,00    0,00   67,69
14:23:12       5    0,00    0,00    0,00    0,00    0,00    4,69    0,00    0,00    0,00   95,31
14:23:12       6    1,33    0,00    0,00    0,00    0,00   16,00    0,00    0,00    0,00   82,67
14:23:12       7    0,00    0,00    0,00    0,00    0,00    6,76    0,00    0,00    0,00   93,24
14:23:12       8    6,33    0,00    2,53    0,00    0,00   20,25    0,00    0,00    0,00   70,89
14:23:12       9    2,70    0,00    0,00    0,00    0,00   10,81    0,00    0,00    0,00   86,49
14:23:12      10   17,28    0,00    1,23    0,00    0,00   20,99    0,00    0,00    0,00   60,49
14:23:12      11   13,16    0,00    0,00    0,00    0,00    9,21    0,00    0,00    0,00   77,63
14:23:12      12    2,20    0,00    0,00    0,00    0,00   23,08    0,00    0,00    0,00   74,73
