Linux 6.8.0-111-generic (testbed-node6) 	13/05/26 	_x86_64_	(24 CPU)

14:58:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:58:56     all    1,87    0,00    0,41    0,00    0,00   16,14    0,00    0,00    0,00   81,58
14:58:56       0    2,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
14:58:56       1    1,98    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   96,04
14:58:56       2    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
14:58:56       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:58:56       4    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
14:58:56       5    0,00    0,00    0,00    0,00    0,00   77,14    0,00    0,00    0,00   22,86
14:58:56       6    7,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
14:58:56       7    0,00    0,00    0,00    0,00    0,00   32,32    0,00    0,00    0,00   67,68
14:58:56       8    5,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   94,00
14:58:56       9   12,87    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   87,13
14:58:56      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:58:56      11    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
14:58:56      12    6,06    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   93,94
14:58:56      13    0,00    0,00    0,94    0,00    0,00   80,19    0,00    0,00    0,00   18,87
14:58:56      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:58:56      15    0,00    0,00    0,00    0,00    0,00   89,22    0,00    0,00    0,00   10,78
14:58:56      16    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
14:58:56      17    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
14:58:56      18    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
14:58:56      19    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
14:58:56      20    2,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
14:58:56      21    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
14:58:56      22    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
14:58:56      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

14:58:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:58:57     all    0,17    0,00    0,08    0,00    0,00   15,72    0,00    0,00    0,00   84,03
14:58:57       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:58:57       1    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
14:58:57       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:58:57       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:58:57       4    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
14:58:57       5    0,00    0,00    0,00    0,00    0,00   77,45    0,00    0,00    0,00   22,55
14:58:57       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:58:57       7    0,00    0,00    0,00    0,00    0,00   30,00    0,00    0,00    0,00   70,00
14:58:57       8    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
14:58:57       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:58:57      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:58:57      11    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
14:58:57      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:58:57      13    0,00    0,00    0,00    0,00    0,00   80,39    0,00    0,00    0,00   19,61
14:58:57      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:58:57      15    0,00    0,00    0,00    0,00    0,00   83,81    0,00    0,00    0,00   16,19
