Time,Port,Metric,Value
2026-05-13 20:22:37.000,0,imissed,0
2026-05-13 20:22:37.000,0,oerrors,0
2026-05-13 20:22:37.000,0,obytes,0
2026-05-13 20:22:37.000,0,opackets,0
2026-05-13 20:22:37.000,0,ibytes,538
2026-05-13 20:22:37.000,0,ipackets,2
2026-05-13 20:22:37.000,0,rx_nombuf,0
2026-05-13 20:22:37.000,0,ierrors,0
2026-05-13 20:22:37.000,n,Value,1
2026-05-13 20:22:38.000,0,imissed,0
2026-05-13 20:22:38.000,0,oerrors,0
2026-05-13 20:22:38.000,0,obytes,0
2026-05-13 20:22:38.000,0,opackets,0
2026-05-13 20:22:38.000,0,ibytes,538
2026-05-13 20:22:38.000,0,ipackets,2
2026-05-13 20:22:38.000,0,rx_nombuf,0
2026-05-13 20:22:38.000,0,ierrors,0
2026-05-13 20:22:38.000,n,Value,1
2026-05-13 20:22:39.000,0,imissed,0
2026-05-13 20:22:39.000,0,oerrors,0
2026-05-13 20:22:39.000,0,obytes,0
2026-05-13 20:22:39.000,0,opackets,0
2026-05-13 20:22:39.000,0,ibytes,538
2026-05-13 20:22:39.000,0,ipackets,2
2026-05-13 20:22:39.000,0,rx_nombuf,0
2026-05-13 20:22:39.000,0,ierrors,0
2026-05-13 20:22:39.000,n,Value,1
2026-05-13 20:22:40.000,0,imissed,0
2026-05-13 20:22:40.000,0,oerrors,0
2026-05-13 20:22:40.000,0,obytes,0
2026-05-13 20:22:40.000,0,opackets,0
2026-05-13 20:22:40.000,0,ibytes,538
2026-05-13 20:22:40.000,0,ipackets,2
2026-05-13 20:22:40.000,0,rx_nombuf,0
2026-05-13 20:22:40.000,0,ierrors,0
2026-05-13 20:22:40.000,n,Value,1
2026-05-13 20:22:41.000,0,imissed,0
2026-05-13 20:22:41.000,0,oerrors,0
2026-05-13 20:22:41.000,0,obytes,0
2026-05-13 20:22:41.000,0,opackets,0
2026-05-13 20:22:41.000,0,ibytes,538
2026-05-13 20:22:41.000,0,ipackets,2
2026-05-13 20:22:41.000,0,rx_nombuf,0
2026-05-13 20:22:41.000,0,ierrors,0
2026-05-13 20:22:41.000,n,Value,1
2026-05-13 20:22:42.000,0,imissed,0
2026-05-13 20:22:42.000,0,oerrors,0
2026-05-13 20:22:42.000,0,obytes,0
2026-05-13 20:22:42.000,0,opackets,0
2026-05-13 20:22:42.000,0,ibytes,538
2026-05-13 20:22:42.000,0,ipackets,2
2026-05-13 20:22:42.000,0,rx_nombuf,0
2026-05-13 20:22:42.000,0,ierrors,0
2026-05-13 20:22:42.000,n,Value,1
2026-05-13 20:22:43.000,0,imissed,0
2026-05-13 20:22:43.000,0,oerrors,0
2026-05-13 20:22:43.000,0,obytes,0
2026-05-13 20:22:43.000,0,opackets,0
2026-05-13 20:22:43.000,0,ibytes,538
2026-05-13 20:22:43.000,0,ipackets,2
2026-05-13 20:22:43.000,0,rx_nombuf,0
2026-05-13 20:22:43.000,0,ierrors,0
2026-05-13 20:22:43.000,n,Value,1
2026-05-13 20:22:44.000,0,imissed,0
2026-05-13 20:22:44.000,0,oerrors,0
2026-05-13 20:22:44.000,0,obytes,0
2026-05-13 20:22:44.000,0,opackets,0
2026-05-13 20:22:44.000,0,ibytes,538
2026-05-13 20:22:44.000,0,ipackets,2
2026-05-13 20:22:44.000,0,rx_nombuf,0
2026-05-13 20:22:44.000,0,ierrors,0
2026-05-13 20:22:44.000,n,Value,1
2026-05-13 20:22:45.000,0,imissed,0
2026-05-13 20:22:45.000,0,oerrors,0
2026-05-13 20:22:45.000,0,obytes,0
2026-05-13 20:22:45.000,0,opackets,0
2026-05-13 20:22:45.000,0,ibytes,538
2026-05-13 20:22:45.000,0,ipackets,2
2026-05-13 20:22:45.000,0,rx_nombuf,0
2026-05-13 20:22:45.000,0,ierrors,0
2026-05-13 20:22:45.000,n,Value,1
2026-05-13 20:22:46.000,0,imissed,0
2026-05-13 20:22:46.000,0,oerrors,0
2026-05-13 20:22:46.000,0,obytes,0
2026-05-13 20:22:46.000,0,opackets,0
2026-05-13 20:22:46.000,0,ibytes,538
2026-05-13 20:22:46.000,0,ipackets,2
2026-05-13 20:22:46.000,0,rx_nombuf,0
2026-05-13 20:22:46.000,0,ierrors,0
2026-05-13 20:22:46.000,n,Value,1
2026-05-13 20:22:47.000,0,imissed,0
2026-05-13 20:22:47.000,0,oerrors,0
2026-05-13 20:22:47.000,0,obytes,0
2026-05-13 20:22:47.000,0,opackets,0
2026-05-13 20:22:47.000,0,ibytes,538
2026-05-13 20:22:47.000,0,ipackets,2
2026-05-13 20:22:47.000,0,rx_nombuf,0
2026-05-13 20:22:47.000,0,ierrors,0
2026-05-13 20:22:47.000,n,Value,1
2026-05-13 20:22:48.000,0,imissed,0
2026-05-13 20:22:48.000,0,oerrors,0
2026-05-13 20:22:48.000,0,obytes,0
2026-05-13 20:22:48.000,0,opackets,0
2026-05-13 20:22:48.000,0,ibytes,538
2026-05-13 20:22:48.000,0,ipackets,2
2026-05-13 20:22:48.000,0,rx_nombuf,0
2026-05-13 20:22:48.000,0,ierrors,0
2026-05-13 20:22:48.000,n,Value,1
2026-05-13 20:22:49.000,0,imissed,0
2026-05-13 20:22:49.000,0,oerrors,0
2026-05-13 20:22:49.000,0,obytes,0
2026-05-13 20:22:49.000,0,opackets,0
2026-05-13 20:22:49.000,0,ibytes,538
2026-05-13 20:22:49.000,0,ipackets,2
2026-05-13 20:22:49.000,0,rx_nombuf,0
2026-05-13 20:22:49.000,0,ierrors,0
2026-05-13 20:22:49.000,n,Value,1
2026-05-13 20:22:50.000,0,imissed,0
2026-05-13 20:22:50.000,0,oerrors,0
2026-05-13 20:22:50.000,0,obytes,0
2026-05-13 20:22:50.000,0,opackets,0
2026-05-13 20:22:50.000,0,ibytes,538
2026-05-13 20:22:50.000,0,ipackets,2
2026-05-13 20:22:50.000,0,rx_nombuf,0
2026-05-13 20:22:50.000,0,ierrors,0
2026-05-13 20:22:50.000,n,Value,1
2026-05-13 20:22:51.000,0,imissed,0
2026-05-13 20:22:51.000,0,oerrors,0
2026-05-13 20:22:51.000,0,obytes,0
2026-05-13 20:22:51.000,0,opackets,0
2026-05-13 20:22:51.000,0,ibytes,538
2026-05-13 20:22:51.000,0,ipackets,2
2026-05-13 20:22:51.000,0,rx_nombuf,0
2026-05-13 20:22:51.000,0,ierrors,0
2026-05-13 20:22:51.000,n,Value,1
