Time,Port,Metric,Value
2026-05-13 21:36:14.000,1,ipackets,3403055
2026-05-13 21:36:14.000,1,imissed,0
2026-05-13 21:36:14.000,1,opackets,0
2026-05-13 21:36:14.000,1,rx_nombuf,0
2026-05-13 21:36:14.000,1,obytes,0
2026-05-13 21:36:14.000,1,ierrors,0
2026-05-13 21:36:14.000,1,ibytes,204183418
2026-05-13 21:36:14.000,1,oerrors,0
2026-05-13 21:36:14.000,0,ipackets,0
2026-05-13 21:36:14.000,0,imissed,0
2026-05-13 21:36:14.000,0,opackets,16338643
2026-05-13 21:36:14.000,0,rx_nombuf,0
2026-05-13 21:36:14.000,0,obytes,980316212
2026-05-13 21:36:14.000,0,ierrors,0
2026-05-13 21:36:14.000,0,ibytes,0
2026-05-13 21:36:14.000,0,oerrors,0
2026-05-13 21:36:14.000,n,Value,2
2026-05-13 21:36:15.000,1,ipackets,8831712
2026-05-13 21:36:15.000,1,imissed,0
2026-05-13 21:36:15.000,1,opackets,0
2026-05-13 21:36:15.000,1,rx_nombuf,0
2026-05-13 21:36:15.000,1,obytes,0
2026-05-13 21:36:15.000,1,ierrors,0
2026-05-13 21:36:15.000,1,ibytes,529903094
2026-05-13 21:36:15.000,1,oerrors,0
2026-05-13 21:36:15.000,0,ipackets,1
2026-05-13 21:36:15.000,0,imissed,0
2026-05-13 21:36:15.000,0,opackets,53530234
2026-05-13 21:36:15.000,0,rx_nombuf,0
2026-05-13 21:36:15.000,0,obytes,3211811992
2026-05-13 21:36:15.000,0,ierrors,0
2026-05-13 21:36:15.000,0,ibytes,273
2026-05-13 21:36:15.000,0,oerrors,0
2026-05-13 21:36:15.000,n,Value,2
2026-05-13 21:36:16.000,1,ipackets,14307996
2026-05-13 21:36:16.000,1,imissed,0
2026-05-13 21:36:16.000,1,opackets,0
2026-05-13 21:36:16.000,1,rx_nombuf,0
2026-05-13 21:36:16.000,1,obytes,0
2026-05-13 21:36:16.000,1,ierrors,0
2026-05-13 21:36:16.000,1,ibytes,858479942
2026-05-13 21:36:16.000,1,oerrors,0
2026-05-13 21:36:16.000,0,ipackets,1
2026-05-13 21:36:16.000,0,imissed,0
2026-05-13 21:36:16.000,0,opackets,90640393
2026-05-13 21:36:16.000,0,rx_nombuf,0
2026-05-13 21:36:16.000,0,obytes,5438421596
2026-05-13 21:36:16.000,0,ierrors,0
2026-05-13 21:36:16.000,0,ibytes,273
2026-05-13 21:36:16.000,0,oerrors,0
2026-05-13 21:36:16.000,n,Value,2
2026-05-13 21:36:17.000,1,ipackets,19758924
2026-05-13 21:36:17.000,1,imissed,0
2026-05-13 21:36:17.000,1,opackets,0
2026-05-13 21:36:17.000,1,rx_nombuf,0
2026-05-13 21:36:17.000,1,obytes,0
2026-05-13 21:36:17.000,1,ierrors,0
2026-05-13 21:36:17.000,1,ibytes,1185536006
2026-05-13 21:36:17.000,1,oerrors,0
2026-05-13 21:36:17.000,0,ipackets,1
2026-05-13 21:36:17.000,0,imissed,0
2026-05-13 21:36:17.000,0,opackets,127810506
2026-05-13 21:36:17.000,0,rx_nombuf,0
2026-05-13 21:36:17.000,0,obytes,7668627864
2026-05-13 21:36:17.000,0,ierrors,0
2026-05-13 21:36:17.000,0,ibytes,273
2026-05-13 21:36:17.000,0,oerrors,0
2026-05-13 21:36:17.000,n,Value,2
2026-05-13 21:36:18.000,1,ipackets,25228387
2026-05-13 21:36:18.000,1,imissed,0
2026-05-13 21:36:18.000,1,opackets,0
2026-05-13 21:36:18.000,1,rx_nombuf,0
2026-05-13 21:36:18.000,1,obytes,0
2026-05-13 21:36:18.000,1,ierrors,0
2026-05-13 21:36:18.000,1,ibytes,1513703530
2026-05-13 21:36:18.000,1,oerrors,0
2026-05-13 21:36:18.000,0,ipackets,1
2026-05-13 21:36:18.000,0,imissed,0
2026-05-13 21:36:18.000,0,opackets,165013913
2026-05-13 21:36:18.000,0,rx_nombuf,0
2026-05-13 21:36:18.000,0,obytes,9900832604
2026-05-13 21:36:18.000,0,ierrors,0
2026-05-13 21:36:18.000,0,ibytes,273
2026-05-13 21:36:18.000,0,oerrors,0
2026-05-13 21:36:18.000,n,Value,2
2026-05-13 21:36:19.000,1,ipackets,30626887
2026-05-13 21:36:19.000,1,imissed,0
2026-05-13 21:36:19.000,1,opackets,0
2026-05-13 21:36:19.000,1,rx_nombuf,0
2026-05-13 21:36:19.000,1,obytes,0
2026-05-13 21:36:19.000,1,ierrors,0
2026-05-13 21:36:19.000,1,ibytes,1837613530
2026-05-13 21:36:19.000,1,oerrors,0
2026-05-13 21:36:19.000,0,ipackets,1
2026-05-13 21:36:19.000,0,imissed,0
2026-05-13 21:36:19.000,0,opackets,202217321
2026-05-13 21:36:19.000,0,rx_nombuf,0
2026-05-13 21:36:19.000,0,obytes,12133037276
2026-05-13 21:36:19.000,0,ierrors,0
2026-05-13 21:36:19.000,0,ibytes,273
2026-05-13 21:36:19.000,0,oerrors,0
2026-05-13 21:36:19.000,n,Value,2
2026-05-13 21:36:20.000,1,ipackets,36088503
2026-05-13 21:36:20.000,1,imissed,0
2026-05-13 21:36:20.000,1,opackets,0
2026-05-13 21:36:20.000,1,rx_nombuf,0
2026-05-13 21:36:20.000,1,obytes,0
2026-05-13 21:36:20.000,1,ierrors,0
2026-05-13 21:36:20.000,1,ibytes,2165310362
2026-05-13 21:36:20.000,1,oerrors,0
2026-05-13 21:36:20.000,0,ipackets,1
2026-05-13 21:36:20.000,0,imissed,0
2026-05-13 21:36:20.000,0,opackets,239420731
2026-05-13 21:36:20.000,0,rx_nombuf,0
2026-05-13 21:36:20.000,0,obytes,14365241940
2026-05-13 21:36:20.000,0,ierrors,0
2026-05-13 21:36:20.000,0,ibytes,273
2026-05-13 21:36:20.000,0,oerrors,0
2026-05-13 21:36:20.000,n,Value,2
2026-05-13 21:36:21.000,1,ipackets,40059762
2026-05-13 21:36:21.000,1,imissed,0
2026-05-13 21:36:21.000,1,opackets,0
2026-05-13 21:36:21.000,1,rx_nombuf,0
2026-05-13 21:36:21.000,1,obytes,0
2026-05-13 21:36:21.000,1,ierrors,0
2026-05-13 21:36:21.000,1,ibytes,2403586350
2026-05-13 21:36:21.000,1,oerrors,0
2026-05-13 21:36:21.000,0,ipackets,1
2026-05-13 21:36:21.000,0,imissed,0
2026-05-13 21:36:21.000,0,opackets,276624152
2026-05-13 21:36:21.000,0,rx_nombuf,0
2026-05-13 21:36:21.000,0,obytes,16597446944
2026-05-13 21:36:21.000,0,ierrors,0
2026-05-13 21:36:21.000,0,ibytes,273
2026-05-13 21:36:21.000,0,oerrors,0
2026-05-13 21:36:21.000,n,Value,2
2026-05-13 21:36:23.000,1,ipackets,44127065
2026-05-13 21:36:23.000,1,imissed,0
2026-05-13 21:36:23.000,1,opackets,0
2026-05-13 21:36:23.000,1,rx_nombuf,0
2026-05-13 21:36:23.000,1,obytes,0
2026-05-13 21:36:23.000,1,ierrors,0
2026-05-13 21:36:23.000,1,ibytes,2647624338
2026-05-13 21:36:23.000,1,oerrors,0
2026-05-13 21:36:23.000,0,ipackets,1
2026-05-13 21:36:23.000,0,imissed,0
2026-05-13 21:36:23.000,0,opackets,313827550
2026-05-13 21:36:23.000,0,rx_nombuf,0
2026-05-13 21:36:23.000,0,obytes,18829650824
2026-05-13 21:36:23.000,0,ierrors,0
2026-05-13 21:36:23.000,0,ibytes,273
2026-05-13 21:36:23.000,0,oerrors,0
2026-05-13 21:36:23.000,n,Value,2
2026-05-13 21:36:24.000,1,ipackets,49533411
2026-05-13 21:36:24.000,1,imissed,0
2026-05-13 21:36:24.000,1,opackets,0
2026-05-13 21:36:24.000,1,rx_nombuf,0
2026-05-13 21:36:24.000,1,obytes,0
2026-05-13 21:36:24.000,1,ierrors,0
2026-05-13 21:36:24.000,1,ibytes,2972004906
2026-05-13 21:36:24.000,1,oerrors,0
2026-05-13 21:36:24.000,0,ipackets,1
2026-05-13 21:36:24.000,0,imissed,0
2026-05-13 21:36:24.000,0,opackets,351030971
