Time,Port,Metric,Value
2026-05-13 23:16:09.000,0,imissed,0
2026-05-13 23:16:09.000,0,ibytes,810
2026-05-13 23:16:09.000,0,opackets,0
2026-05-13 23:16:09.000,0,ierrors,0
2026-05-13 23:16:09.000,0,ipackets,3
2026-05-13 23:16:09.000,0,oerrors,0
2026-05-13 23:16:09.000,0,rx_nombuf,0
2026-05-13 23:16:09.000,0,obytes,0
2026-05-13 23:16:09.000,n,Value,1
2026-05-13 23:16:10.000,0,imissed,0
2026-05-13 23:16:10.000,0,ibytes,810
2026-05-13 23:16:10.000,0,opackets,0
2026-05-13 23:16:10.000,0,ierrors,0
2026-05-13 23:16:10.000,0,ipackets,3
2026-05-13 23:16:10.000,0,oerrors,0
2026-05-13 23:16:10.000,0,rx_nombuf,0
2026-05-13 23:16:10.000,0,obytes,0
2026-05-13 23:16:10.000,n,Value,1
2026-05-13 23:16:11.000,0,imissed,0
2026-05-13 23:16:11.000,0,ibytes,810
2026-05-13 23:16:11.000,0,opackets,0
2026-05-13 23:16:11.000,0,ierrors,0
2026-05-13 23:16:11.000,0,ipackets,3
2026-05-13 23:16:11.000,0,oerrors,0
2026-05-13 23:16:11.000,0,rx_nombuf,0
2026-05-13 23:16:11.000,0,obytes,0
2026-05-13 23:16:11.000,n,Value,1
2026-05-13 23:16:12.000,0,imissed,0
2026-05-13 23:16:12.000,0,ibytes,672634758
2026-05-13 23:16:12.000,0,opackets,0
2026-05-13 23:16:12.000,0,ierrors,0
2026-05-13 23:16:12.000,0,ipackets,11210588
2026-05-13 23:16:12.000,0,oerrors,0
2026-05-13 23:16:12.000,0,rx_nombuf,0
2026-05-13 23:16:12.000,0,obytes,0
2026-05-13 23:16:12.000,n,Value,1
2026-05-13 23:16:13.000,0,imissed,0
2026-05-13 23:16:13.000,0,ibytes,1590945082
2026-05-13 23:16:13.000,0,opackets,0
2026-05-13 23:16:13.000,0,ierrors,0
2026-05-13 23:16:13.000,0,ipackets,26515759
2026-05-13 23:16:13.000,0,oerrors,0
2026-05-13 23:16:13.000,0,rx_nombuf,0
2026-05-13 23:16:13.000,0,obytes,0
2026-05-13 23:16:13.000,n,Value,1
2026-05-13 23:16:14.000,0,imissed,0
2026-05-13 23:16:14.000,0,ibytes,2521141702
2026-05-13 23:16:14.000,0,opackets,0
2026-05-13 23:16:14.000,0,ierrors,0
2026-05-13 23:16:14.000,0,ipackets,42019036
2026-05-13 23:16:14.000,0,oerrors,0
2026-05-13 23:16:14.000,0,rx_nombuf,0
2026-05-13 23:16:14.000,0,obytes,0
2026-05-13 23:16:14.000,n,Value,1
2026-05-13 23:16:15.000,0,imissed,0
2026-05-13 23:16:15.000,0,ibytes,3454162946
2026-05-13 23:16:15.000,0,opackets,0
2026-05-13 23:16:15.000,0,ierrors,0
2026-05-13 23:16:15.000,0,ipackets,57569389
2026-05-13 23:16:15.000,0,oerrors,0
2026-05-13 23:16:15.000,0,rx_nombuf,0
2026-05-13 23:16:15.000,0,obytes,0
2026-05-13 23:16:15.000,n,Value,1
2026-05-13 23:16:16.000,0,imissed,0
2026-05-13 23:16:16.000,0,ibytes,4387591078
2026-05-13 23:16:16.000,0,opackets,0
2026-05-13 23:16:16.000,0,ierrors,0
2026-05-13 23:16:16.000,0,ipackets,73126516
2026-05-13 23:16:16.000,0,oerrors,0
2026-05-13 23:16:16.000,0,rx_nombuf,0
2026-05-13 23:16:16.000,0,obytes,0
2026-05-13 23:16:16.000,n,Value,1
2026-05-13 23:16:17.000,0,imissed,0
2026-05-13 23:16:17.000,0,ibytes,5319423622
2026-05-13 23:16:17.000,0,opackets,0
2026-05-13 23:16:17.000,0,ierrors,0
2026-05-13 23:16:17.000,0,ipackets,88657068
2026-05-13 23:16:17.000,0,oerrors,0
2026-05-13 23:16:17.000,0,rx_nombuf,0
2026-05-13 23:16:17.000,0,obytes,0
2026-05-13 23:16:17.000,n,Value,1
2026-05-13 23:16:18.000,0,imissed,0
2026-05-13 23:16:18.000,0,ibytes,6251708778
2026-05-13 23:16:18.000,0,opackets,0
2026-05-13 23:16:18.000,0,ierrors,0
2026-05-13 23:16:18.000,0,ipackets,104195155
2026-05-13 23:16:18.000,0,oerrors,0
2026-05-13 23:16:18.000,0,rx_nombuf,0
2026-05-13 23:16:18.000,0,obytes,0
2026-05-13 23:16:18.000,n,Value,1
2026-05-13 23:16:19.000,0,imissed,0
2026-05-13 23:16:19.000,0,ibytes,7184577894
2026-05-13 23:16:19.000,0,opackets,0
2026-05-13 23:16:19.000,0,ierrors,0
2026-05-13 23:16:19.000,0,ipackets,119742964
2026-05-13 23:16:19.000,0,oerrors,0
2026-05-13 23:16:19.000,0,rx_nombuf,0
2026-05-13 23:16:19.000,0,obytes,0
2026-05-13 23:16:19.000,n,Value,1
2026-05-13 23:16:20.000,0,imissed,0
2026-05-13 23:16:20.000,0,ibytes,8115242598
2026-05-13 23:16:20.000,0,opackets,0
2026-05-13 23:16:20.000,0,ierrors,0
2026-05-13 23:16:20.000,0,ipackets,135254052
2026-05-13 23:16:20.000,0,oerrors,0
2026-05-13 23:16:20.000,0,rx_nombuf,0
2026-05-13 23:16:20.000,0,obytes,0
2026-05-13 23:16:20.000,n,Value,1
2026-05-13 23:16:21.000,0,imissed,0
2026-05-13 23:16:21.000,0,ibytes,9045778042
2026-05-13 23:16:21.000,0,opackets,0
2026-05-13 23:16:21.000,0,ierrors,0
2026-05-13 23:16:21.000,0,ipackets,150762975
2026-05-13 23:16:21.000,0,oerrors,0
2026-05-13 23:16:21.000,0,rx_nombuf,0
2026-05-13 23:16:21.000,0,obytes,0
2026-05-13 23:16:21.000,n,Value,1
2026-05-13 23:16:22.000,0,imissed,0
2026-05-13 23:16:22.000,0,ibytes,9978965534
2026-05-13 23:16:22.000,0,opackets,0
2026-05-13 23:16:22.000,0,ierrors,0
2026-05-13 23:16:22.000,0,ipackets,166316102
2026-05-13 23:16:22.000,0,oerrors,0
2026-05-13 23:16:22.000,0,rx_nombuf,0
2026-05-13 23:16:22.000,0,obytes,0
2026-05-13 23:16:22.000,n,Value,1
2026-05-13 23:16:23.000,0,imissed,0
2026-05-13 23:16:23.000,0,ibytes,10896992714
2026-05-13 23:16:23.000,0,opackets,0
2026-05-13 23:16:23.000,0,ierrors,0
2026-05-13 23:16:23.000,0,ipackets,181616555
2026-05-13 23:16:23.000,0,oerrors,0
2026-05-13 23:16:23.000,0,rx_nombuf,0
2026-05-13 23:16:23.000,0,obytes,0
2026-05-13 23:16:23.000,n,Value,1
