Linux 6.8.0-111-generic (testbed-node6) 	13/05/26 	_x86_64_	(24 CPU)

18:48:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:49:00     all    5,07    0,00    0,45    0,00    0,00   17,44    0,00    0,00    0,00   77,04
18:49:00       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:49:00       1    1,77    0,00    0,88    0,00    0,00   55,75    0,00    0,00    0,00   41,59
18:49:00       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:49:00       3    0,00    0,00    0,00    0,00    0,00   67,33    0,00    0,00    0,00   32,67
18:49:00       4    0,00    0,00    0,00    0,00    0,00   12,82    0,00    0,00    0,00   87,18
18:49:00       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:49:00       6    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
18:49:00       7    0,00    0,00    0,00    0,00    0,00    4,29    0,00    0,00    0,00   95,71
18:49:00       8   47,96    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   51,02
18:49:00       9   48,51    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   49,50
18:49:00      10    2,74    0,00    0,00    0,00    0,00    8,22    0,00    0,00    0,00   89,04
18:49:00      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:49:00      12    0,00    0,00    0,00    0,00    0,00   21,79    0,00    0,00    0,00   78,21
18:49:00      13    0,00    0,00    0,00    0,00    0,00   17,57    0,00    0,00    0,00   82,43
18:49:00      14   10,13    0,00    1,27    0,00    0,00   24,05    0,00    0,00    0,00   64,56
18:49:00      15    1,27    0,00    0,00    0,00    0,00   22,78    0,00    0,00    0,00   75,95
18:49:00      16    0,00    0,00    0,00    0,00    0,00   46,24    0,00    0,00    0,00   53,76
18:49:00      17    0,00    0,00    1,08    0,00    0,00   46,24    0,00    0,00    0,00   52,69
18:49:00      18    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
18:49:00      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:49:00      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:49:00      21    0,00    0,00    1,10    0,00    0,00   46,15    0,00    0,00    0,00   52,75
18:49:00      22    0,00    0,00    1,11    0,00    0,00   44,44    0,00    0,00    0,00   54,44
18:49:00      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

18:49:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:49:01     all    4,62    0,00    0,23    0,00    0,00   14,70    0,00    0,00    0,00   80,45
18:49:01       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:49:01       1    0,93    0,00    0,93    0,00    0,00   54,63    0,00    0,00    0,00   43,52
18:49:01       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
