Linux 6.8.0-111-generic (testbed-node6) 	13/05/26 	_x86_64_	(24 CPU)

18:38:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:38:06     all    0,86    0,00    0,51    0,00    0,00   21,30    0,00    0,00    0,00   77,33
18:38:06       0    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
18:38:06       1   10,78    0,00    0,98    0,00    0,00   60,78    0,00    0,00    0,00   27,45
18:38:06       2    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:38:06       3    0,00    0,00    0,00    0,00    0,00   99,00    0,00    0,00    0,00    1,00
18:38:06       4    0,00    0,00    0,00    0,00    0,00   42,11    0,00    0,00    0,00   57,89
18:38:06       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:06       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:06       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:06       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:06       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:06      10    0,00    0,00    0,00    0,00    0,00   20,00    0,00    0,00    0,00   80,00
18:38:06      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:06      12    0,00    0,00    0,00    0,00    0,00   15,79    0,00    0,00    0,00   84,21
18:38:06      13    3,03    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,97
18:38:06      14    1,05    0,00    0,00    0,00    0,00   36,84    0,00    0,00    0,00   62,11
18:38:06      15    0,00    0,00    0,00    0,00    0,00   33,71    0,00    0,00    0,00   66,29
18:38:06      16    0,00    0,00    0,00    0,00    0,00   53,00    0,00    0,00    0,00   47,00
18:38:06      17    0,00    0,00    1,02    0,00    0,00   53,06    0,00    0,00    0,00   45,92
18:38:06      18    0,99    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   97,03
18:38:06      19    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
18:38:06      20    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
18:38:06      21    0,00    0,00    1,96    0,00    0,00   50,00    0,00    0,00    0,00   48,04
18:38:06      22    1,02    0,00    2,04    0,00    0,00   47,96    0,00    0,00    0,00   48,98
18:38:06      23    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00

18:38:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:38:07     all    0,22    0,00    0,17    0,00    0,00   19,35    0,00    0,00    0,00   80,26
18:38:07       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:07       1    1,80    0,00    0,90    0,00    0,00   56,76    0,00    0,00    0,00   40,54
18:38:07       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:07       3    0,00    0,00    0,00    0,00    0,00   99,00    0,00    0,00    0,00    1,00
18:38:07       4    0,00    0,00    1,04    0,00    0,00   39,58    0,00    0,00    0,00   59,38
18:38:07       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:07       6    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
18:38:07       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:07       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:07       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:38:07      10    0,00    0,00    0,00    0,00    0,00    9,46    0,00    0,00    0,00   90,54
18:38:07      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
