Time,Port,Metric,Value
2026-05-13 19:39:00.000,0,ibytes,538
2026-05-13 19:39:00.000,0,opackets,0
2026-05-13 19:39:00.000,0,imissed,0
2026-05-13 19:39:00.000,0,oerrors,0
2026-05-13 19:39:00.000,0,rx_nombuf,0
2026-05-13 19:39:00.000,0,ierrors,0
2026-05-13 19:39:00.000,0,obytes,0
2026-05-13 19:39:00.000,0,ipackets,2
2026-05-13 19:39:00.000,n,Value,1
2026-05-13 19:39:01.000,0,ibytes,275444674
2026-05-13 19:39:01.000,0,opackets,0
2026-05-13 19:39:01.000,0,imissed,0
2026-05-13 19:39:01.000,0,oerrors,0
2026-05-13 19:39:01.000,0,rx_nombuf,0
2026-05-13 19:39:01.000,0,ierrors,0
2026-05-13 19:39:01.000,0,obytes,0
2026-05-13 19:39:01.000,0,ipackets,4590776
2026-05-13 19:39:01.000,n,Value,1
2026-05-13 19:39:02.000,0,ibytes,1232391054
2026-05-13 19:39:02.000,0,opackets,0
2026-05-13 19:39:02.000,0,imissed,0
2026-05-13 19:39:02.000,0,oerrors,0
2026-05-13 19:39:02.000,0,rx_nombuf,0
2026-05-13 19:39:02.000,0,ierrors,0
2026-05-13 19:39:02.000,0,obytes,0
2026-05-13 19:39:02.000,0,ipackets,20539845
2026-05-13 19:39:02.000,n,Value,1
2026-05-13 19:39:03.000,0,ibytes,2188649410
2026-05-13 19:39:03.000,0,opackets,0
2026-05-13 19:39:03.000,0,imissed,0
2026-05-13 19:39:03.000,0,oerrors,0
2026-05-13 19:39:03.000,0,rx_nombuf,0
2026-05-13 19:39:03.000,0,ierrors,0
2026-05-13 19:39:03.000,0,obytes,0
2026-05-13 19:39:03.000,0,ipackets,36477496
2026-05-13 19:39:03.000,n,Value,1
2026-05-13 19:39:04.000,0,ibytes,3147956038
2026-05-13 19:39:04.000,0,opackets,0
2026-05-13 19:39:04.000,0,imissed,0
2026-05-13 19:39:04.000,0,oerrors,0
2026-05-13 19:39:04.000,0,rx_nombuf,0
2026-05-13 19:39:04.000,0,ierrors,0
2026-05-13 19:39:04.000,0,obytes,0
2026-05-13 19:39:04.000,0,ipackets,52465927
2026-05-13 19:39:04.000,n,Value,1
2026-05-13 19:39:05.000,0,ibytes,4102816978
2026-05-13 19:39:05.000,0,opackets,0
2026-05-13 19:39:05.000,0,imissed,0
2026-05-13 19:39:05.000,0,oerrors,0
2026-05-13 19:39:05.000,0,rx_nombuf,0
2026-05-13 19:39:05.000,0,ierrors,0
2026-05-13 19:39:05.000,0,obytes,0
2026-05-13 19:39:05.000,0,ipackets,68380276
2026-05-13 19:39:05.000,n,Value,1
2026-05-13 19:39:06.000,0,ibytes,5058997930
2026-05-13 19:39:06.000,0,opackets,0
2026-05-13 19:39:06.000,0,imissed,0
2026-05-13 19:39:06.000,0,oerrors,0
2026-05-13 19:39:06.000,0,rx_nombuf,0
2026-05-13 19:39:06.000,0,ierrors,0
2026-05-13 19:39:06.000,0,obytes,0
2026-05-13 19:39:06.000,0,ipackets,84316654
2026-05-13 19:39:06.000,n,Value,1
2026-05-13 19:39:07.000,0,ibytes,6020522182
2026-05-13 19:39:07.000,0,opackets,0
2026-05-13 19:39:07.000,0,imissed,0
2026-05-13 19:39:07.000,0,oerrors,0
2026-05-13 19:39:07.000,0,rx_nombuf,0
2026-05-13 19:39:07.000,0,ierrors,0
2026-05-13 19:39:07.000,0,obytes,0
2026-05-13 19:39:07.000,0,ipackets,100342055
2026-05-13 19:39:07.000,n,Value,1
2026-05-13 19:39:08.000,0,ibytes,6982378134
2026-05-13 19:39:08.000,0,opackets,0
2026-05-13 19:39:08.000,0,imissed,0
2026-05-13 19:39:08.000,0,oerrors,0
2026-05-13 19:39:08.000,0,rx_nombuf,0
2026-05-13 19:39:08.000,0,ierrors,0
2026-05-13 19:39:08.000,0,obytes,0
2026-05-13 19:39:08.000,0,ipackets,116372963
2026-05-13 19:39:08.000,n,Value,1
2026-05-13 19:39:09.000,0,ibytes,7944741666
2026-05-13 19:39:09.000,0,opackets,0
2026-05-13 19:39:09.000,0,imissed,0
2026-05-13 19:39:09.000,0,oerrors,0
2026-05-13 19:39:09.000,0,rx_nombuf,0
2026-05-13 19:39:09.000,0,ierrors,0
2026-05-13 19:39:09.000,0,obytes,0
2026-05-13 19:39:09.000,0,ipackets,132412368
2026-05-13 19:39:09.000,n,Value,1
2026-05-13 19:39:10.000,0,ibytes,8906816690
2026-05-13 19:39:10.000,0,opackets,0
2026-05-13 19:39:10.000,0,imissed,0
2026-05-13 19:39:10.000,0,oerrors,0
2026-05-13 19:39:10.000,0,rx_nombuf,0
2026-05-13 19:39:10.000,0,ierrors,0
2026-05-13 19:39:10.000,0,obytes,0
2026-05-13 19:39:10.000,0,ipackets,148446956
2026-05-13 19:39:10.000,n,Value,1
2026-05-13 19:39:11.000,0,ibytes,9861756218
2026-05-13 19:39:11.000,0,opackets,0
2026-05-13 19:39:11.000,0,imissed,0
2026-05-13 19:39:11.000,0,oerrors,0
2026-05-13 19:39:11.000,0,rx_nombuf,0
2026-05-13 19:39:11.000,0,ierrors,0
2026-05-13 19:39:11.000,0,obytes,0
2026-05-13 19:39:11.000,0,ipackets,164362634
2026-05-13 19:39:11.000,n,Value,1
2026-05-13 19:39:12.000,0,ibytes,10816685802
2026-05-13 19:39:12.000,0,opackets,0
2026-05-13 19:39:12.000,0,imissed,0
2026-05-13 19:39:12.000,0,oerrors,0
2026-05-13 19:39:12.000,0,rx_nombuf,0
2026-05-13 19:39:12.000,0,ierrors,0
2026-05-13 19:39:12.000,0,obytes,0
2026-05-13 19:39:12.000,0,ipackets,180278126
2026-05-13 19:39:12.000,n,Value,1
2026-05-13 19:39:13.000,0,ibytes,11774449918
2026-05-13 19:39:13.000,0,opackets,0
2026-05-13 19:39:13.000,0,imissed,0
2026-05-13 19:39:13.000,0,oerrors,0
2026-05-13 19:39:13.000,0,rx_nombuf,0
2026-05-13 19:39:13.000,0,ierrors,0
2026-05-13 19:39:13.000,0,obytes,0
2026-05-13 19:39:13.000,0,ipackets,196240825
2026-05-13 19:39:13.000,n,Value,1
2026-05-13 19:39:14.000,0,ibytes,12737126798
2026-05-13 19:39:14.000,0,opackets,0
2026-05-13 19:39:14.000,0,imissed,0
2026-05-13 19:39:14.000,0,oerrors,0
2026-05-13 19:39:14.000,0,rx_nombuf,0
2026-05-13 19:39:14.000,0,ierrors,0
2026-05-13 19:39:14.000,0,obytes,0
2026-05-13 19:39:14.000,0,ipackets,212285445
2026-05-13 19:39:14.000,n,Value,1
