Time,Port,Metric,Value
2026-05-13 19:36:31.000,0,imissed,0
2026-05-13 19:36:31.000,0,ierrors,0
2026-05-13 19:36:31.000,0,ibytes,810
2026-05-13 19:36:31.000,0,rx_nombuf,0
2026-05-13 19:36:31.000,0,obytes,0
2026-05-13 19:36:31.000,0,opackets,0
2026-05-13 19:36:31.000,0,ipackets,3
2026-05-13 19:36:31.000,0,oerrors,0
2026-05-13 19:36:31.000,n,Value,1
2026-05-13 19:36:32.000,0,imissed,0
2026-05-13 19:36:32.000,0,ierrors,0
2026-05-13 19:36:32.000,0,ibytes,810
2026-05-13 19:36:32.000,0,rx_nombuf,0
2026-05-13 19:36:32.000,0,obytes,0
2026-05-13 19:36:32.000,0,opackets,0
2026-05-13 19:36:32.000,0,ipackets,3
2026-05-13 19:36:32.000,0,oerrors,0
2026-05-13 19:36:32.000,n,Value,1
2026-05-13 19:36:33.000,0,imissed,0
2026-05-13 19:36:33.000,0,ierrors,0
2026-05-13 19:36:33.000,0,ibytes,810
2026-05-13 19:36:33.000,0,rx_nombuf,0
2026-05-13 19:36:33.000,0,obytes,0
2026-05-13 19:36:33.000,0,opackets,0
2026-05-13 19:36:33.000,0,ipackets,3
2026-05-13 19:36:33.000,0,oerrors,0
2026-05-13 19:36:33.000,n,Value,1
2026-05-13 19:36:34.000,0,imissed,0
2026-05-13 19:36:34.000,0,ierrors,0
2026-05-13 19:36:34.000,0,ibytes,810
2026-05-13 19:36:34.000,0,rx_nombuf,0
2026-05-13 19:36:34.000,0,obytes,0
2026-05-13 19:36:34.000,0,opackets,0
2026-05-13 19:36:34.000,0,ipackets,3
2026-05-13 19:36:34.000,0,oerrors,0
2026-05-13 19:36:34.000,n,Value,1
2026-05-13 19:36:35.000,0,imissed,0
2026-05-13 19:36:35.000,0,ierrors,0
2026-05-13 19:36:35.000,0,ibytes,810
2026-05-13 19:36:35.000,0,rx_nombuf,0
2026-05-13 19:36:35.000,0,obytes,0
2026-05-13 19:36:35.000,0,opackets,0
2026-05-13 19:36:35.000,0,ipackets,3
2026-05-13 19:36:35.000,0,oerrors,0
2026-05-13 19:36:35.000,n,Value,1
2026-05-13 19:36:36.000,0,imissed,0
2026-05-13 19:36:36.000,0,ierrors,0
2026-05-13 19:36:36.000,0,ibytes,810
2026-05-13 19:36:36.000,0,rx_nombuf,0
2026-05-13 19:36:36.000,0,obytes,0
2026-05-13 19:36:36.000,0,opackets,0
2026-05-13 19:36:36.000,0,ipackets,3
2026-05-13 19:36:36.000,0,oerrors,0
2026-05-13 19:36:36.000,n,Value,1
2026-05-13 19:36:37.000,0,imissed,0
2026-05-13 19:36:37.000,0,ierrors,0
2026-05-13 19:36:37.000,0,ibytes,810
2026-05-13 19:36:37.000,0,rx_nombuf,0
2026-05-13 19:36:37.000,0,obytes,0
2026-05-13 19:36:37.000,0,opackets,0
2026-05-13 19:36:37.000,0,ipackets,3
2026-05-13 19:36:37.000,0,oerrors,0
2026-05-13 19:36:37.000,n,Value,1
2026-05-13 19:36:38.000,0,imissed,0
2026-05-13 19:36:38.000,0,ierrors,0
2026-05-13 19:36:38.000,0,ibytes,810
2026-05-13 19:36:38.000,0,rx_nombuf,0
2026-05-13 19:36:38.000,0,obytes,0
2026-05-13 19:36:38.000,0,opackets,0
2026-05-13 19:36:38.000,0,ipackets,3
2026-05-13 19:36:38.000,0,oerrors,0
2026-05-13 19:36:38.000,n,Value,1
2026-05-13 19:36:39.000,0,imissed,0
2026-05-13 19:36:39.000,0,ierrors,0
2026-05-13 19:36:39.000,0,ibytes,810
2026-05-13 19:36:39.000,0,rx_nombuf,0
2026-05-13 19:36:39.000,0,obytes,0
2026-05-13 19:36:39.000,0,opackets,0
2026-05-13 19:36:39.000,0,ipackets,3
2026-05-13 19:36:39.000,0,oerrors,0
2026-05-13 19:36:39.000,n,Value,1
2026-05-13 19:36:40.000,0,imissed,0
2026-05-13 19:36:40.000,0,ierrors,0
2026-05-13 19:36:40.000,0,ibytes,810
2026-05-13 19:36:40.000,0,rx_nombuf,0
2026-05-13 19:36:40.000,0,obytes,0
2026-05-13 19:36:40.000,0,opackets,0
2026-05-13 19:36:40.000,0,ipackets,3
2026-05-13 19:36:40.000,0,oerrors,0
2026-05-13 19:36:40.000,n,Value,1
2026-05-13 19:36:41.000,0,imissed,0
2026-05-13 19:36:41.000,0,ierrors,0
2026-05-13 19:36:41.000,0,ibytes,810
2026-05-13 19:36:41.000,0,rx_nombuf,0
2026-05-13 19:36:41.000,0,obytes,0
2026-05-13 19:36:41.000,0,opackets,0
2026-05-13 19:36:41.000,0,ipackets,3
2026-05-13 19:36:41.000,0,oerrors,0
2026-05-13 19:36:41.000,n,Value,1
2026-05-13 19:36:42.000,0,imissed,0
2026-05-13 19:36:42.000,0,ierrors,0
2026-05-13 19:36:42.000,0,ibytes,810
2026-05-13 19:36:42.000,0,rx_nombuf,0
2026-05-13 19:36:42.000,0,obytes,0
2026-05-13 19:36:42.000,0,opackets,0
2026-05-13 19:36:42.000,0,ipackets,3
2026-05-13 19:36:42.000,0,oerrors,0
2026-05-13 19:36:42.000,n,Value,1
2026-05-13 19:36:43.000,0,imissed,0
2026-05-13 19:36:43.000,0,ierrors,0
2026-05-13 19:36:43.000,0,ibytes,810
2026-05-13 19:36:43.000,0,rx_nombuf,0
2026-05-13 19:36:43.000,0,obytes,0
2026-05-13 19:36:43.000,0,opackets,0
2026-05-13 19:36:43.000,0,ipackets,3
2026-05-13 19:36:43.000,0,oerrors,0
2026-05-13 19:36:43.000,n,Value,1
2026-05-13 19:36:44.000,0,imissed,0
2026-05-13 19:36:44.000,0,ierrors,0
2026-05-13 19:36:44.000,0,ibytes,810
2026-05-13 19:36:44.000,0,rx_nombuf,0
2026-05-13 19:36:44.000,0,obytes,0
2026-05-13 19:36:44.000,0,opackets,0
2026-05-13 19:36:44.000,0,ipackets,3
2026-05-13 19:36:44.000,0,oerrors,0
2026-05-13 19:36:44.000,n,Value,1
2026-05-13 19:36:45.000,0,imissed,0
2026-05-13 19:36:45.000,0,ierrors,0
2026-05-13 19:36:45.000,0,ibytes,810
2026-05-13 19:36:45.000,0,rx_nombuf,0
2026-05-13 19:36:45.000,0,obytes,0
2026-05-13 19:36:45.000,0,opackets,0
2026-05-13 19:36:45.000,0,ipackets,3
2026-05-13 19:36:45.000,0,oerrors,0
2026-05-13 19:36:45.000,n,Value,1
2026-05-13 19:36:46.000,0,imissed,0
2026-05-13 19:36:46.000,0,ierrors,0
2026-05-13 19:36:46.000,0,ibytes,810
2026-05-13 19:36:46.000,0,rx_nombuf,0
2026-05-13 19:36:46.000,0,obytes,0
2026-05-13 19:36:46.000,0,opackets,0
2026-05-13 19:36:46.000,0,ipackets,3
2026-05-13 19:36:46.000,0,oerrors,0
2026-05-13 19:36:46.000,n,Value,1
2026-05-13 19:36:47.000,0,imissed,0
2026-05-13 19:36:47.000,0,ierrors,0
2026-05-13 19:36:47.000,0,ibytes,810
2026-05-13 19:36:47.000,0,rx_nombuf,0
2026-05-13 19:36:47.000,0,obytes,0
2026-05-13 19:36:47.000,0,opackets,0
2026-05-13 19:36:47.000,0,ipackets,3
2026-05-13 19:36:47.000,0,oerrors,0
2026-05-13 19:36:47.000,n,Value,1
2026-05-13 19:36:48.000,0,imissed,0
2026-05-13 19:36:48.000,0,ierrors,0
2026-05-13 19:36:48.000,0,ibytes,810
2026-05-13 19:36:48.000,0,rx_nombuf,0
2026-05-13 19:36:48.000,0,obytes,0
2026-05-13 19:36:48.000,0,opackets,0
2026-05-13 19:36:48.000,0,ipackets,3
2026-05-13 19:36:48.000,0,oerrors,0
2026-05-13 19:36:48.000,n,Value,1
2026-05-13 19:36:49.000,0,imissed,0
2026-05-13 19:36:49.000,0,ierrors,0
2026-05-13 19:36:49.000,0,ibytes,810
2026-05-13 19:36:49.000,0,rx_nombuf,0
2026-05-13 19:36:49.000,0,obytes,0
2026-05-13 19:36:49.000,0,opackets,0
2026-05-13 19:36:49.000,0,ipackets,3
2026-05-13 19:36:49.000,0,oerrors,0
2026-05-13 19:36:49.000,n,Value,1
2026-05-13 19:36:50.000,0,imissed,0
2026-05-13 19:36:50.000,0,ierrors,0
2026-05-13 19:36:50.000,0,ibytes,810
2026-05-13 19:36:50.000,0,rx_nombuf,0
2026-05-13 19:36:50.000,0,obytes,0
2026-05-13 19:36:50.000,0,opackets,0
2026-05-13 19:36:50.000,0,ipackets,3
2026-05-13 19:36:50.000,0,oerrors,0
2026-05-13 19:36:50.000,n,Value,1
2026-05-13 19:36:51.000,0,imissed,0
2026-05-13 19:36:51.000,0,ierrors,0
2026-05-13 19:36:51.000,0,ibytes,810
2026-05-13 19:36:51.000,0,rx_nombuf,0
2026-05-13 19:36:51.000,0,obytes,0
2026-05-13 19:36:51.000,0,opackets,0
2026-05-13 19:36:51.000,0,ipackets,3
2026-05-13 19:36:51.000,0,oerrors,0
2026-05-13 19:36:51.000,n,Value,1
2026-05-13 19:36:52.000,0,imissed,0
2026-05-13 19:36:52.000,0,ierrors,0
2026-05-13 19:36:52.000,0,ibytes,810
2026-05-13 19:36:52.000,0,rx_nombuf,0
2026-05-13 19:36:52.000,0,obytes,0
2026-05-13 19:36:52.000,0,opackets,0
2026-05-13 19:36:52.000,0,ipackets,3
2026-05-13 19:36:52.000,0,oerrors,0
2026-05-13 19:36:52.000,n,Value,1
2026-05-13 19:36:53.000,0,imissed,0
