Time,Port,Metric,Value
2026-05-19 14:11:02.000,0,rx_nombuf,0
2026-05-19 14:11:02.000,0,obytes,0
2026-05-19 14:11:02.000,0,ipackets,4
2026-05-19 14:11:02.000,0,ibytes,1143
2026-05-19 14:11:02.000,0,opackets,0
2026-05-19 14:11:02.000,0,ierrors,0
2026-05-19 14:11:02.000,0,imissed,0
2026-05-19 14:11:02.000,0,oerrors,0
2026-05-19 14:11:02.000,n,Value,1
2026-05-19 14:11:03.000,0,rx_nombuf,0
2026-05-19 14:11:03.000,0,obytes,0
2026-05-19 14:11:03.000,0,ipackets,4
2026-05-19 14:11:03.000,0,ibytes,1143
2026-05-19 14:11:03.000,0,opackets,0
2026-05-19 14:11:03.000,0,ierrors,0
2026-05-19 14:11:03.000,0,imissed,0
2026-05-19 14:11:03.000,0,oerrors,0
2026-05-19 14:11:03.000,n,Value,1
2026-05-19 14:11:04.000,0,rx_nombuf,0
2026-05-19 14:11:04.000,0,obytes,0
2026-05-19 14:11:04.000,0,ipackets,4
2026-05-19 14:11:04.000,0,ibytes,1143
2026-05-19 14:11:04.000,0,opackets,0
2026-05-19 14:11:04.000,0,ierrors,0
2026-05-19 14:11:04.000,0,imissed,0
2026-05-19 14:11:04.000,0,oerrors,0
2026-05-19 14:11:04.000,n,Value,1
2026-05-19 14:11:05.000,0,rx_nombuf,0
2026-05-19 14:11:05.000,0,obytes,0
2026-05-19 14:11:05.000,0,ipackets,4
2026-05-19 14:11:05.000,0,ibytes,1143
2026-05-19 14:11:05.000,0,opackets,0
2026-05-19 14:11:05.000,0,ierrors,0
2026-05-19 14:11:05.000,0,imissed,0
2026-05-19 14:11:05.000,0,oerrors,0
2026-05-19 14:11:05.000,n,Value,1
2026-05-19 14:11:06.000,0,rx_nombuf,0
2026-05-19 14:11:06.000,0,obytes,0
2026-05-19 14:11:06.000,0,ipackets,4
2026-05-19 14:11:06.000,0,ibytes,1143
2026-05-19 14:11:06.000,0,opackets,0
2026-05-19 14:11:06.000,0,ierrors,0
2026-05-19 14:11:06.000,0,imissed,0
2026-05-19 14:11:06.000,0,oerrors,0
2026-05-19 14:11:06.000,n,Value,1
2026-05-19 14:11:07.000,0,rx_nombuf,0
2026-05-19 14:11:07.000,0,obytes,0
2026-05-19 14:11:07.000,0,ipackets,4
2026-05-19 14:11:07.000,0,ibytes,1143
2026-05-19 14:11:07.000,0,opackets,0
2026-05-19 14:11:07.000,0,ierrors,0
2026-05-19 14:11:07.000,0,imissed,0
2026-05-19 14:11:07.000,0,oerrors,0
2026-05-19 14:11:07.000,n,Value,1
2026-05-19 14:11:08.000,0,rx_nombuf,0
2026-05-19 14:11:08.000,0,obytes,0
2026-05-19 14:11:08.000,0,ipackets,4
2026-05-19 14:11:08.000,0,ibytes,1143
2026-05-19 14:11:08.000,0,opackets,0
2026-05-19 14:11:08.000,0,ierrors,0
2026-05-19 14:11:08.000,0,imissed,0
2026-05-19 14:11:08.000,0,oerrors,0
2026-05-19 14:11:08.000,n,Value,1
2026-05-19 14:11:09.000,0,rx_nombuf,0
2026-05-19 14:11:09.000,0,obytes,0
2026-05-19 14:11:09.000,0,ipackets,4
2026-05-19 14:11:09.000,0,ibytes,1143
2026-05-19 14:11:09.000,0,opackets,0
2026-05-19 14:11:09.000,0,ierrors,0
2026-05-19 14:11:09.000,0,imissed,0
2026-05-19 14:11:09.000,0,oerrors,0
2026-05-19 14:11:09.000,n,Value,1
2026-05-19 14:11:10.000,0,rx_nombuf,0
2026-05-19 14:11:10.000,0,obytes,0
2026-05-19 14:11:10.000,0,ipackets,4
2026-05-19 14:11:10.000,0,ibytes,1143
2026-05-19 14:11:10.000,0,opackets,0
2026-05-19 14:11:10.000,0,ierrors,0
2026-05-19 14:11:10.000,0,imissed,0
2026-05-19 14:11:10.000,0,oerrors,0
2026-05-19 14:11:10.000,n,Value,1
2026-05-19 14:11:11.000,0,rx_nombuf,0
