Time,Port,Metric,Value
2026-05-19 14:23:40.000,1,rx_nombuf,0
2026-05-19 14:23:40.000,1,imissed,0
2026-05-19 14:23:40.000,1,oerrors,0
2026-05-19 14:23:40.000,1,ierrors,0
2026-05-19 14:23:40.000,1,opackets,0
2026-05-19 14:23:40.000,1,ibytes,605
2026-05-19 14:23:40.000,1,ipackets,2
2026-05-19 14:23:40.000,1,obytes,0
2026-05-19 14:23:40.000,0,rx_nombuf,0
2026-05-19 14:23:40.000,0,imissed,0
2026-05-19 14:23:40.000,0,oerrors,0
2026-05-19 14:23:40.000,0,ierrors,0
2026-05-19 14:23:40.000,0,opackets,0
2026-05-19 14:23:40.000,0,ibytes,0
2026-05-19 14:23:40.000,0,ipackets,0
2026-05-19 14:23:40.000,0,obytes,0
2026-05-19 14:23:40.000,n,Value,2
2026-05-19 14:23:41.000,1,rx_nombuf,0
2026-05-19 14:23:41.000,1,imissed,0
2026-05-19 14:23:41.000,1,oerrors,0
2026-05-19 14:23:41.000,1,ierrors,0
2026-05-19 14:23:41.000,1,opackets,0
2026-05-19 14:23:41.000,1,ibytes,455933885
2026-05-19 14:23:41.000,1,ipackets,7598890
2026-05-19 14:23:41.000,1,obytes,0
2026-05-19 14:23:41.000,0,rx_nombuf,0
2026-05-19 14:23:41.000,0,imissed,0
2026-05-19 14:23:41.000,0,oerrors,0
2026-05-19 14:23:41.000,0,ierrors,0
2026-05-19 14:23:41.000,0,opackets,0
2026-05-19 14:23:41.000,0,ibytes,0
2026-05-19 14:23:41.000,0,ipackets,0
2026-05-19 14:23:41.000,0,obytes,0
2026-05-19 14:23:41.000,n,Value,2
2026-05-19 14:23:42.000,1,rx_nombuf,0
2026-05-19 14:23:42.000,1,imissed,0
2026-05-19 14:23:42.000,1,oerrors,0
2026-05-19 14:23:42.000,1,ierrors,0
2026-05-19 14:23:42.000,1,opackets,0
2026-05-19 14:23:42.000,1,ibytes,1024909707
2026-05-19 14:23:42.000,1,ipackets,17081823
2026-05-19 14:23:42.000,1,obytes,0
2026-05-19 14:23:42.000,0,rx_nombuf,0
2026-05-19 14:23:42.000,0,imissed,0
2026-05-19 14:23:42.000,0,oerrors,0
2026-05-19 14:23:42.000,0,ierrors,0
2026-05-19 14:23:42.000,0,opackets,0
2026-05-19 14:23:42.000,0,ibytes,814
2026-05-19 14:23:42.000,0,ipackets,3
2026-05-19 14:23:42.000,0,obytes,0
2026-05-19 14:23:42.000,n,Value,2
2026-05-19 14:23:43.000,1,rx_nombuf,0
2026-05-19 14:23:43.000,1,imissed,0
2026-05-19 14:23:43.000,1,oerrors,0
2026-05-19 14:23:43.000,1,ierrors,0
2026-05-19 14:23:43.000,1,opackets,0
2026-05-19 14:23:43.000,1,ibytes,1594700887
2026-05-19 14:23:43.000,1,ipackets,26578364
2026-05-19 14:23:43.000,1,obytes,0
