Time,Port,Metric,Value
2026-05-19 12:23:10.000,0,imissed,0
2026-05-19 12:23:10.000,0,obytes,0
2026-05-19 12:23:10.000,0,ierrors,0
2026-05-19 12:23:10.000,0,ipackets,2
2026-05-19 12:23:10.000,0,oerrors,0
2026-05-19 12:23:10.000,0,opackets,0
2026-05-19 12:23:10.000,0,rx_nombuf,0
2026-05-19 12:23:10.000,0,ibytes,538
2026-05-19 12:23:10.000,n,Value,1
2026-05-19 12:23:11.000,0,imissed,0
2026-05-19 12:23:11.000,0,obytes,1256418004
2026-05-19 12:23:11.000,0,ierrors,0
2026-05-19 12:23:11.000,0,ipackets,3
2026-05-19 12:23:11.000,0,oerrors,57
2026-05-19 12:23:11.000,0,opackets,20940331
2026-05-19 12:23:11.000,0,rx_nombuf,0
2026-05-19 12:23:11.000,0,ibytes,871
2026-05-19 12:23:11.000,n,Value,1
2026-05-19 12:23:12.000,0,imissed,0
2026-05-19 12:23:12.000,0,obytes,3488607604
2026-05-19 12:23:12.000,0,ierrors,0
2026-05-19 12:23:12.000,0,ipackets,3
2026-05-19 12:23:12.000,0,oerrors,157
2026-05-19 12:23:12.000,0,opackets,58143491
2026-05-19 12:23:12.000,0,rx_nombuf,0
2026-05-19 12:23:12.000,0,ibytes,871
2026-05-19 12:23:12.000,n,Value,1
2026-05-19 12:23:13.000,0,imissed,0
2026-05-19 12:23:13.000,0,obytes,5720797984
2026-05-19 12:23:13.000,0,ierrors,0
2026-05-19 12:23:13.000,0,ipackets,3
2026-05-19 12:23:13.000,0,oerrors,257
2026-05-19 12:23:13.000,0,opackets,95346664
2026-05-19 12:23:13.000,0,rx_nombuf,0
2026-05-19 12:23:13.000,0,ibytes,871
2026-05-19 12:23:13.000,n,Value,1
2026-05-19 12:23:14.000,0,imissed,0
2026-05-19 12:23:14.000,0,obytes,7952987944
2026-05-19 12:23:14.000,0,ierrors,0
2026-05-19 12:23:14.000,0,ipackets,3
2026-05-19 12:23:14.000,0,oerrors,357
2026-05-19 12:23:14.000,0,opackets,132549830
2026-05-19 12:23:14.000,0,rx_nombuf,0
2026-05-19 12:23:14.000,0,ibytes,871
2026-05-19 12:23:14.000,n,Value,1
2026-05-19 12:23:15.000,0,imissed,0
2026-05-19 12:23:15.000,0,obytes,10185177964
2026-05-19 12:23:15.000,0,ierrors,0
2026-05-19 12:23:15.000,0,ipackets,3
2026-05-19 12:23:15.000,0,oerrors,457
2026-05-19 12:23:15.000,0,opackets,169752997
2026-05-19 12:23:15.000,0,rx_nombuf,0
2026-05-19 12:23:15.000,0,ibytes,871
2026-05-19 12:23:15.000,n,Value,1
2026-05-19 12:23:16.000,0,imissed,0
2026-05-19 12:23:16.000,0,obytes,12417368104
2026-05-19 12:23:16.000,0,ierrors,0
2026-05-19 12:23:16.000,0,ipackets,3
2026-05-19 12:23:16.000,0,oerrors,557
2026-05-19 12:23:16.000,0,opackets,206956166
2026-05-19 12:23:16.000,0,rx_nombuf,0
2026-05-19 12:23:16.000,0,ibytes,871
2026-05-19 12:23:16.000,n,Value,1
2026-05-19 12:23:17.000,0,imissed,0
2026-05-19 12:23:17.000,0,obytes,14649558180
2026-05-19 12:23:17.000,0,ierrors,0
2026-05-19 12:23:17.000,0,ipackets,3
2026-05-19 12:23:17.000,0,oerrors,657
2026-05-19 12:23:17.000,0,opackets,244159335
2026-05-19 12:23:17.000,0,rx_nombuf,0
2026-05-19 12:23:17.000,0,ibytes,871
2026-05-19 12:23:17.000,n,Value,1
2026-05-19 12:23:18.000,0,imissed,0
2026-05-19 12:23:18.000,0,obytes,16881748324
2026-05-19 12:23:18.000,0,ierrors,0
2026-05-19 12:23:18.000,0,ipackets,3
2026-05-19 12:23:18.000,0,oerrors,757
2026-05-19 12:23:18.000,0,opackets,281362503
2026-05-19 12:23:18.000,0,rx_nombuf,0
2026-05-19 12:23:18.000,0,ibytes,871
2026-05-19 12:23:18.000,n,Value,1
2026-05-19 12:23:19.000,0,imissed,0
2026-05-19 12:23:19.000,0,obytes,19113938648
2026-05-19 12:23:19.000,0,ierrors,0
2026-05-19 12:23:19.000,0,ipackets,3
2026-05-19 12:23:19.000,0,oerrors,857
2026-05-19 12:23:19.000,0,opackets,318565674
2026-05-19 12:23:19.000,0,rx_nombuf,0
2026-05-19 12:23:19.000,0,ibytes,871
2026-05-19 12:23:19.000,n,Value,1
2026-05-19 12:23:20.000,0,imissed,0
2026-05-19 12:23:20.000,0,obytes,21346128668
2026-05-19 12:23:20.000,0,ierrors,0
2026-05-19 12:23:20.000,0,ipackets,3
2026-05-19 12:23:20.000,0,oerrors,957
2026-05-19 12:23:20.000,0,opackets,355768841
2026-05-19 12:23:20.000,0,rx_nombuf,0
2026-05-19 12:23:20.000,0,ibytes,871
2026-05-19 12:23:20.000,n,Value,1
2026-05-19 12:23:21.000,0,imissed,0
2026-05-19 12:23:21.000,0,obytes,23578318204
2026-05-19 12:23:21.000,0,ierrors,0
2026-05-19 12:23:21.000,0,ipackets,3
2026-05-19 12:23:21.000,0,oerrors,1057
2026-05-19 12:23:21.000,0,opackets,392972001
2026-05-19 12:23:21.000,0,rx_nombuf,0
2026-05-19 12:23:21.000,0,ibytes,871
2026-05-19 12:23:21.000,n,Value,1
2026-05-19 12:23:22.000,0,imissed,0
2026-05-19 12:23:22.000,0,obytes,25810508224
2026-05-19 12:23:22.000,0,ierrors,0
2026-05-19 12:23:22.000,0,ipackets,3
2026-05-19 12:23:22.000,0,oerrors,1157
2026-05-19 12:23:22.000,0,opackets,430175168
2026-05-19 12:23:22.000,0,rx_nombuf,0
2026-05-19 12:23:22.000,0,ibytes,871
2026-05-19 12:23:22.000,n,Value,1
2026-05-19 12:23:23.000,0,imissed,0
2026-05-19 12:23:23.000,0,obytes,28042698128
2026-05-19 12:23:23.000,0,ierrors,0
2026-05-19 12:23:23.000,0,ipackets,3
2026-05-19 12:23:23.000,0,oerrors,1257
2026-05-19 12:23:23.000,0,opackets,467378332
2026-05-19 12:23:23.000,0,rx_nombuf,0
2026-05-19 12:23:23.000,0,ibytes,871
2026-05-19 12:23:23.000,n,Value,1
2026-05-19 12:23:24.000,0,imissed,0
2026-05-19 12:23:24.000,0,obytes,30274888144
2026-05-19 12:23:24.000,0,ierrors,0
2026-05-19 12:23:24.000,0,ipackets,3
2026-05-19 12:23:24.000,0,oerrors,1357
2026-05-19 12:23:24.000,0,opackets,504581500
2026-05-19 12:23:24.000,0,rx_nombuf,0
2026-05-19 12:23:24.000,0,ibytes,871
2026-05-19 12:23:24.000,n,Value,1
2026-05-19 12:23:25.000,0,imissed,0
2026-05-19 12:23:25.000,0,obytes,32507078044
2026-05-19 12:23:25.000,0,ierrors,0
2026-05-19 12:23:25.000,0,ipackets,3
2026-05-19 12:23:25.000,0,oerrors,1457
2026-05-19 12:23:25.000,0,opackets,541784665
2026-05-19 12:23:25.000,0,rx_nombuf,0
2026-05-19 12:23:25.000,0,ibytes,871
2026-05-19 12:23:25.000,n,Value,1
2026-05-19 12:23:26.000,0,imissed,0
2026-05-19 12:23:26.000,0,obytes,34739266204
2026-05-19 12:23:26.000,0,ierrors,0
2026-05-19 12:23:26.000,0,ipackets,3
2026-05-19 12:23:26.000,0,oerrors,1557
2026-05-19 12:23:26.000,0,opackets,578987801
2026-05-19 12:23:26.000,0,rx_nombuf,0
