Time,Port,Metric,Value
2026-05-29 15:17:42.000,1,obytes,0
2026-05-29 15:17:42.000,1,opackets,0
2026-05-29 15:17:42.000,1,ibytes,272
2026-05-29 15:17:42.000,1,imissed,0
2026-05-29 15:17:42.000,1,ierrors,0
2026-05-29 15:17:42.000,1,rx_nombuf,0
2026-05-29 15:17:42.000,1,oerrors,0
2026-05-29 15:17:42.000,1,ipackets,1
2026-05-29 15:17:42.000,0,obytes,0
2026-05-29 15:17:42.000,0,opackets,0
2026-05-29 15:17:42.000,0,ibytes,0
2026-05-29 15:17:42.000,0,imissed,0
2026-05-29 15:17:42.000,0,ierrors,0
2026-05-29 15:17:42.000,0,rx_nombuf,0
2026-05-29 15:17:42.000,0,oerrors,0
2026-05-29 15:17:42.000,0,ipackets,0
2026-05-29 15:17:42.000,n,Value,2
2026-05-29 15:17:43.000,1,obytes,0
2026-05-29 15:17:43.000,1,opackets,0
2026-05-29 15:17:43.000,1,ibytes,354394218
2026-05-29 15:17:43.000,1,imissed,0
2026-05-29 15:17:43.000,1,ierrors,0
2026-05-29 15:17:43.000,1,rx_nombuf,0
2026-05-29 15:17:43.000,1,oerrors,0
2026-05-29 15:17:43.000,1,ipackets,5906563
2026-05-29 15:17:43.000,0,obytes,1378861556
2026-05-29 15:17:43.000,0,opackets,22981059
2026-05-29 15:17:43.000,0,ibytes,814
2026-05-29 15:17:43.000,0,imissed,0
2026-05-29 15:17:43.000,0,ierrors,0
2026-05-29 15:17:43.000,0,rx_nombuf,0
2026-05-29 15:17:43.000,0,oerrors,0
2026-05-29 15:17:43.000,0,ipackets,3
2026-05-29 15:17:43.000,n,Value,2
2026-05-29 15:17:44.000,1,obytes,0
2026-05-29 15:17:44.000,1,opackets,0
2026-05-29 15:17:44.000,1,ibytes,1031616690
2026-05-29 15:17:44.000,1,imissed,0
2026-05-29 15:17:44.000,1,ierrors,0
2026-05-29 15:17:44.000,1,rx_nombuf,0
2026-05-29 15:17:44.000,1,oerrors,0
2026-05-29 15:17:44.000,1,ipackets,17193633
2026-05-29 15:17:44.000,0,obytes,3611065096
2026-05-29 15:17:44.000,0,opackets,60184462
2026-05-29 15:17:44.000,0,ibytes,814
2026-05-29 15:17:44.000,0,imissed,0
2026-05-29 15:17:44.000,0,ierrors,0
2026-05-29 15:17:44.000,0,rx_nombuf,0
2026-05-29 15:17:44.000,0,oerrors,0
2026-05-29 15:17:44.000,0,ipackets,3
2026-05-29 15:17:44.000,n,Value,2
2026-05-29 15:17:45.000,1,obytes,0
2026-05-29 15:17:45.000,1,opackets,0
2026-05-29 15:17:45.000,1,ibytes,1715947050
2026-05-29 15:17:45.000,1,imissed,0
2026-05-29 15:17:45.000,1,ierrors,0
2026-05-29 15:17:45.000,1,rx_nombuf,0
2026-05-29 15:17:45.000,1,oerrors,0
2026-05-29 15:17:45.000,1,ipackets,28599107
2026-05-29 15:17:45.000,0,obytes,5843267220
2026-05-29 15:17:45.000,0,opackets,97387819
2026-05-29 15:17:45.000,0,ibytes,814
2026-05-29 15:17:45.000,0,imissed,0
2026-05-29 15:17:45.000,0,ierrors,0
2026-05-29 15:17:45.000,0,rx_nombuf,0
2026-05-29 15:17:45.000,0,oerrors,0
2026-05-29 15:17:45.000,0,ipackets,3
2026-05-29 15:17:45.000,n,Value,2
2026-05-29 15:17:46.000,1,obytes,0
2026-05-29 15:17:46.000,1,opackets,0
2026-05-29 15:17:46.000,1,ibytes,2389734254
2026-05-29 15:17:46.000,1,imissed,0
2026-05-29 15:17:46.000,1,ierrors,0
2026-05-29 15:17:46.000,1,rx_nombuf,0
2026-05-29 15:17:46.000,1,oerrors,0
2026-05-29 15:17:46.000,1,ipackets,39828930
2026-05-29 15:17:46.000,0,obytes,8069714564
2026-05-29 15:17:46.000,0,opackets,134495279
2026-05-29 15:17:46.000,0,ibytes,814
2026-05-29 15:17:46.000,0,imissed,0
2026-05-29 15:17:46.000,0,ierrors,0
2026-05-29 15:17:46.000,0,rx_nombuf,0
2026-05-29 15:17:46.000,0,oerrors,0
2026-05-29 15:17:46.000,0,ipackets,3
2026-05-29 15:17:46.000,n,Value,2
2026-05-29 15:17:47.000,1,obytes,0
2026-05-29 15:17:47.000,1,opackets,0
2026-05-29 15:17:47.000,1,ibytes,3072615122
2026-05-29 15:17:47.000,1,imissed,0
2026-05-29 15:17:47.000,1,ierrors,0
2026-05-29 15:17:47.000,1,rx_nombuf,0
2026-05-29 15:17:47.000,1,oerrors,0
2026-05-29 15:17:47.000,1,ipackets,51210265
2026-05-29 15:17:47.000,0,obytes,10292284264
2026-05-29 15:17:47.000,0,opackets,171538102
2026-05-29 15:17:47.000,0,ibytes,814
2026-05-29 15:17:47.000,0,imissed,0
2026-05-29 15:17:47.000,0,ierrors,0
