Time,Port,Metric,Value
2026-05-31 10:16:31.000,1,ibytes,1143
2026-05-31 10:16:31.000,1,opackets,0
2026-05-31 10:16:31.000,1,ipackets,4
2026-05-31 10:16:31.000,1,rx_nombuf,0
2026-05-31 10:16:31.000,1,ierrors,0
2026-05-31 10:16:31.000,1,imissed,0
2026-05-31 10:16:31.000,1,oerrors,0
2026-05-31 10:16:31.000,1,obytes,0
2026-05-31 10:16:31.000,0,ibytes,814
2026-05-31 10:16:31.000,0,opackets,0
2026-05-31 10:16:31.000,0,ipackets,3
2026-05-31 10:16:31.000,0,rx_nombuf,0
2026-05-31 10:16:31.000,0,ierrors,0
2026-05-31 10:16:31.000,0,imissed,0
2026-05-31 10:16:31.000,0,oerrors,0
2026-05-31 10:16:31.000,0,obytes,0
2026-05-31 10:16:31.000,n,Value,2
2026-05-31 10:16:32.000,1,ibytes,1261629063
2026-05-31 10:16:32.000,1,opackets,0
2026-05-31 10:16:32.000,1,ipackets,21027136
2026-05-31 10:16:32.000,1,rx_nombuf,0
2026-05-31 10:16:32.000,1,ierrors,0
2026-05-31 10:16:32.000,1,imissed,0
2026-05-31 10:16:32.000,1,oerrors,0
2026-05-31 10:16:32.000,1,obytes,0
2026-05-31 10:16:32.000,0,ibytes,1147
2026-05-31 10:16:32.000,0,opackets,0
2026-05-31 10:16:32.000,0,ipackets,4
2026-05-31 10:16:32.000,0,rx_nombuf,0
2026-05-31 10:16:32.000,0,ierrors,0
2026-05-31 10:16:32.000,0,imissed,0
2026-05-31 10:16:32.000,0,oerrors,0
2026-05-31 10:16:32.000,0,obytes,0
2026-05-31 10:16:32.000,n,Value,2
2026-05-31 10:16:33.000,1,ibytes,2652602527
2026-05-31 10:16:33.000,1,opackets,0
2026-05-31 10:16:33.000,1,ipackets,44210058
2026-05-31 10:16:33.000,1,rx_nombuf,0
2026-05-31 10:16:33.000,1,ierrors,0
2026-05-31 10:16:33.000,1,imissed,0
2026-05-31 10:16:33.000,1,oerrors,0
2026-05-31 10:16:33.000,1,obytes,0
2026-05-31 10:16:33.000,0,ibytes,1147
2026-05-31 10:16:33.000,0,opackets,0
2026-05-31 10:16:33.000,0,ipackets,4
2026-05-31 10:16:33.000,0,rx_nombuf,0
2026-05-31 10:16:33.000,0,ierrors,0
