experiment,type,n_ports,n_blocked,block_pct,direction,rep,tx_pps,rx_pps,drop_pct,pass_pct
XDPFW_100ports_50blocked_dir15,sweep,100,50,50.0,15,1,37203379,9579743,74.25,25.75
XDPFW_100ports_50blocked_dir15_41,sweep,100,50,50.0,15_41,1,37203313,4264724,88.54,11.46
XDPFW_100ports_50blocked_dir41,sweep,100,50,50.0,41,1,37200742,0,100.0,0.0
XDPFW_10ports_5blocked_dir15,sweep,10,5,50.0,15,1,37182368,11580879,68.85,31.15
XDPFW_10ports_5blocked_dir15_41,sweep,10,5,50.0,15_41,1,37203058,3400225,90.86,9.14
XDPFW_10ports_5blocked_dir41,sweep,10,5,50.0,41,1,37145256,0,100.0,0.0
XDPFW_20ports_10blocked_dir15,sweep,20,10,50.0,15,1,37202973,10963179,70.53,29.47
XDPFW_20ports_10blocked_dir15_41,sweep,20,10,50.0,15_41,1,37201169,6087825,83.64,16.36
XDPFW_20ports_10blocked_dir41,sweep,20,10,50.0,41,1,37182501,0,100.0,0.0
XDPFW_30ports_15blocked_dir15,sweep,30,15,50.0,15,1,37187434,10216266,72.53,27.47
XDPFW_30ports_15blocked_dir15_41,sweep,30,15,50.0,15_41,1,37203395,5000904,86.56,13.44
XDPFW_30ports_15blocked_dir41,sweep,30,15,50.0,41,1,37198696,0,100.0,0.0
XDPFW_40ports_20blocked_dir15,sweep,40,20,50.0,15,1,37196668,10283188,72.35,27.65
XDPFW_40ports_20blocked_dir15_41,sweep,40,20,50.0,15_41,1,37140900,4768272,87.16,12.84
XDPFW_40ports_20blocked_dir41,sweep,40,20,50.0,41,1,37192953,0,100.0,0.0
XDPFW_50ports_25blocked_dir15,sweep,50,25,50.0,15,1,37203325,10685724,71.28,28.72
XDPFW_50ports_25blocked_dir15_41,sweep,50,25,50.0,15_41,1,37188985,10768103,71.04,28.96
XDPFW_50ports_25blocked_dir41,sweep,50,25,50.0,41,1,37203192,0,100.0,0.0
XDPFW_60ports_30blocked_dir15,sweep,60,30,50.0,15,1,37203399,10050617,72.98,27.02
XDPFW_60ports_30blocked_dir15_41,sweep,60,30,50.0,15_41,1,37203379,4768619,87.18,12.82
XDPFW_60ports_30blocked_dir41,sweep,60,30,50.0,41,1,37203183,0,100.0,0.0
XDPFW_70ports_35blocked_dir15,sweep,70,35,50.0,15,1,37203394,10352339,72.17,27.83
XDPFW_70ports_35blocked_dir15_41,sweep,70,35,50.0,15_41,1,37061896,4698690,87.32,12.68
XDPFW_70ports_35blocked_dir41,sweep,70,35,50.0,41,1,37193626,0,100.0,0.0
XDPFW_80ports_40blocked_dir15,sweep,80,40,50.0,15,1,37203399,10146437,72.73,27.27
XDPFW_80ports_40blocked_dir15_41,sweep,80,40,50.0,15_41,1,37162673,4614852,87.58,12.42
XDPFW_80ports_40blocked_dir41,sweep,80,40,50.0,41,1,37202210,0,100.0,0.0
XDPFW_90ports_45blocked_dir15,sweep,90,45,50.0,15,1,37203294,9961659,73.22,26.78
XDPFW_90ports_45blocked_dir15_41,sweep,90,45,50.0,15_41,1,37186540,4483320,87.94,12.06
XDPFW_90ports_45blocked_dir41,sweep,90,45,50.0,41,1,37200393,0,100.0,0.0
XDPFW_incr_10ports_10blocked_dir15,incremental,10,10,100.0,15,1,37203347,0,100.0,0.0
XDPFW_incr_10ports_10blocked_dir15_41,incremental,10,10,100.0,15_41,1,37203381,0,100.0,0.0
XDPFW_incr_10ports_10blocked_dir41,incremental,10,10,100.0,41,1,37190514,0,100.0,0.0
XDPFW_incr_10ports_1blocked_dir15,incremental,10,1,10.0,15,1,37203302,23343737,37.25,62.75
