Time,Port,Metric,Value
2026-05-15 11:57:55.000,0,imissed,0
2026-05-15 11:57:55.000,0,rx_nombuf,0
2026-05-15 11:57:55.000,0,ipackets,3
2026-05-15 11:57:55.000,0,opackets,0
2026-05-15 11:57:55.000,0,obytes,0
2026-05-15 11:57:55.000,0,ierrors,0
2026-05-15 11:57:55.000,0,ibytes,810
2026-05-15 11:57:55.000,0,oerrors,0
2026-05-15 11:57:55.000,n,Value,1
2026-05-15 11:57:56.000,0,imissed,0
2026-05-15 11:57:56.000,0,rx_nombuf,0
2026-05-15 11:57:56.000,0,ipackets,3
2026-05-15 11:57:56.000,0,opackets,36482945
2026-05-15 11:57:56.000,0,obytes,2188974332
2026-05-15 11:57:56.000,0,ierrors,0
2026-05-15 11:57:56.000,0,ibytes,810
2026-05-15 11:57:56.000,0,oerrors,99
2026-05-15 11:57:56.000,n,Value,1
2026-05-15 11:57:57.000,0,imissed,0
2026-05-15 11:57:57.000,0,rx_nombuf,0
2026-05-15 11:57:57.000,0,ipackets,3
2026-05-15 11:57:57.000,0,opackets,73686118
2026-05-15 11:57:57.000,0,obytes,4421164904
2026-05-15 11:57:57.000,0,ierrors,0
2026-05-15 11:57:57.000,0,ibytes,810
2026-05-15 11:57:57.000,0,oerrors,199
2026-05-15 11:57:57.000,n,Value,1
2026-05-15 11:57:58.000,0,imissed,0
2026-05-15 11:57:58.000,0,rx_nombuf,0
2026-05-15 11:57:58.000,0,ipackets,3
2026-05-15 11:57:58.000,0,opackets,110889316
2026-05-15 11:57:58.000,0,obytes,6653356784
2026-05-15 11:57:58.000,0,ierrors,0
2026-05-15 11:57:58.000,0,ibytes,810
2026-05-15 11:57:58.000,0,oerrors,299
2026-05-15 11:57:58.000,n,Value,1
2026-05-15 11:57:59.000,0,imissed,0
2026-05-15 11:57:59.000,0,rx_nombuf,0
2026-05-15 11:57:59.000,0,ipackets,3
2026-05-15 11:57:59.000,0,opackets,148092506
2026-05-15 11:57:59.000,0,obytes,8885548184
2026-05-15 11:57:59.000,0,ierrors,0
2026-05-15 11:57:59.000,0,ibytes,810
2026-05-15 11:57:59.000,0,oerrors,398
2026-05-15 11:57:59.000,n,Value,1
2026-05-15 11:58:00.000,0,imissed,0
2026-05-15 11:58:00.000,0,rx_nombuf,0
2026-05-15 11:58:00.000,0,ipackets,3
2026-05-15 11:58:00.000,0,opackets,185295711
2026-05-15 11:58:00.000,0,obytes,11117740484
2026-05-15 11:58:00.000,0,ierrors,0
2026-05-15 11:58:00.000,0,ibytes,810
2026-05-15 11:58:00.000,0,oerrors,498
2026-05-15 11:58:00.000,n,Value,1
2026-05-15 11:58:01.000,0,imissed,0
2026-05-15 11:58:01.000,0,rx_nombuf,0
2026-05-15 11:58:01.000,0,ipackets,3
2026-05-15 11:58:01.000,0,opackets,222498894
2026-05-15 11:58:01.000,0,obytes,13349931464
2026-05-15 11:58:01.000,0,ierrors,0
2026-05-15 11:58:01.000,0,ibytes,810
2026-05-15 11:58:01.000,0,oerrors,598
2026-05-15 11:58:01.000,n,Value,1
2026-05-15 11:58:02.000,0,imissed,0
2026-05-15 11:58:02.000,0,rx_nombuf,0
2026-05-15 11:58:02.000,0,ipackets,3
2026-05-15 11:58:02.000,0,opackets,259702085
2026-05-15 11:58:02.000,0,obytes,15582122796
2026-05-15 11:58:02.000,0,ierrors,0
2026-05-15 11:58:02.000,0,ibytes,810
2026-05-15 11:58:02.000,0,oerrors,698
2026-05-15 11:58:02.000,n,Value,1
2026-05-15 11:58:03.000,0,imissed,0
2026-05-15 11:58:03.000,0,rx_nombuf,0
2026-05-15 11:58:03.000,0,ipackets,3
2026-05-15 11:58:03.000,0,opackets,296905276
2026-05-15 11:58:03.000,0,obytes,17814314448
2026-05-15 11:58:03.000,0,ierrors,0
2026-05-15 11:58:03.000,0,ibytes,810
2026-05-15 11:58:03.000,0,oerrors,798
