Linux 6.8.0-110-generic (testbed-node1) 	13/05/26 	_x86_64_	(24 CPU)

21:55:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:55:11     all   60,61    0,00    0,75    0,00    0,00    0,00    0,00    0,00    0,00   38,64
21:55:11       0  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11       1  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11       3  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11       5  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11       6  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11       7  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11       8  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11       9  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11      10  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11      11  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11      12  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11      13    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
21:55:11      14  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:11      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
21:55:11      16    8,08    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   91,92
21:55:11      17    7,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
21:55:11      18    7,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
21:55:11      19    8,16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   91,84
21:55:11      20    4,04    0,00    8,08    0,00    0,00    0,00    0,00    0,00    0,00   87,88
21:55:11      21    2,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
21:55:11      22    3,03    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   94,95
21:55:11      23   12,12    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   85,86

21:55:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:55:12     all   59,93    0,00    0,17    0,00    0,00    0,00    0,00    0,00    0,00   39,90
21:55:12       0  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:12       1  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:12       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:12       3  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
21:55:12       4  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
