Time,Port,Metric,Value
2026-05-15 11:46:04.000,0,ipackets,3
2026-05-15 11:46:04.000,0,ierrors,0
2026-05-15 11:46:04.000,0,imissed,0
2026-05-15 11:46:04.000,0,obytes,353936024
2026-05-15 11:46:04.000,0,rx_nombuf,0
2026-05-15 11:46:04.000,0,ibytes,810
2026-05-15 11:46:04.000,0,opackets,5898970
2026-05-15 11:46:04.000,0,oerrors,16
2026-05-15 11:46:04.000,n,Value,1
2026-05-15 11:46:05.000,0,ipackets,3
2026-05-15 11:46:05.000,0,ierrors,0
2026-05-15 11:46:05.000,0,imissed,0
2026-05-15 11:46:05.000,0,obytes,2586127188
2026-05-15 11:46:05.000,0,rx_nombuf,0
2026-05-15 11:46:05.000,0,ibytes,810
2026-05-15 11:46:05.000,0,opackets,43102155
2026-05-15 11:46:05.000,0,oerrors,116
2026-05-15 11:46:05.000,n,Value,1
2026-05-15 11:46:06.000,0,ipackets,3
2026-05-15 11:46:06.000,0,ierrors,0
2026-05-15 11:46:06.000,0,imissed,0
2026-05-15 11:46:06.000,0,obytes,4818318288
2026-05-15 11:46:06.000,0,rx_nombuf,0
2026-05-15 11:46:06.000,0,ibytes,810
2026-05-15 11:46:06.000,0,opackets,80305340
2026-05-15 11:46:06.000,0,oerrors,216
2026-05-15 11:46:06.000,n,Value,1
2026-05-15 11:46:07.000,0,ipackets,3
2026-05-15 11:46:07.000,0,ierrors,0
2026-05-15 11:46:07.000,0,imissed,0
2026-05-15 11:46:07.000,0,obytes,7050509792
2026-05-15 11:46:07.000,0,rx_nombuf,0
2026-05-15 11:46:07.000,0,ibytes,810
2026-05-15 11:46:07.000,0,opackets,117508536
2026-05-15 11:46:07.000,0,oerrors,316
2026-05-15 11:46:07.000,n,Value,1
2026-05-15 11:46:08.000,0,ipackets,3
2026-05-15 11:46:08.000,0,ierrors,0
2026-05-15 11:46:08.000,0,imissed,0
2026-05-15 11:46:08.000,0,obytes,9282700480
2026-05-15 11:46:08.000,0,rx_nombuf,0
2026-05-15 11:46:08.000,0,ibytes,810
2026-05-15 11:46:08.000,0,opackets,154711712
2026-05-15 11:46:08.000,0,oerrors,416
2026-05-15 11:46:08.000,n,Value,1
2026-05-15 11:46:09.000,0,ipackets,3
2026-05-15 11:46:09.000,0,ierrors,0
2026-05-15 11:46:09.000,0,imissed,0
2026-05-15 11:46:09.000,0,obytes,11514891816
2026-05-15 11:46:09.000,0,rx_nombuf,0
2026-05-15 11:46:09.000,0,ibytes,810
2026-05-15 11:46:09.000,0,opackets,191914902
2026-05-15 11:46:09.000,0,oerrors,516
2026-05-15 11:46:09.000,n,Value,1
2026-05-15 11:46:10.000,0,ipackets,3
2026-05-15 11:46:10.000,0,ierrors,0
2026-05-15 11:46:10.000,0,imissed,0
2026-05-15 11:46:10.000,0,obytes,13747083220
2026-05-15 11:46:10.000,0,rx_nombuf,0
2026-05-15 11:46:10.000,0,ibytes,810
2026-05-15 11:46:10.000,0,opackets,229118091
2026-05-15 11:46:10.000,0,oerrors,616
2026-05-15 11:46:10.000,n,Value,1
2026-05-15 11:46:11.000,0,ipackets,3
2026-05-15 11:46:11.000,0,ierrors,0
2026-05-15 11:46:11.000,0,imissed,0
2026-05-15 11:46:11.000,0,obytes,15979274320
2026-05-15 11:46:11.000,0,rx_nombuf,0
2026-05-15 11:46:11.000,0,ibytes,810
2026-05-15 11:46:11.000,0,opackets,266321276
2026-05-15 11:46:11.000,0,oerrors,716
2026-05-15 11:46:11.000,n,Value,1
2026-05-15 11:46:12.000,0,ipackets,3
2026-05-15 11:46:12.000,0,ierrors,0
2026-05-15 11:46:12.000,0,imissed,0
2026-05-15 11:46:12.000,0,obytes,18211465772
2026-05-15 11:46:12.000,0,rx_nombuf,0
2026-05-15 11:46:12.000,0,ibytes,810
2026-05-15 11:46:12.000,0,opackets,303524469
2026-05-15 11:46:12.000,0,oerrors,816
2026-05-15 11:46:12.000,n,Value,1
2026-05-15 11:46:13.000,0,ipackets,3
2026-05-15 11:46:13.000,0,ierrors,0
2026-05-15 11:46:13.000,0,imissed,0
2026-05-15 11:46:13.000,0,obytes,20443656104
2026-05-15 11:46:13.000,0,rx_nombuf,0
2026-05-15 11:46:13.000,0,ibytes,810
2026-05-15 11:46:13.000,0,opackets,340727638
2026-05-15 11:46:13.000,0,oerrors,916
2026-05-15 11:46:13.000,n,Value,1
