Time,Port,Metric,Value
2026-05-13 18:17:36.000,0,opackets,0
2026-05-13 18:17:36.000,0,oerrors,0
2026-05-13 18:17:36.000,0,obytes,0
2026-05-13 18:17:36.000,0,rx_nombuf,0
2026-05-13 18:17:36.000,0,ibytes,538
2026-05-13 18:17:36.000,0,imissed,0
2026-05-13 18:17:36.000,0,ipackets,2
2026-05-13 18:17:36.000,0,ierrors,0
2026-05-13 18:17:36.000,n,Value,1
2026-05-13 18:17:37.000,0,opackets,24340618
2026-05-13 18:17:37.000,0,oerrors,66
2026-05-13 18:17:37.000,0,obytes,1460434904
2026-05-13 18:17:37.000,0,rx_nombuf,0
2026-05-13 18:17:37.000,0,ibytes,538
2026-05-13 18:17:37.000,0,imissed,0
2026-05-13 18:17:37.000,0,ipackets,2
2026-05-13 18:17:37.000,0,ierrors,0
2026-05-13 18:17:37.000,n,Value,1
2026-05-13 18:17:38.000,0,opackets,61543814
2026-05-13 18:17:38.000,0,oerrors,166
2026-05-13 18:17:38.000,0,obytes,3692626536
2026-05-13 18:17:38.000,0,rx_nombuf,0
2026-05-13 18:17:38.000,0,ibytes,538
2026-05-13 18:17:38.000,0,imissed,0
2026-05-13 18:17:38.000,0,ipackets,2
2026-05-13 18:17:38.000,0,ierrors,0
2026-05-13 18:17:38.000,n,Value,1
2026-05-13 18:17:39.000,0,opackets,98747016
2026-05-13 18:17:39.000,0,oerrors,266
2026-05-13 18:17:39.000,0,obytes,5924818784
2026-05-13 18:17:39.000,0,rx_nombuf,0
2026-05-13 18:17:39.000,0,ibytes,538
2026-05-13 18:17:39.000,0,imissed,0
2026-05-13 18:17:39.000,0,ipackets,2
2026-05-13 18:17:39.000,0,ierrors,0
2026-05-13 18:17:39.000,n,Value,1
2026-05-13 18:17:40.000,0,opackets,135950210
2026-05-13 18:17:40.000,0,oerrors,366
2026-05-13 18:17:40.000,0,obytes,8157010424
2026-05-13 18:17:40.000,0,rx_nombuf,0
2026-05-13 18:17:40.000,0,ibytes,538
2026-05-13 18:17:40.000,0,imissed,0
2026-05-13 18:17:40.000,0,ipackets,2
2026-05-13 18:17:40.000,0,ierrors,0
2026-05-13 18:17:40.000,n,Value,1
2026-05-13 18:17:41.000,0,opackets,173153404
2026-05-13 18:17:41.000,0,oerrors,466
2026-05-13 18:17:41.000,0,obytes,10389202064
2026-05-13 18:17:41.000,0,rx_nombuf,0
2026-05-13 18:17:41.000,0,ibytes,538
2026-05-13 18:17:41.000,0,imissed,0
2026-05-13 18:17:41.000,0,ipackets,2
2026-05-13 18:17:41.000,0,ierrors,0
2026-05-13 18:17:41.000,n,Value,1
2026-05-13 18:17:42.000,0,opackets,210356605
2026-05-13 18:17:42.000,0,oerrors,566
2026-05-13 18:17:42.000,0,obytes,12621394124
2026-05-13 18:17:42.000,0,rx_nombuf,0
2026-05-13 18:17:42.000,0,ibytes,538
2026-05-13 18:17:42.000,0,imissed,0
2026-05-13 18:17:42.000,0,ipackets,2
2026-05-13 18:17:42.000,0,ierrors,0
2026-05-13 18:17:42.000,n,Value,1
2026-05-13 18:17:43.000,0,opackets,247559800
2026-05-13 18:17:43.000,0,oerrors,666
2026-05-13 18:17:43.000,0,obytes,14853585760
2026-05-13 18:17:43.000,0,rx_nombuf,0
2026-05-13 18:17:43.000,0,ibytes,538
2026-05-13 18:17:43.000,0,imissed,0
2026-05-13 18:17:43.000,0,ipackets,2
2026-05-13 18:17:43.000,0,ierrors,0
2026-05-13 18:17:43.000,n,Value,1
2026-05-13 18:17:44.000,0,opackets,284762999
2026-05-13 18:17:44.000,0,oerrors,766
2026-05-13 18:17:44.000,0,obytes,17085777700
2026-05-13 18:17:44.000,0,rx_nombuf,0
2026-05-13 18:17:44.000,0,ibytes,538
2026-05-13 18:17:44.000,0,imissed,0
2026-05-13 18:17:44.000,0,ipackets,2
2026-05-13 18:17:44.000,0,ierrors,0
2026-05-13 18:17:44.000,n,Value,1
2026-05-13 18:17:45.000,0,opackets,321966196
2026-05-13 18:17:45.000,0,oerrors,866
2026-05-13 18:17:45.000,0,obytes,19317969584
2026-05-13 18:17:45.000,0,rx_nombuf,0
2026-05-13 18:17:45.000,0,ibytes,538
2026-05-13 18:17:45.000,0,imissed,0
2026-05-13 18:17:45.000,0,ipackets,2
2026-05-13 18:17:45.000,0,ierrors,0
2026-05-13 18:17:45.000,n,Value,1
2026-05-13 18:17:46.000,0,opackets,359169395
2026-05-13 18:17:46.000,0,oerrors,966
2026-05-13 18:17:46.000,0,obytes,21550161524
2026-05-13 18:17:46.000,0,rx_nombuf,0
2026-05-13 18:17:46.000,0,ibytes,538
2026-05-13 18:17:46.000,0,imissed,0
2026-05-13 18:17:46.000,0,ipackets,2
2026-05-13 18:17:46.000,0,ierrors,0
2026-05-13 18:17:46.000,n,Value,1
2026-05-13 18:17:47.000,0,opackets,396372591
2026-05-13 18:17:47.000,0,oerrors,1066
2026-05-13 18:17:47.000,0,obytes,23782353284
2026-05-13 18:17:47.000,0,rx_nombuf,0
2026-05-13 18:17:47.000,0,ibytes,538
2026-05-13 18:17:47.000,0,imissed,0
2026-05-13 18:17:47.000,0,ipackets,2
2026-05-13 18:17:47.000,0,ierrors,0
2026-05-13 18:17:47.000,n,Value,1
2026-05-13 18:17:48.000,0,opackets,433575787
2026-05-13 18:17:48.000,0,oerrors,1166
2026-05-13 18:17:48.000,0,obytes,26014544980
2026-05-13 18:17:48.000,0,rx_nombuf,0
2026-05-13 18:17:48.000,0,ibytes,538
2026-05-13 18:17:48.000,0,imissed,0
2026-05-13 18:17:48.000,0,ipackets,2
2026-05-13 18:17:48.000,0,ierrors,0
2026-05-13 18:17:48.000,n,Value,1
2026-05-13 18:17:49.000,0,opackets,470778964
2026-05-13 18:17:49.000,0,oerrors,1266
2026-05-13 18:17:49.000,0,obytes,28246735408
2026-05-13 18:17:49.000,0,rx_nombuf,0
2026-05-13 18:17:49.000,0,ibytes,538
2026-05-13 18:17:49.000,0,imissed,0
2026-05-13 18:17:49.000,0,ipackets,2
2026-05-13 18:17:49.000,0,ierrors,0
2026-05-13 18:17:49.000,n,Value,1
2026-05-13 18:17:50.000,0,opackets,507982164
2026-05-13 18:17:50.000,0,oerrors,1366
2026-05-13 18:17:50.000,0,obytes,30478927408
2026-05-13 18:17:50.000,0,rx_nombuf,0
2026-05-13 18:17:50.000,0,ibytes,538
2026-05-13 18:17:50.000,0,imissed,0
2026-05-13 18:17:50.000,0,ipackets,2
2026-05-13 18:17:50.000,0,ierrors,0
2026-05-13 18:17:50.000,n,Value,1
2026-05-13 18:17:51.000,0,opackets,545183716
2026-05-13 18:17:51.000,0,oerrors,1466
2026-05-13 18:17:51.000,0,obytes,32711020720
2026-05-13 18:17:51.000,0,rx_nombuf,0
2026-05-13 18:17:51.000,0,ibytes,538
2026-05-13 18:17:51.000,0,imissed,0
2026-05-13 18:17:51.000,0,ipackets,2
2026-05-13 18:17:51.000,0,ierrors,0
2026-05-13 18:17:51.000,n,Value,1
2026-05-13 18:17:52.000,0,opackets,582369117
2026-05-13 18:17:52.000,0,oerrors,1566
2026-05-13 18:17:52.000,0,obytes,34942144780
2026-05-13 18:17:52.000,0,rx_nombuf,0
2026-05-13 18:17:52.000,0,ibytes,538
2026-05-13 18:17:52.000,0,imissed,0
2026-05-13 18:17:52.000,0,ipackets,2
2026-05-13 18:17:52.000,0,ierrors,0
2026-05-13 18:17:52.000,n,Value,1
2026-05-13 18:17:53.000,0,opackets,619572311
2026-05-13 18:17:53.000,0,oerrors,1666
2026-05-13 18:17:53.000,0,obytes,37174336356
2026-05-13 18:17:53.000,0,rx_nombuf,0
2026-05-13 18:17:53.000,0,ibytes,538
2026-05-13 18:17:53.000,0,imissed,0
2026-05-13 18:17:53.000,0,ipackets,2
2026-05-13 18:17:53.000,0,ierrors,0
2026-05-13 18:17:53.000,n,Value,1
2026-05-13 18:17:54.000,0,opackets,656760546
2026-05-13 18:17:54.000,0,oerrors,1766
2026-05-13 18:17:54.000,0,obytes,39405630584
2026-05-13 18:17:54.000,0,rx_nombuf,0
2026-05-13 18:17:54.000,0,ibytes,538
2026-05-13 18:17:54.000,0,imissed,0
2026-05-13 18:17:54.000,0,ipackets,2
2026-05-13 18:17:54.000,0,ierrors,0
2026-05-13 18:17:54.000,n,Value,1
2026-05-13 18:17:55.000,0,opackets,693963741
2026-05-13 18:17:55.000,0,oerrors,1866
2026-05-13 18:17:55.000,0,obytes,41637822284
2026-05-13 18:17:55.000,0,rx_nombuf,0
2026-05-13 18:17:55.000,0,ibytes,538
2026-05-13 18:17:55.000,0,imissed,0
2026-05-13 18:17:55.000,0,ipackets,2
2026-05-13 18:17:55.000,0,ierrors,0
2026-05-13 18:17:55.000,n,Value,1
2026-05-13 18:17:56.000,0,opackets,731128647
2026-05-13 18:17:56.000,0,oerrors,1966
2026-05-13 18:17:56.000,0,obytes,43867716580
2026-05-13 18:17:56.000,0,rx_nombuf,0
2026-05-13 18:17:56.000,0,ibytes,538
2026-05-13 18:17:56.000,0,imissed,0
2026-05-13 18:17:56.000,0,ipackets,2
2026-05-13 18:17:56.000,0,ierrors,0
2026-05-13 18:17:56.000,n,Value,1
2026-05-13 18:17:57.000,0,opackets,768326851
2026-05-13 18:17:57.000,0,oerrors,2066
2026-05-13 18:17:57.000,0,obytes,46099608948
2026-05-13 18:17:57.000,0,rx_nombuf,0
2026-05-13 18:17:57.000,0,ibytes,538
2026-05-13 18:17:57.000,0,imissed,0
2026-05-13 18:17:57.000,0,ipackets,2
2026-05-13 18:17:57.000,0,ierrors,0
2026-05-13 18:17:57.000,n,Value,1
2026-05-13 18:17:58.000,0,opackets,805439038
2026-05-13 18:17:58.000,0,oerrors,2166
