Linux 6.8.0-111-generic (testbed-node6) 	13/05/26 	_x86_64_	(24 CPU)

19:17:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:17:06     all    1,60    0,00    0,70    0,09    0,00   17,50    0,00    0,00    0,00   80,10
19:17:06       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:06       1    1,98    0,00    0,99    0,00    0,00   41,58    0,00    0,00    0,00   55,45
19:17:06       2    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   99,00
19:17:06       3    0,00    0,00    0,00    0,00    0,00   67,96    0,00    0,00    0,00   32,04
19:17:06       4    1,23    0,00    1,23    1,23    0,00   22,22    0,00    0,00    0,00   74,07
19:17:06       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:06       6    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
19:17:06       7    2,41    0,00    2,41    0,00    0,00   20,48    0,00    0,00    0,00   74,70
19:17:06       8   11,36    0,00    1,14    0,00    0,00   25,00    0,00    0,00    0,00   62,50
19:17:06       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:06      10    1,00    0,00    0,00    0,00    0,00   60,00    0,00    0,00    0,00   39,00
19:17:06      11    2,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
19:17:06      12    1,33    0,00    0,00    0,00    0,00   18,67    0,00    0,00    0,00   80,00
19:17:06      13    0,00    0,00    0,00    0,00    0,00   15,71    0,00    0,00    0,00   84,29
19:17:06      14   12,94    0,00    1,18    0,00    0,00   30,59    0,00    0,00    0,00   55,29
19:17:06      15    0,00    0,00    1,41    0,00    0,00   16,90    0,00    0,00    0,00   81,69
19:17:06      16    0,00    0,00    0,00    0,00    0,00   27,69    0,00    0,00    0,00   72,31
19:17:06      17    0,00    0,00    1,30    0,00    0,00   40,26    0,00    0,00    0,00   58,44
19:17:06      18    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
19:17:06      19    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
19:17:06      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:06      21    0,00    0,00    1,56    0,00    0,00   20,31    0,00    0,00    0,00   78,12
19:17:06      22    1,41    0,00    2,82    0,00    0,00   26,76    0,00    0,00    0,00   69,01
19:17:06      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

19:17:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:17:07     all    4,44    0,00    0,53    0,00    0,00   16,72    0,00    0,00    0,00   78,31
19:17:07       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:07       1    1,02    0,00    0,00    0,00    0,00   41,84    0,00    0,00    0,00   57,14
19:17:07       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:07       3    0,00    0,00    0,00    0,00    0,00   68,00    0,00    0,00    0,00   32,00
19:17:07       4    0,00    0,00    0,00    0,00    0,00   20,51    0,00    0,00    0,00   79,49
19:17:07       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:07       6    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
19:17:07       7    0,00    0,00    1,27    0,00    0,00   13,92    0,00    0,00    0,00   84,81
19:17:07       8    0,00    0,00    1,03    0,00    0,00   29,90    0,00    0,00    0,00   69,07
19:17:07       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:07      10    0,97    0,00    0,97    0,00    0,00   79,61    0,00    0,00    0,00   18,45
19:17:07      11   81,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   15,00
19:17:07      12    1,27    0,00    2,53    0,00    0,00   20,25    0,00    0,00    0,00   75,95
19:17:07      13    0,00    0,00    0,00    0,00    0,00   11,59    0,00    0,00    0,00   88,41
19:17:07      14   10,67    0,00    0,00    0,00    0,00   20,00    0,00    0,00    0,00   69,33
19:17:07      15    0,00    0,00    0,00    0,00    0,00   13,24    0,00    0,00    0,00   86,76
19:17:07      16    0,00    0,00    0,00    0,00    0,00   21,31    0,00    0,00    0,00   78,69
19:17:07      17    0,00    0,00    0,00    0,00    0,00   32,35    0,00    0,00    0,00   67,65
19:17:07      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:07      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:07      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:07      21    0,00    0,00    0,00    0,00    0,00   12,50    0,00    0,00    0,00   87,50
19:17:07      22    0,00    0,00    0,00    0,00    0,00   20,63    0,00    0,00    0,00   79,37
19:17:07      23    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00

19:17:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:17:08     all    4,39    0,00    1,20    0,00    0,00   20,79    0,00    0,00    0,00   73,61
19:17:08       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:08       1    0,98    0,00    0,98    0,00    0,00   44,12    0,00    0,00    0,00   53,92
19:17:08       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:08       3    1,00    0,00    0,00    0,00    0,00   71,00    0,00    0,00    0,00   28,00
19:17:08       4    3,45    0,00    2,30    0,00    0,00   29,89    0,00    0,00    0,00   64,37
19:17:08       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:08       6    4,08    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   93,88
19:17:08       7    6,10    0,00    2,44    0,00    0,00   20,73    0,00    0,00    0,00   70,73
19:17:08       8   12,90    0,00    4,30    0,00    0,00   32,26    0,00    0,00    0,00   50,54
19:17:08       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:08      10    1,00    0,00    0,00    0,00    0,00   75,00    0,00    0,00    0,00   24,00
19:17:08      11   40,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   58,00
19:17:08      12    4,88    0,00    1,22    0,00    0,00   31,71    0,00    0,00    0,00   62,20
19:17:08      13    5,26    0,00    1,32    0,00    0,00   22,37    0,00    0,00    0,00   71,05
19:17:08      14    8,75    0,00    0,00    0,00    0,00   28,75    0,00    0,00    0,00   62,50
19:17:08      15    1,25    0,00    0,00    0,00    0,00   27,50    0,00    0,00    0,00   71,25
19:17:08      16    4,29    0,00    2,86    0,00    0,00   34,29    0,00    0,00    0,00   58,57
19:17:08      17    2,60    0,00    1,30    0,00    0,00   41,56    0,00    0,00    0,00   54,55
19:17:08      18    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
19:17:08      19    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
19:17:08      20    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
19:17:08      21    0,00    0,00    2,94    0,00    0,00   29,41    0,00    0,00    0,00   67,65
19:17:08      22    1,39    0,00    4,17    0,00    0,00   30,56    0,00    0,00    0,00   63,89
19:17:08      23    1,98    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   97,03

19:17:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:17:09     all    0,15    0,00    0,05    0,00    0,00   13,37    0,00    0,00    0,00   86,44
19:17:09       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:09       1    1,01    0,00    1,01    0,00    0,00   39,39    0,00    0,00    0,00   58,59
19:17:09       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:09       3    0,00    0,00    0,00    0,00    0,00   65,69    0,00    0,00    0,00   34,31
19:17:09       4    0,00    0,00    0,00    0,00    0,00   15,79    0,00    0,00    0,00   84,21
19:17:09       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:09       6    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
19:17:09       7    0,00    0,00    0,00    0,00    0,00   11,54    0,00    0,00    0,00   88,46
19:17:09       8    0,00    0,00    0,00    0,00    0,00   10,53    0,00    0,00    0,00   89,47
19:17:09       9    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
19:17:09      10    0,00    0,00    0,00    0,00    0,00   56,57    0,00    0,00    0,00   43,43
19:17:09      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
19:17:09      12    0,00    0,00    0,00    0,00    0,00    7,35    0,00    0,00    0,00   92,65
19:17:09      13    0,00    0,00    0,00    0,00    0,00   11,43    0,00    0,00    0,00   88,57
19:17:09      14    0,00    0,00    0,00    0,00    0,00   15,28    0,00    0,00    0,00   84,72
19:17:09      15    0,00    0,00    0,00    0,00    0,00   19,48    0,00    0,00    0,00   80,52
