Time,Port,Metric,Value
2026-05-18 13:25:45.000,0,obytes,309573824
2026-05-18 13:25:45.000,0,ipackets,3
2026-05-18 13:25:45.000,0,imissed,0
2026-05-18 13:25:45.000,0,ierrors,0
2026-05-18 13:25:45.000,0,rx_nombuf,0
2026-05-18 13:25:45.000,0,oerrors,14
2026-05-18 13:25:45.000,0,ibytes,871
2026-05-18 13:25:45.000,0,opackets,5159600
2026-05-18 13:25:45.000,n,Value,1
2026-05-18 13:25:46.000,0,obytes,2541766664
2026-05-18 13:25:46.000,0,ipackets,3
2026-05-18 13:25:46.000,0,imissed,0
2026-05-18 13:25:46.000,0,ierrors,0
2026-05-18 13:25:46.000,0,rx_nombuf,0
2026-05-18 13:25:46.000,0,oerrors,114
2026-05-18 13:25:46.000,0,ibytes,871
2026-05-18 13:25:46.000,0,opackets,42362814
2026-05-18 13:25:46.000,n,Value,1
2026-05-18 13:25:47.000,0,obytes,4773980712
2026-05-18 13:25:47.000,0,ipackets,3
2026-05-18 13:25:47.000,0,imissed,0
2026-05-18 13:25:47.000,0,ierrors,0
2026-05-18 13:25:47.000,0,rx_nombuf,0
2026-05-18 13:25:47.000,0,oerrors,214
2026-05-18 13:25:47.000,0,ibytes,871
2026-05-18 13:25:47.000,0,opackets,79566454
2026-05-18 13:25:47.000,n,Value,1
2026-05-18 13:25:48.000,0,obytes,7006148072
2026-05-18 13:25:48.000,0,ipackets,3
2026-05-18 13:25:48.000,0,imissed,0
2026-05-18 13:25:48.000,0,ierrors,0
2026-05-18 13:25:48.000,0,rx_nombuf,0
2026-05-18 13:25:48.000,0,oerrors,314
2026-05-18 13:25:48.000,0,ibytes,871
2026-05-18 13:25:48.000,0,opackets,116769174
2026-05-18 13:25:48.000,n,Value,1
2026-05-18 13:25:49.000,0,obytes,9238341280
2026-05-18 13:25:49.000,0,ipackets,4
2026-05-18 13:25:49.000,0,imissed,0
2026-05-18 13:25:49.000,0,ierrors,0
2026-05-18 13:25:49.000,0,rx_nombuf,0
2026-05-18 13:25:49.000,0,oerrors,414
2026-05-18 13:25:49.000,0,ibytes,1204
2026-05-18 13:25:49.000,0,opackets,153972392
2026-05-18 13:25:49.000,n,Value,1
2026-05-18 13:25:50.000,0,obytes,11470534656
2026-05-18 13:25:50.000,0,ipackets,4
2026-05-18 13:25:50.000,0,imissed,0
2026-05-18 13:25:50.000,0,ierrors,0
2026-05-18 13:25:50.000,0,rx_nombuf,0
2026-05-18 13:25:50.000,0,oerrors,514
2026-05-18 13:25:50.000,0,ibytes,1204
2026-05-18 13:25:50.000,0,opackets,191175616
2026-05-18 13:25:50.000,n,Value,1
2026-05-18 13:25:51.000,0,obytes,13702727800
2026-05-18 13:25:51.000,0,ipackets,4
2026-05-18 13:25:51.000,0,imissed,0
2026-05-18 13:25:51.000,0,ierrors,0
2026-05-18 13:25:51.000,0,rx_nombuf,0
2026-05-18 13:25:51.000,0,oerrors,614
2026-05-18 13:25:51.000,0,ibytes,1204
2026-05-18 13:25:51.000,0,opackets,228378834
2026-05-18 13:25:51.000,n,Value,1
2026-05-18 13:25:52.000,0,obytes,15934920820
2026-05-18 13:25:52.000,0,ipackets,4
2026-05-18 13:25:52.000,0,imissed,0
2026-05-18 13:25:52.000,0,ierrors,0
2026-05-18 13:25:52.000,0,rx_nombuf,0
2026-05-18 13:25:52.000,0,oerrors,714
2026-05-18 13:25:52.000,0,ibytes,1204
2026-05-18 13:25:52.000,0,opackets,265582051
2026-05-18 13:25:52.000,n,Value,1
2026-05-18 13:25:53.000,0,obytes,18167113116
2026-05-18 13:25:53.000,0,ipackets,4
2026-05-18 13:25:53.000,0,imissed,0
2026-05-18 13:25:53.000,0,ierrors,0
2026-05-18 13:25:53.000,0,rx_nombuf,0
2026-05-18 13:25:53.000,0,oerrors,814
2026-05-18 13:25:53.000,0,ibytes,1204
2026-05-18 13:25:53.000,0,opackets,302785257
2026-05-18 13:25:53.000,n,Value,1
2026-05-18 13:25:54.000,0,obytes,20399306568
2026-05-18 13:25:54.000,0,ipackets,4
2026-05-18 13:25:54.000,0,imissed,0
2026-05-18 13:25:54.000,0,ierrors,0
2026-05-18 13:25:54.000,0,rx_nombuf,0
2026-05-18 13:25:54.000,0,oerrors,914
2026-05-18 13:25:54.000,0,ibytes,1204
2026-05-18 13:25:54.000,0,opackets,339988478
2026-05-18 13:25:54.000,n,Value,1
2026-05-18 13:25:55.000,0,obytes,22629626684
2026-05-18 13:25:55.000,0,ipackets,4
2026-05-18 13:25:55.000,0,imissed,0
2026-05-18 13:25:55.000,0,ierrors,0
2026-05-18 13:25:55.000,0,rx_nombuf,0
2026-05-18 13:25:55.000,0,oerrors,1014
2026-05-18 13:25:55.000,0,ibytes,1204
2026-05-18 13:25:55.000,0,opackets,377160481
