Time,Port,Metric,Value
2026-05-18 14:01:11.000,0,obytes,0
2026-05-18 14:01:11.000,0,rx_nombuf,0
2026-05-18 14:01:11.000,0,ibytes,1143
2026-05-18 14:01:11.000,0,ipackets,4
2026-05-18 14:01:11.000,0,oerrors,0
2026-05-18 14:01:11.000,0,opackets,0
2026-05-18 14:01:11.000,0,imissed,0
2026-05-18 14:01:11.000,0,ierrors,0
2026-05-18 14:01:11.000,n,Value,1
2026-05-18 14:01:12.000,0,obytes,0
2026-05-18 14:01:12.000,0,rx_nombuf,0
2026-05-18 14:01:12.000,0,ibytes,1143
2026-05-18 14:01:12.000,0,ipackets,4
2026-05-18 14:01:12.000,0,oerrors,0
2026-05-18 14:01:12.000,0,opackets,0
2026-05-18 14:01:12.000,0,imissed,0
2026-05-18 14:01:12.000,0,ierrors,0
2026-05-18 14:01:12.000,n,Value,1
2026-05-18 14:01:13.000,0,obytes,0
2026-05-18 14:01:13.000,0,rx_nombuf,0
2026-05-18 14:01:13.000,0,ibytes,1143
2026-05-18 14:01:13.000,0,ipackets,4
2026-05-18 14:01:13.000,0,oerrors,0
2026-05-18 14:01:13.000,0,opackets,0
2026-05-18 14:01:13.000,0,imissed,0
2026-05-18 14:01:13.000,0,ierrors,0
2026-05-18 14:01:13.000,n,Value,1
2026-05-18 14:01:14.000,0,obytes,0
2026-05-18 14:01:14.000,0,rx_nombuf,0
2026-05-18 14:01:14.000,0,ibytes,1143
2026-05-18 14:01:14.000,0,ipackets,4
2026-05-18 14:01:14.000,0,oerrors,0
2026-05-18 14:01:14.000,0,opackets,0
2026-05-18 14:01:14.000,0,imissed,0
2026-05-18 14:01:14.000,0,ierrors,0
2026-05-18 14:01:14.000,n,Value,1
2026-05-18 14:01:15.000,0,obytes,0
2026-05-18 14:01:15.000,0,rx_nombuf,0
2026-05-18 14:01:15.000,0,ibytes,1143
2026-05-18 14:01:15.000,0,ipackets,4
2026-05-18 14:01:15.000,0,oerrors,0
2026-05-18 14:01:15.000,0,opackets,0
2026-05-18 14:01:15.000,0,imissed,0
2026-05-18 14:01:15.000,0,ierrors,0
2026-05-18 14:01:15.000,n,Value,1
2026-05-18 14:01:16.000,0,obytes,0
2026-05-18 14:01:16.000,0,rx_nombuf,0
2026-05-18 14:01:16.000,0,ibytes,1143
2026-05-18 14:01:16.000,0,ipackets,4
2026-05-18 14:01:16.000,0,oerrors,0
2026-05-18 14:01:16.000,0,opackets,0
2026-05-18 14:01:16.000,0,imissed,0
2026-05-18 14:01:16.000,0,ierrors,0
2026-05-18 14:01:16.000,n,Value,1
2026-05-18 14:01:17.000,0,obytes,0
2026-05-18 14:01:17.000,0,rx_nombuf,0
2026-05-18 14:01:17.000,0,ibytes,1143
2026-05-18 14:01:17.000,0,ipackets,4
2026-05-18 14:01:17.000,0,oerrors,0
2026-05-18 14:01:17.000,0,opackets,0
2026-05-18 14:01:17.000,0,imissed,0
2026-05-18 14:01:17.000,0,ierrors,0
2026-05-18 14:01:17.000,n,Value,1
2026-05-18 14:01:18.000,0,obytes,0
2026-05-18 14:01:18.000,0,rx_nombuf,0
2026-05-18 14:01:18.000,0,ibytes,1143
2026-05-18 14:01:18.000,0,ipackets,4
2026-05-18 14:01:18.000,0,oerrors,0
2026-05-18 14:01:18.000,0,opackets,0
2026-05-18 14:01:18.000,0,imissed,0
2026-05-18 14:01:18.000,0,ierrors,0
2026-05-18 14:01:18.000,n,Value,1
2026-05-18 14:01:19.000,0,obytes,0
2026-05-18 14:01:19.000,0,rx_nombuf,0
2026-05-18 14:01:19.000,0,ibytes,1143
2026-05-18 14:01:19.000,0,ipackets,4
2026-05-18 14:01:19.000,0,oerrors,0
2026-05-18 14:01:19.000,0,opackets,0
