Time,Port,Metric,Value
2026-05-14 21:27:12.000,0,ibytes,52756
2026-05-14 21:27:12.000,0,imissed,0
2026-05-14 21:27:12.000,0,oerrors,0
2026-05-14 21:27:12.000,0,ipackets,172
2026-05-14 21:27:12.000,0,ierrors,0
2026-05-14 21:27:12.000,0,opackets,0
2026-05-14 21:27:12.000,0,obytes,0
2026-05-14 21:27:12.000,0,rx_nombuf,0
2026-05-14 21:27:12.000,n,Value,1
2026-05-14 21:27:13.000,0,ibytes,53028
2026-05-14 21:27:13.000,0,imissed,0
2026-05-14 21:27:13.000,0,oerrors,73
2026-05-14 21:27:13.000,0,ipackets,173
2026-05-14 21:27:13.000,0,ierrors,0
2026-05-14 21:27:13.000,0,opackets,26973822
2026-05-14 21:27:13.000,0,obytes,1618426952
2026-05-14 21:27:13.000,0,rx_nombuf,0
2026-05-14 21:27:13.000,n,Value,1
2026-05-14 21:27:14.000,0,ibytes,53028
2026-05-14 21:27:14.000,0,imissed,0
2026-05-14 21:27:14.000,0,oerrors,173
2026-05-14 21:27:14.000,0,ipackets,173
2026-05-14 21:27:14.000,0,ierrors,0
2026-05-14 21:27:14.000,0,opackets,64175759
2026-05-14 21:27:14.000,0,obytes,3850542788
2026-05-14 21:27:14.000,0,rx_nombuf,0
2026-05-14 21:27:14.000,n,Value,1
2026-05-14 21:27:15.000,0,ibytes,53028
2026-05-14 21:27:15.000,0,imissed,0
2026-05-14 21:27:15.000,0,oerrors,273
2026-05-14 21:27:15.000,0,ipackets,173
2026-05-14 21:27:15.000,0,ierrors,0
2026-05-14 21:27:15.000,0,opackets,101371873
2026-05-14 21:27:15.000,0,obytes,6082310268
2026-05-14 21:27:15.000,0,rx_nombuf,0
2026-05-14 21:27:15.000,n,Value,1
2026-05-14 21:27:16.000,0,ibytes,53028
2026-05-14 21:27:16.000,0,imissed,0
2026-05-14 21:27:16.000,0,oerrors,373
2026-05-14 21:27:16.000,0,ipackets,173
2026-05-14 21:27:16.000,0,ierrors,0
2026-05-14 21:27:16.000,0,opackets,138574566
2026-05-14 21:27:16.000,0,obytes,8314471784
2026-05-14 21:27:16.000,0,rx_nombuf,0
2026-05-14 21:27:16.000,n,Value,1
2026-05-14 21:27:17.000,0,ibytes,53028
2026-05-14 21:27:17.000,0,imissed,0
2026-05-14 21:27:17.000,0,oerrors,473
