Time,Port,Metric,Value
2026-05-11 15:40:55.000,1,ierrors,0
2026-05-11 15:40:55.000,1,obytes,0
2026-05-11 15:40:55.000,1,ipackets,1
2026-05-11 15:40:55.000,1,imissed,0
2026-05-11 15:40:55.000,1,opackets,0
2026-05-11 15:40:55.000,1,rx_nombuf,0
2026-05-11 15:40:55.000,1,oerrors,0
2026-05-11 15:40:55.000,1,ibytes,272
2026-05-11 15:40:55.000,0,ierrors,0
2026-05-11 15:40:55.000,0,obytes,0
2026-05-11 15:40:55.000,0,ipackets,0
2026-05-11 15:40:55.000,0,imissed,0
2026-05-11 15:40:55.000,0,opackets,0
2026-05-11 15:40:55.000,0,rx_nombuf,0
2026-05-11 15:40:55.000,0,oerrors,0
2026-05-11 15:40:55.000,0,ibytes,0
2026-05-11 15:40:55.000,n,Value,2
2026-05-11 15:40:56.000,1,ierrors,0
2026-05-11 15:40:56.000,1,obytes,0
2026-05-11 15:40:56.000,1,ipackets,6176592
2026-05-11 15:40:56.000,1,imissed,0
2026-05-11 15:40:56.000,1,opackets,0
2026-05-11 15:40:56.000,1,rx_nombuf,0
2026-05-11 15:40:56.000,1,oerrors,0
2026-05-11 15:40:56.000,1,ibytes,370595638
2026-05-11 15:40:56.000,0,ierrors,0
2026-05-11 15:40:56.000,0,obytes,0
2026-05-11 15:40:56.000,0,ipackets,3
2026-05-11 15:40:56.000,0,imissed,0
2026-05-11 15:40:56.000,0,opackets,0
2026-05-11 15:40:56.000,0,rx_nombuf,0
2026-05-11 15:40:56.000,0,oerrors,0
2026-05-11 15:40:56.000,0,ibytes,814
2026-05-11 15:40:56.000,n,Value,2
2026-05-11 15:40:57.000,1,ierrors,0
2026-05-11 15:40:57.000,1,obytes,0
2026-05-11 15:40:57.000,1,ipackets,13774982
2026-05-11 15:40:57.000,1,imissed,0
2026-05-11 15:40:57.000,1,opackets,0
2026-05-11 15:40:57.000,1,rx_nombuf,0
2026-05-11 15:40:57.000,1,oerrors,0
2026-05-11 15:40:57.000,1,ibytes,826498974
2026-05-11 15:40:57.000,0,ierrors,0
2026-05-11 15:40:57.000,0,obytes,0
2026-05-11 15:40:57.000,0,ipackets,3
2026-05-11 15:40:57.000,0,imissed,0
2026-05-11 15:40:57.000,0,opackets,0
2026-05-11 15:40:57.000,0,rx_nombuf,0
2026-05-11 15:40:57.000,0,oerrors,0
2026-05-11 15:40:57.000,0,ibytes,814
2026-05-11 15:40:57.000,n,Value,2
2026-05-11 15:40:58.000,1,ierrors,0
2026-05-11 15:40:58.000,1,obytes,0
2026-05-11 15:40:58.000,1,ipackets,21399672
2026-05-11 15:40:58.000,1,imissed,0
2026-05-11 15:40:58.000,1,opackets,0
2026-05-11 15:40:58.000,1,rx_nombuf,0
2026-05-11 15:40:58.000,1,oerrors,0
2026-05-11 15:40:58.000,1,ibytes,1283980246
2026-05-11 15:40:58.000,0,ierrors,0
2026-05-11 15:40:58.000,0,obytes,0
2026-05-11 15:40:58.000,0,ipackets,3
2026-05-11 15:40:58.000,0,imissed,0
2026-05-11 15:40:58.000,0,opackets,0
2026-05-11 15:40:58.000,0,rx_nombuf,0
2026-05-11 15:40:58.000,0,oerrors,0
2026-05-11 15:40:58.000,0,ibytes,814
2026-05-11 15:40:58.000,n,Value,2
2026-05-11 15:40:59.000,1,ierrors,0
2026-05-11 15:40:59.000,1,obytes,0
2026-05-11 15:40:59.000,1,ipackets,29003242
2026-05-11 15:40:59.000,1,imissed,0
2026-05-11 15:40:59.000,1,opackets,0
2026-05-11 15:40:59.000,1,rx_nombuf,0
2026-05-11 15:40:59.000,1,oerrors,0
2026-05-11 15:40:59.000,1,ibytes,1740194766
2026-05-11 15:40:59.000,0,ierrors,0
2026-05-11 15:40:59.000,0,obytes,0
2026-05-11 15:40:59.000,0,ipackets,3
2026-05-11 15:40:59.000,0,imissed,0
2026-05-11 15:40:59.000,0,opackets,0
2026-05-11 15:40:59.000,0,rx_nombuf,0
2026-05-11 15:40:59.000,0,oerrors,0
2026-05-11 15:40:59.000,0,ibytes,814
2026-05-11 15:40:59.000,n,Value,2
2026-05-11 15:41:00.000,1,ierrors,0
2026-05-11 15:41:00.000,1,obytes,0
2026-05-11 15:41:00.000,1,ipackets,36511312
2026-05-11 15:41:00.000,1,imissed,0
2026-05-11 15:41:00.000,1,opackets,0
2026-05-11 15:41:00.000,1,rx_nombuf,0
2026-05-11 15:41:00.000,1,oerrors,0
2026-05-11 15:41:00.000,1,ibytes,2190679030
