Time,Port,Metric,Value
2026-05-06 20:22:50.000,0,obytes,354217784
2026-05-06 20:22:50.000,0,ipackets,2
2026-05-06 20:22:50.000,0,ibytes,538
2026-05-06 20:22:50.000,0,opackets,5903666
2026-05-06 20:22:50.000,0,oerrors,0
2026-05-06 20:22:50.000,0,imissed,0
2026-05-06 20:22:50.000,0,rx_nombuf,0
2026-05-06 20:22:50.000,0,ierrors,0
2026-05-06 20:22:50.000,n,Value,1
2026-05-06 20:22:51.000,0,obytes,2586401736
2026-05-06 20:22:51.000,0,ipackets,2
2026-05-06 20:22:51.000,0,ibytes,538
2026-05-06 20:22:51.000,0,opackets,43106734
2026-05-06 20:22:51.000,0,oerrors,0
2026-05-06 20:22:51.000,0,imissed,0
2026-05-06 20:22:51.000,0,rx_nombuf,0
2026-05-06 20:22:51.000,0,ierrors,0
2026-05-06 20:22:51.000,n,Value,1
2026-05-06 20:22:52.000,0,obytes,4818593620
2026-05-06 20:22:52.000,0,ipackets,2
2026-05-06 20:22:52.000,0,ibytes,538
2026-05-06 20:22:52.000,0,opackets,80309931
2026-05-06 20:22:52.000,0,oerrors,0
2026-05-06 20:22:52.000,0,imissed,0
2026-05-06 20:22:52.000,0,rx_nombuf,0
2026-05-06 20:22:52.000,0,ierrors,0
2026-05-06 20:22:52.000,n,Value,1
2026-05-06 20:22:53.000,0,obytes,7050785976
2026-05-06 20:22:53.000,0,ipackets,2
2026-05-06 20:22:53.000,0,ibytes,538
2026-05-06 20:22:53.000,0,opackets,117513138
2026-05-06 20:22:53.000,0,oerrors,0
2026-05-06 20:22:53.000,0,imissed,0
2026-05-06 20:22:53.000,0,rx_nombuf,0
2026-05-06 20:22:53.000,0,ierrors,0
2026-05-06 20:22:53.000,n,Value,1
2026-05-06 20:22:54.000,0,obytes,9282978648
2026-05-06 20:22:54.000,0,ipackets,2
2026-05-06 20:22:54.000,0,ibytes,538
2026-05-06 20:22:54.000,0,opackets,154716346
2026-05-06 20:22:54.000,0,oerrors,0
2026-05-06 20:22:54.000,0,imissed,0
2026-05-06 20:22:54.000,0,rx_nombuf,0
2026-05-06 20:22:54.000,0,ierrors,0
2026-05-06 20:22:54.000,n,Value,1
2026-05-06 20:22:55.000,0,obytes,11515171784
2026-05-06 20:22:55.000,0,ipackets,2
2026-05-06 20:22:55.000,0,ibytes,538
2026-05-06 20:22:55.000,0,opackets,191919566
2026-05-06 20:22:55.000,0,oerrors,0
2026-05-06 20:22:55.000,0,imissed,0
2026-05-06 20:22:55.000,0,rx_nombuf,0
2026-05-06 20:22:55.000,0,ierrors,0
2026-05-06 20:22:55.000,n,Value,1
2026-05-06 20:22:56.000,0,obytes,13747363000
2026-05-06 20:22:56.000,0,ipackets,2
2026-05-06 20:22:56.000,0,ibytes,538
2026-05-06 20:22:56.000,0,opackets,229122754
2026-05-06 20:22:56.000,0,oerrors,0
2026-05-06 20:22:56.000,0,imissed,0
2026-05-06 20:22:56.000,0,rx_nombuf,0
2026-05-06 20:22:56.000,0,ierrors,0
2026-05-06 20:22:56.000,n,Value,1
2026-05-06 20:22:57.000,0,obytes,15979555432
2026-05-06 20:22:57.000,0,ipackets,2
2026-05-06 20:22:57.000,0,ibytes,538
2026-05-06 20:22:57.000,0,opackets,266325958
2026-05-06 20:22:57.000,0,oerrors,0
2026-05-06 20:22:57.000,0,imissed,0
2026-05-06 20:22:57.000,0,rx_nombuf,0
2026-05-06 20:22:57.000,0,ierrors,0
2026-05-06 20:22:57.000,n,Value,1
2026-05-06 20:22:58.000,0,obytes,18211747776
2026-05-06 20:22:58.000,0,ipackets,2
2026-05-06 20:22:58.000,0,ibytes,538
2026-05-06 20:22:58.000,0,opackets,303529168
2026-05-06 20:22:58.000,0,oerrors,0
2026-05-06 20:22:58.000,0,imissed,0
2026-05-06 20:22:58.000,0,rx_nombuf,0
2026-05-06 20:22:58.000,0,ierrors,0
2026-05-06 20:22:58.000,n,Value,1
2026-05-06 20:22:59.000,0,obytes,20443939892
2026-05-06 20:22:59.000,0,ipackets,2
2026-05-06 20:22:59.000,0,ibytes,538
2026-05-06 20:22:59.000,0,opackets,340732371
2026-05-06 20:22:59.000,0,oerrors,0
2026-05-06 20:22:59.000,0,imissed,0
2026-05-06 20:22:59.000,0,rx_nombuf,0
2026-05-06 20:22:59.000,0,ierrors,0
2026-05-06 20:22:59.000,n,Value,1
2026-05-06 20:23:00.000,0,obytes,22676132432
2026-05-06 20:23:00.000,0,ipackets,2
2026-05-06 20:23:00.000,0,ibytes,538
2026-05-06 20:23:00.000,0,opackets,377935580
2026-05-06 20:23:00.000,0,oerrors,0
2026-05-06 20:23:00.000,0,imissed,0
2026-05-06 20:23:00.000,0,rx_nombuf,0
2026-05-06 20:23:00.000,0,ierrors,0
2026-05-06 20:23:00.000,n,Value,1
2026-05-06 20:23:01.000,0,obytes,24907783064
2026-05-06 20:23:01.000,0,ipackets,2
2026-05-06 20:23:01.000,0,ibytes,538
2026-05-06 20:23:01.000,0,opackets,415129754
2026-05-06 20:23:01.000,0,oerrors,0
2026-05-06 20:23:01.000,0,imissed,0
2026-05-06 20:23:01.000,0,rx_nombuf,0
2026-05-06 20:23:01.000,0,ierrors,0
2026-05-06 20:23:01.000,n,Value,1
2026-05-06 20:23:02.000,0,obytes,27139821704
2026-05-06 20:23:02.000,0,ipackets,2
2026-05-06 20:23:02.000,0,ibytes,538
2026-05-06 20:23:02.000,0,opackets,452330398
2026-05-06 20:23:02.000,0,oerrors,0
2026-05-06 20:23:02.000,0,imissed,0
2026-05-06 20:23:02.000,0,rx_nombuf,0
2026-05-06 20:23:02.000,0,ierrors,0
2026-05-06 20:23:02.000,n,Value,1
2026-05-06 20:23:03.000,0,obytes,29371289868
2026-05-06 20:23:03.000,0,ipackets,2
2026-05-06 20:23:03.000,0,ibytes,538
2026-05-06 20:23:03.000,0,opackets,489521533
2026-05-06 20:23:03.000,0,oerrors,0
2026-05-06 20:23:03.000,0,imissed,0
2026-05-06 20:23:03.000,0,rx_nombuf,0
2026-05-06 20:23:03.000,0,ierrors,0
2026-05-06 20:23:03.000,n,Value,1
2026-05-06 20:23:04.000,0,obytes,31602823232
2026-05-06 20:23:04.000,0,ipackets,2
2026-05-06 20:23:04.000,0,ibytes,538
2026-05-06 20:23:04.000,0,opackets,526713760
2026-05-06 20:23:04.000,0,oerrors,0
2026-05-06 20:23:04.000,0,imissed,0
2026-05-06 20:23:04.000,0,rx_nombuf,0
2026-05-06 20:23:04.000,0,ierrors,0
2026-05-06 20:23:04.000,n,Value,1
2026-05-06 20:23:05.000,0,obytes,33833762252
2026-05-06 20:23:05.000,0,ipackets,2
2026-05-06 20:23:05.000,0,ibytes,538
2026-05-06 20:23:05.000,0,opackets,563896077
2026-05-06 20:23:05.000,0,oerrors,0
2026-05-06 20:23:05.000,0,imissed,0
2026-05-06 20:23:05.000,0,rx_nombuf,0
2026-05-06 20:23:05.000,0,ierrors,0
2026-05-06 20:23:05.000,n,Value,1
2026-05-06 20:23:06.000,0,obytes,36064728152
2026-05-06 20:23:06.000,0,ipackets,2
2026-05-06 20:23:06.000,0,ibytes,538
2026-05-06 20:23:06.000,0,opackets,601078842
2026-05-06 20:23:06.000,0,oerrors,0
2026-05-06 20:23:06.000,0,imissed,0
2026-05-06 20:23:06.000,0,rx_nombuf,0
