Time,Port,Metric,Value
2026-05-13 15:11:43.000,0,imissed,0
2026-05-13 15:11:43.000,0,ibytes,810
2026-05-13 15:11:43.000,0,rx_nombuf,0
2026-05-13 15:11:43.000,0,oerrors,0
2026-05-13 15:11:43.000,0,ipackets,3
2026-05-13 15:11:43.000,0,ierrors,0
2026-05-13 15:11:43.000,0,opackets,0
2026-05-13 15:11:43.000,0,obytes,0
2026-05-13 15:11:43.000,n,Value,1
2026-05-13 15:11:44.000,0,imissed,0
2026-05-13 15:11:44.000,0,ibytes,810
2026-05-13 15:11:44.000,0,rx_nombuf,0
2026-05-13 15:11:44.000,0,oerrors,0
2026-05-13 15:11:44.000,0,ipackets,3
2026-05-13 15:11:44.000,0,ierrors,0
2026-05-13 15:11:44.000,0,opackets,0
2026-05-13 15:11:44.000,0,obytes,0
2026-05-13 15:11:44.000,n,Value,1
2026-05-13 15:11:45.000,0,imissed,0
2026-05-13 15:11:45.000,0,ibytes,810
2026-05-13 15:11:45.000,0,rx_nombuf,0
2026-05-13 15:11:45.000,0,oerrors,0
2026-05-13 15:11:45.000,0,ipackets,3
2026-05-13 15:11:45.000,0,ierrors,0
2026-05-13 15:11:45.000,0,opackets,0
2026-05-13 15:11:45.000,0,obytes,0
2026-05-13 15:11:45.000,n,Value,1
2026-05-13 15:11:46.000,0,imissed,0
2026-05-13 15:11:46.000,0,ibytes,810
2026-05-13 15:11:46.000,0,rx_nombuf,0
2026-05-13 15:11:46.000,0,oerrors,0
2026-05-13 15:11:46.000,0,ipackets,3
2026-05-13 15:11:46.000,0,ierrors,0
2026-05-13 15:11:46.000,0,opackets,0
2026-05-13 15:11:46.000,0,obytes,0
2026-05-13 15:11:46.000,n,Value,1
2026-05-13 15:11:47.000,0,imissed,0
2026-05-13 15:11:47.000,0,ibytes,810
2026-05-13 15:11:47.000,0,rx_nombuf,0
2026-05-13 15:11:47.000,0,oerrors,0
2026-05-13 15:11:47.000,0,ipackets,3
2026-05-13 15:11:47.000,0,ierrors,0
2026-05-13 15:11:47.000,0,opackets,0
2026-05-13 15:11:47.000,0,obytes,0
2026-05-13 15:11:47.000,n,Value,1
2026-05-13 15:11:48.000,0,imissed,0
2026-05-13 15:11:48.000,0,ibytes,810
2026-05-13 15:11:48.000,0,rx_nombuf,0
2026-05-13 15:11:48.000,0,oerrors,0
2026-05-13 15:11:48.000,0,ipackets,3
2026-05-13 15:11:48.000,0,ierrors,0
2026-05-13 15:11:48.000,0,opackets,0
2026-05-13 15:11:48.000,0,obytes,0
2026-05-13 15:11:48.000,n,Value,1
2026-05-13 15:11:49.000,0,imissed,0
2026-05-13 15:11:49.000,0,ibytes,810
2026-05-13 15:11:49.000,0,rx_nombuf,0
2026-05-13 15:11:49.000,0,oerrors,0
2026-05-13 15:11:49.000,0,ipackets,3
