Linux 6.8.0-111-generic (testbed-node6) 	13/05/26 	_x86_64_	(24 CPU)

15:36:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:36:01     all    1,42    0,00    0,13    0,13    0,00   21,73    0,00    0,00    0,00   76,61
15:36:01       0    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
15:36:01       1    2,04    0,00    0,00    0,00    0,00   43,88    0,00    0,00    0,00   54,08
15:36:01       2    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
15:36:01       3    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   99,00
15:36:01       4    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   99,00
15:36:01       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
15:36:01       6    0,00    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00   98,99
15:36:01       7    0,00    0,00    0,00    0,00    0,00   55,45    0,00    0,00    0,00   44,55
15:36:01       8    9,09    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   89,90
15:36:01       9    0,00    0,00    0,00    0,00    0,00   31,63    0,00    0,00    0,00   68,37
15:36:01      10    4,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
15:36:01      11    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
15:36:01      12   12,87    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   86,14
15:36:01      13    0,00    0,00    0,00    0,00    0,00   55,77    0,00    0,00    0,00   44,23
15:36:01      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
15:36:01      15    0,00    0,00    0,00    0,00    0,00   95,10    0,00    0,00    0,00    4,90
15:36:01      16    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
15:36:01      17    1,98    0,00    0,00    0,00    0,00   67,33    0,00    0,00    0,00   30,69
15:36:01      18    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
15:36:01      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
15:36:01      20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
15:36:01      21    1,01    0,00    0,00    0,00    0,00   68,69    0,00    0,00    0,00   30,30
15:36:01      22    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
15:36:01      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

15:36:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:36:02     all    0,29    0,00    0,17    0,08    0,00   26,14    0,00    0,00    0,00   73,31
15:36:02       0    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
15:36:02       1    0,99    0,00    0,99    0,00    0,00   67,33    0,00    0,00    0,00   30,69
15:36:02       2    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
15:36:02       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
15:36:02       4    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
