Time,Port,Metric,Value
2026-05-13 15:39:22.000,0,imissed,0
2026-05-13 15:39:22.000,0,opackets,0
2026-05-13 15:39:22.000,0,rx_nombuf,0
2026-05-13 15:39:22.000,0,ipackets,4658016
2026-05-13 15:39:22.000,0,oerrors,0
2026-05-13 15:39:22.000,0,obytes,0
2026-05-13 15:39:22.000,0,ierrors,0
2026-05-13 15:39:22.000,0,ibytes,279480950
2026-05-13 15:39:22.000,n,Value,1
2026-05-13 15:39:23.000,0,imissed,0
2026-05-13 15:39:23.000,0,opackets,0
2026-05-13 15:39:23.000,0,rx_nombuf,0
2026-05-13 15:39:23.000,0,ipackets,20634601
2026-05-13 15:39:23.000,0,oerrors,0
2026-05-13 15:39:23.000,0,obytes,0
2026-05-13 15:39:23.000,0,ierrors,0
2026-05-13 15:39:23.000,0,ibytes,1238075538
2026-05-13 15:39:23.000,n,Value,1
2026-05-13 15:39:24.000,0,imissed,0
2026-05-13 15:39:24.000,0,opackets,0
2026-05-13 15:39:24.000,0,rx_nombuf,0
2026-05-13 15:39:24.000,0,ipackets,36976656
2026-05-13 15:39:24.000,0,oerrors,0
2026-05-13 15:39:24.000,0,obytes,0
2026-05-13 15:39:24.000,0,ierrors,0
2026-05-13 15:39:24.000,0,ibytes,2218597942
2026-05-13 15:39:24.000,n,Value,1
2026-05-13 15:39:25.000,0,imissed,0
2026-05-13 15:39:25.000,0,opackets,0
2026-05-13 15:39:25.000,0,rx_nombuf,0
2026-05-13 15:39:25.000,0,ipackets,53231574
2026-05-13 15:39:25.000,0,oerrors,0
2026-05-13 15:39:25.000,0,obytes,0
2026-05-13 15:39:25.000,0,ierrors,0
2026-05-13 15:39:25.000,0,ibytes,3193895006
2026-05-13 15:39:25.000,n,Value,1
2026-05-13 15:39:26.000,0,imissed,0
2026-05-13 15:39:26.000,0,opackets,0
2026-05-13 15:39:26.000,0,rx_nombuf,0
2026-05-13 15:39:26.000,0,ipackets,69356805
2026-05-13 15:39:26.000,0,oerrors,0
2026-05-13 15:39:26.000,0,obytes,0
2026-05-13 15:39:26.000,0,ierrors,0
2026-05-13 15:39:26.000,0,ibytes,4161406690
2026-05-13 15:39:26.000,n,Value,1
2026-05-13 15:39:27.000,0,imissed,0
2026-05-13 15:39:27.000,0,opackets,0
2026-05-13 15:39:27.000,0,rx_nombuf,0
2026-05-13 15:39:27.000,0,ipackets,85620760
2026-05-13 15:39:27.000,0,oerrors,0
2026-05-13 15:39:27.000,0,obytes,0
2026-05-13 15:39:27.000,0,ierrors,0
2026-05-13 15:39:27.000,0,ibytes,5137243926
2026-05-13 15:39:27.000,n,Value,1
2026-05-13 15:39:28.000,0,imissed,0
2026-05-13 15:39:28.000,0,opackets,0
2026-05-13 15:39:28.000,0,rx_nombuf,0
2026-05-13 15:39:28.000,0,ipackets,101826808
2026-05-13 15:39:28.000,0,oerrors,0
2026-05-13 15:39:28.000,0,obytes,0
2026-05-13 15:39:28.000,0,ierrors,0
2026-05-13 15:39:28.000,0,ibytes,6109607638
2026-05-13 15:39:28.000,n,Value,1
2026-05-13 15:39:29.000,0,imissed,0
2026-05-13 15:39:29.000,0,opackets,0
2026-05-13 15:39:29.000,0,rx_nombuf,0
2026-05-13 15:39:29.000,0,ipackets,117930377
2026-05-13 15:39:29.000,0,oerrors,0
2026-05-13 15:39:29.000,0,obytes,0
2026-05-13 15:39:29.000,0,ierrors,0
2026-05-13 15:39:29.000,0,ibytes,7075823250
2026-05-13 15:39:29.000,n,Value,1
2026-05-13 15:39:30.000,0,imissed,0
2026-05-13 15:39:30.000,0,opackets,0
2026-05-13 15:39:30.000,0,rx_nombuf,0
2026-05-13 15:39:30.000,0,ipackets,134122733
2026-05-13 15:39:30.000,0,oerrors,0
2026-05-13 15:39:30.000,0,obytes,0
2026-05-13 15:39:30.000,0,ierrors,0
2026-05-13 15:39:30.000,0,ibytes,8047363714
2026-05-13 15:39:30.000,n,Value,1
2026-05-13 15:39:31.000,0,imissed,0
2026-05-13 15:39:31.000,0,opackets,0
2026-05-13 15:39:31.000,0,rx_nombuf,0
2026-05-13 15:39:31.000,0,ipackets,150393167
2026-05-13 15:39:31.000,0,oerrors,0
2026-05-13 15:39:31.000,0,obytes,0
2026-05-13 15:39:31.000,0,ierrors,0
2026-05-13 15:39:31.000,0,ibytes,9023589370
2026-05-13 15:39:31.000,n,Value,1
2026-05-13 15:39:32.000,0,imissed,0
2026-05-13 15:39:32.000,0,opackets,0
2026-05-13 15:39:32.000,0,rx_nombuf,0
2026-05-13 15:39:32.000,0,ipackets,166553850
2026-05-13 15:39:32.000,0,oerrors,0
2026-05-13 15:39:32.000,0,obytes,0
2026-05-13 15:39:32.000,0,ierrors,0
2026-05-13 15:39:32.000,0,ibytes,9993231566
2026-05-13 15:39:32.000,n,Value,1
2026-05-13 15:39:33.000,0,imissed,0
2026-05-13 15:39:33.000,0,opackets,0
2026-05-13 15:39:33.000,0,rx_nombuf,0
2026-05-13 15:39:33.000,0,ipackets,182718368
2026-05-13 15:39:33.000,0,oerrors,0
2026-05-13 15:39:33.000,0,obytes,0
2026-05-13 15:39:33.000,0,ierrors,0
2026-05-13 15:39:33.000,0,ibytes,10963101110
2026-05-13 15:39:33.000,n,Value,1
2026-05-13 15:39:34.000,0,imissed,0
2026-05-13 15:39:34.000,0,opackets,0
2026-05-13 15:39:34.000,0,rx_nombuf,0
2026-05-13 15:39:34.000,0,ipackets,198850181
2026-05-13 15:39:34.000,0,oerrors,0
2026-05-13 15:39:34.000,0,obytes,0
2026-05-13 15:39:34.000,0,ierrors,0
2026-05-13 15:39:34.000,0,ibytes,11931010018
2026-05-13 15:39:34.000,n,Value,1
2026-05-13 15:39:35.000,0,imissed,0
2026-05-13 15:39:35.000,0,opackets,0
2026-05-13 15:39:35.000,0,rx_nombuf,0
2026-05-13 15:39:35.000,0,ipackets,215033360
2026-05-13 15:39:35.000,0,oerrors,0
2026-05-13 15:39:35.000,0,obytes,0
2026-05-13 15:39:35.000,0,ierrors,0
2026-05-13 15:39:35.000,0,ibytes,12902001014
2026-05-13 15:39:35.000,n,Value,1
2026-05-13 15:39:36.000,0,imissed,0
2026-05-13 15:39:36.000,0,opackets,0
2026-05-13 15:39:36.000,0,rx_nombuf,0
2026-05-13 15:39:36.000,0,ipackets,230967131
2026-05-13 15:39:36.000,0,oerrors,0
2026-05-13 15:39:36.000,0,obytes,0
2026-05-13 15:39:36.000,0,ierrors,0
2026-05-13 15:39:36.000,0,ibytes,13858027402
2026-05-13 15:39:36.000,n,Value,1
2026-05-13 15:39:37.000,0,imissed,0
2026-05-13 15:39:37.000,0,opackets,0
2026-05-13 15:39:37.000,0,rx_nombuf,0
2026-05-13 15:39:37.000,0,ipackets,247211775
2026-05-13 15:39:37.000,0,oerrors,0
2026-05-13 15:39:37.000,0,obytes,0
2026-05-13 15:39:37.000,0,ierrors,0
2026-05-13 15:39:37.000,0,ibytes,14832704890
2026-05-13 15:39:37.000,n,Value,1
