Time,Port,Metric,Value
2026-05-08 03:45:05.000,0,ierrors,0
2026-05-08 03:45:05.000,0,opackets,0
2026-05-08 03:45:05.000,0,rx_nombuf,0
2026-05-08 03:45:05.000,0,ipackets,3
2026-05-08 03:45:05.000,0,obytes,0
2026-05-08 03:45:05.000,0,imissed,0
2026-05-08 03:45:05.000,0,oerrors,0
2026-05-08 03:45:05.000,0,ibytes,810
2026-05-08 03:45:05.000,n,Value,1
2026-05-08 03:45:06.000,0,ierrors,0
2026-05-08 03:45:06.000,0,opackets,31454805
2026-05-08 03:45:06.000,0,rx_nombuf,0
2026-05-08 03:45:06.000,0,ipackets,3
2026-05-08 03:45:06.000,0,obytes,1887286188
2026-05-08 03:45:06.000,0,imissed,0
2026-05-08 03:45:06.000,0,oerrors,85
2026-05-08 03:45:06.000,0,ibytes,810
2026-05-08 03:45:06.000,n,Value,1
2026-05-08 03:45:07.000,0,ierrors,0
2026-05-08 03:45:07.000,0,opackets,68658034
2026-05-08 03:45:07.000,0,rx_nombuf,0
2026-05-08 03:45:07.000,0,ipackets,3
2026-05-08 03:45:07.000,0,obytes,4119479800
2026-05-08 03:45:07.000,0,imissed,0
2026-05-08 03:45:07.000,0,oerrors,185
2026-05-08 03:45:07.000,0,ibytes,810
2026-05-08 03:45:07.000,n,Value,1
2026-05-08 03:45:08.000,0,ierrors,0
2026-05-08 03:45:08.000,0,opackets,105861264
2026-05-08 03:45:08.000,0,rx_nombuf,0
2026-05-08 03:45:08.000,0,ipackets,3
2026-05-08 03:45:08.000,0,obytes,6351673536
2026-05-08 03:45:08.000,0,imissed,0
2026-05-08 03:45:08.000,0,oerrors,285
2026-05-08 03:45:08.000,0,ibytes,810
2026-05-08 03:45:08.000,n,Value,1
2026-05-08 03:45:09.000,0,ierrors,0
2026-05-08 03:45:09.000,0,opackets,143064488
2026-05-08 03:45:09.000,0,rx_nombuf,0
2026-05-08 03:45:09.000,0,ipackets,3
2026-05-08 03:45:09.000,0,obytes,8583867104
2026-05-08 03:45:09.000,0,imissed,0
2026-05-08 03:45:09.000,0,oerrors,385
2026-05-08 03:45:09.000,0,ibytes,810
2026-05-08 03:45:09.000,n,Value,1
2026-05-08 03:45:10.000,0,ierrors,0
2026-05-08 03:45:10.000,0,opackets,180267708
2026-05-08 03:45:10.000,0,rx_nombuf,0
2026-05-08 03:45:10.000,0,ipackets,3
2026-05-08 03:45:10.000,0,obytes,10816060304
2026-05-08 03:45:10.000,0,imissed,0
2026-05-08 03:45:10.000,0,oerrors,485
2026-05-08 03:45:10.000,0,ibytes,810
2026-05-08 03:45:10.000,n,Value,1
2026-05-08 03:45:11.000,0,ierrors,0
2026-05-08 03:45:11.000,0,opackets,217470936
2026-05-08 03:45:11.000,0,rx_nombuf,0
2026-05-08 03:45:11.000,0,ipackets,3
2026-05-08 03:45:11.000,0,obytes,13048253984
2026-05-08 03:45:11.000,0,imissed,0
2026-05-08 03:45:11.000,0,oerrors,585
2026-05-08 03:45:11.000,0,ibytes,810
2026-05-08 03:45:11.000,n,Value,1
2026-05-08 03:45:12.000,0,ierrors,0
2026-05-08 03:45:12.000,0,opackets,254674162
2026-05-08 03:45:12.000,0,rx_nombuf,0
2026-05-08 03:45:12.000,0,ipackets,3
2026-05-08 03:45:12.000,0,obytes,15280447480
2026-05-08 03:45:12.000,0,imissed,0
2026-05-08 03:45:12.000,0,oerrors,685
2026-05-08 03:45:12.000,0,ibytes,810
2026-05-08 03:45:12.000,n,Value,1
2026-05-08 03:45:13.000,0,ierrors,0
2026-05-08 03:45:13.000,0,opackets,291877384
2026-05-08 03:45:13.000,0,rx_nombuf,0
2026-05-08 03:45:13.000,0,ipackets,3
2026-05-08 03:45:13.000,0,obytes,17512640800
2026-05-08 03:45:13.000,0,imissed,0
2026-05-08 03:45:13.000,0,oerrors,785
2026-05-08 03:45:13.000,0,ibytes,810
2026-05-08 03:45:13.000,n,Value,1
2026-05-08 03:45:14.000,0,ierrors,0
2026-05-08 03:45:14.000,0,opackets,329080619
2026-05-08 03:45:14.000,0,rx_nombuf,0
2026-05-08 03:45:14.000,0,ipackets,3
2026-05-08 03:45:14.000,0,obytes,19744834964
2026-05-08 03:45:14.000,0,imissed,0
2026-05-08 03:45:14.000,0,oerrors,885
2026-05-08 03:45:14.000,0,ibytes,810
2026-05-08 03:45:14.000,n,Value,1
2026-05-08 03:45:15.000,0,ierrors,0
2026-05-08 03:45:15.000,0,opackets,366283837
2026-05-08 03:45:15.000,0,rx_nombuf,0
2026-05-08 03:45:15.000,0,ipackets,3
2026-05-08 03:45:15.000,0,obytes,21977027916
2026-05-08 03:45:15.000,0,imissed,0
2026-05-08 03:45:15.000,0,oerrors,985
2026-05-08 03:45:15.000,0,ibytes,810
2026-05-08 03:45:15.000,n,Value,1
2026-05-08 03:45:16.000,0,ierrors,0
2026-05-08 03:45:16.000,0,opackets,403487070
2026-05-08 03:45:16.000,0,rx_nombuf,0
2026-05-08 03:45:16.000,0,ipackets,3
2026-05-08 03:45:16.000,0,obytes,24209222024
2026-05-08 03:45:16.000,0,imissed,0
2026-05-08 03:45:16.000,0,oerrors,1085
2026-05-08 03:45:16.000,0,ibytes,810
2026-05-08 03:45:16.000,n,Value,1
2026-05-08 03:45:17.000,0,ierrors,0
2026-05-08 03:45:17.000,0,opackets,440690290
2026-05-08 03:45:17.000,0,rx_nombuf,0
2026-05-08 03:45:17.000,0,ipackets,3
2026-05-08 03:45:17.000,0,obytes,26441415160
2026-05-08 03:45:17.000,0,imissed,0
2026-05-08 03:45:17.000,0,oerrors,1185
2026-05-08 03:45:17.000,0,ibytes,810
2026-05-08 03:45:17.000,n,Value,1
2026-05-08 03:45:18.000,0,ierrors,0
2026-05-08 03:45:18.000,0,opackets,477893505
2026-05-08 03:45:18.000,0,rx_nombuf,0
2026-05-08 03:45:18.000,0,ipackets,3
2026-05-08 03:45:18.000,0,obytes,28673608124
2026-05-08 03:45:18.000,0,imissed,0
2026-05-08 03:45:18.000,0,oerrors,1285
2026-05-08 03:45:18.000,0,ibytes,810
2026-05-08 03:45:18.000,n,Value,1
2026-05-08 03:45:19.000,0,ierrors,0
2026-05-08 03:45:19.000,0,opackets,515096730
2026-05-08 03:45:19.000,0,rx_nombuf,0
2026-05-08 03:45:19.000,0,ipackets,3
2026-05-08 03:45:19.000,0,obytes,30905801496
2026-05-08 03:45:19.000,0,imissed,0
2026-05-08 03:45:19.000,0,oerrors,1385
2026-05-08 03:45:19.000,0,ibytes,810
2026-05-08 03:45:19.000,n,Value,1
2026-05-08 03:45:20.000,0,ierrors,0
2026-05-08 03:45:20.000,0,opackets,552299958
2026-05-08 03:45:20.000,0,rx_nombuf,0
2026-05-08 03:45:20.000,0,ipackets,3
2026-05-08 03:45:20.000,0,obytes,33137995304
2026-05-08 03:45:20.000,0,imissed,0
2026-05-08 03:45:20.000,0,oerrors,1485
2026-05-08 03:45:20.000,0,ibytes,810
2026-05-08 03:45:20.000,n,Value,1
2026-05-08 03:45:21.000,0,ierrors,0
2026-05-08 03:45:21.000,0,opackets,589503163
2026-05-08 03:45:21.000,0,rx_nombuf,0
2026-05-08 03:45:21.000,0,ipackets,3
2026-05-08 03:45:21.000,0,obytes,35370187604
2026-05-08 03:45:21.000,0,imissed,0
2026-05-08 03:45:21.000,0,oerrors,1585
2026-05-08 03:45:21.000,0,ibytes,810
2026-05-08 03:45:21.000,n,Value,1
2026-05-08 03:45:22.000,0,ierrors,0
2026-05-08 03:45:22.000,0,opackets,626706390
2026-05-08 03:45:22.000,0,rx_nombuf,0
2026-05-08 03:45:22.000,0,ipackets,3
2026-05-08 03:45:22.000,0,obytes,37602381160
