Linux 6.8.0-111-generic (testbed-node6) 	07/05/26 	_x86_64_	(24 CPU)

15:28:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:28:40     all    1,33    0,00    1,05    0,00    0,00   20,18    0,00    0,00    0,00   77,44
15:28:40       0    1,28    0,00    0,00    0,00    0,00   33,33    0,00    0,00    0,00   65,38
15:28:40       1    1,30    0,00    1,30    0,00    0,00   33,77    0,00    0,00    0,00   63,64
15:28:40       2    1,20    0,00    1,20    0,00    0,00   13,25    0,00    0,00    0,00   84,34
15:28:40       3    0,00    0,00    0,00    0,00    0,00    7,58    0,00    0,00    0,00   92,42
15:28:40       4    1,52    0,00    0,00    0,00    0,00   30,30    0,00    0,00    0,00   68,18
15:28:40       5    0,00    0,00    0,00    0,00    0,00    4,69    0,00    0,00    0,00   95,31
15:28:40       6    1,28    0,00    1,28    0,00    0,00   15,38    0,00    0,00    0,00   82,05
15:28:40       7    0,00    0,00    0,00    0,00    0,00    5,26    0,00    0,00    0,00   94,74
15:28:40       8   13,10    0,00    2,38    0,00    0,00   26,19    0,00    0,00    0,00   58,33
15:28:40       9    1,49    0,00    0,00    0,00    0,00    7,46    0,00    0,00    0,00   91,04
15:28:40      10    0,00    0,00    3,80    0,00    0,00   24,05    0,00    0,00    0,00   72,15
15:28:40      11    0,00    0,00    0,00    0,00    0,00    4,35    0,00    0,00    0,00   95,65
15:28:40      12    1,10    0,00    1,10    0,00    0,00   18,68    0,00    0,00    0,00   79,12
15:28:40      13    1,30    0,00    0,00    0,00    0,00    3,90    0,00    0,00    0,00   94,81
15:28:40      14    1,25    0,00    2,50    0,00    0,00   12,50    0,00    0,00    0,00   83,75
15:28:40      15    1,16    0,00    1,16    0,00    0,00   20,93    0,00    0,00    0,00   76,74
15:28:40      16    2,50    0,00    2,50    0,00    0,00   28,75    0,00    0,00    0,00   66,25
15:28:40      17    0,00    0,00    1,39    0,00    0,00   19,44    0,00    0,00    0,00   79,17
15:28:40      18    0,00    0,00    0,00    0,00    0,00   18,46    0,00    0,00    0,00   81,54
