Time,Port,Metric,Value
2026-05-06 20:50:22.000,0,imissed,0
2026-05-06 20:50:22.000,0,oerrors,0
2026-05-06 20:50:22.000,0,rx_nombuf,0
2026-05-06 20:50:22.000,0,ierrors,0
2026-05-06 20:50:22.000,0,ibytes,538
2026-05-06 20:50:22.000,0,ipackets,2
2026-05-06 20:50:22.000,0,obytes,0
2026-05-06 20:50:22.000,0,opackets,0
2026-05-06 20:50:22.000,n,Value,1
2026-05-06 20:50:23.000,0,imissed,0
2026-05-06 20:50:23.000,0,oerrors,0
2026-05-06 20:50:23.000,0,rx_nombuf,0
2026-05-06 20:50:23.000,0,ierrors,0
2026-05-06 20:50:23.000,0,ibytes,538
2026-05-06 20:50:23.000,0,ipackets,2
2026-05-06 20:50:23.000,0,obytes,0
2026-05-06 20:50:23.000,0,opackets,0
2026-05-06 20:50:23.000,n,Value,1
2026-05-06 20:50:24.000,0,imissed,0
2026-05-06 20:50:24.000,0,oerrors,0
2026-05-06 20:50:24.000,0,rx_nombuf,0
2026-05-06 20:50:24.000,0,ierrors,0
2026-05-06 20:50:24.000,0,ibytes,538
2026-05-06 20:50:24.000,0,ipackets,2
2026-05-06 20:50:24.000,0,obytes,0
2026-05-06 20:50:24.000,0,opackets,0
2026-05-06 20:50:24.000,n,Value,1
2026-05-06 20:50:25.000,0,imissed,0
2026-05-06 20:50:25.000,0,oerrors,0
2026-05-06 20:50:25.000,0,rx_nombuf,0
2026-05-06 20:50:25.000,0,ierrors,0
2026-05-06 20:50:25.000,0,ibytes,1408363258
2026-05-06 20:50:25.000,0,ipackets,23472746
2026-05-06 20:50:25.000,0,obytes,0
2026-05-06 20:50:25.000,0,opackets,0
2026-05-06 20:50:25.000,n,Value,1
2026-05-06 20:50:26.000,0,imissed,0
2026-05-06 20:50:26.000,0,oerrors,0
2026-05-06 20:50:26.000,0,rx_nombuf,0
2026-05-06 20:50:26.000,0,ierrors,0
2026-05-06 20:50:26.000,0,ibytes,3300722150
2026-05-06 20:50:26.000,0,ipackets,55012063
2026-05-06 20:50:26.000,0,obytes,0
2026-05-06 20:50:26.000,0,opackets,0
2026-05-06 20:50:26.000,n,Value,1
2026-05-06 20:50:27.000,0,imissed,287
2026-05-06 20:50:27.000,0,oerrors,0
2026-05-06 20:50:27.000,0,rx_nombuf,0
2026-05-06 20:50:27.000,0,ierrors,0
2026-05-06 20:50:27.000,0,ibytes,5161745526
2026-05-06 20:50:27.000,0,ipackets,86028828
2026-05-06 20:50:27.000,0,obytes,0
2026-05-06 20:50:27.000,0,opackets,0
2026-05-06 20:50:27.000,n,Value,1
2026-05-06 20:50:28.000,0,imissed,287
2026-05-06 20:50:28.000,0,oerrors,0
2026-05-06 20:50:28.000,0,rx_nombuf,0
2026-05-06 20:50:28.000,0,ierrors,0
2026-05-06 20:50:28.000,0,ibytes,7047072178
2026-05-06 20:50:28.000,0,ipackets,117450941
2026-05-06 20:50:28.000,0,obytes,0
2026-05-06 20:50:28.000,0,opackets,0
2026-05-06 20:50:28.000,n,Value,1
2026-05-06 20:50:29.000,0,imissed,287
2026-05-06 20:50:29.000,0,oerrors,0
2026-05-06 20:50:29.000,0,rx_nombuf,0
2026-05-06 20:50:29.000,0,ierrors,0
2026-05-06 20:50:29.000,0,ibytes,8940403918
2026-05-06 20:50:29.000,0,ipackets,149006470
2026-05-06 20:50:29.000,0,obytes,0
2026-05-06 20:50:29.000,0,opackets,0
2026-05-06 20:50:29.000,n,Value,1
2026-05-06 20:50:30.000,0,imissed,287
2026-05-06 20:50:30.000,0,oerrors,0
2026-05-06 20:50:30.000,0,rx_nombuf,0
2026-05-06 20:50:30.000,0,ierrors,0
2026-05-06 20:50:30.000,0,ibytes,10825248710
2026-05-06 20:50:30.000,0,ipackets,180420552
2026-05-06 20:50:30.000,0,obytes,0
2026-05-06 20:50:30.000,0,opackets,0
2026-05-06 20:50:30.000,n,Value,1
2026-05-06 20:50:31.000,0,imissed,287
2026-05-06 20:50:31.000,0,oerrors,0
2026-05-06 20:50:31.000,0,rx_nombuf,0
2026-05-06 20:50:31.000,0,ierrors,0
2026-05-06 20:50:31.000,0,ibytes,12717479522
2026-05-06 20:50:31.000,0,ipackets,211957729
2026-05-06 20:50:31.000,0,obytes,0
2026-05-06 20:50:31.000,0,opackets,0
2026-05-06 20:50:31.000,n,Value,1
2026-05-06 20:50:32.000,0,imissed,2380
2026-05-06 20:50:32.000,0,oerrors,0
2026-05-06 20:50:32.000,0,rx_nombuf,0
2026-05-06 20:50:32.000,0,ierrors,0
2026-05-06 20:50:32.000,0,ibytes,14606373658
2026-05-06 20:50:32.000,0,ipackets,243437206
2026-05-06 20:50:32.000,0,obytes,0
2026-05-06 20:50:32.000,0,opackets,0
2026-05-06 20:50:32.000,n,Value,1
2026-05-06 20:50:33.000,0,imissed,3158
2026-05-06 20:50:33.000,0,oerrors,0
2026-05-06 20:50:33.000,0,rx_nombuf,0
2026-05-06 20:50:33.000,0,ierrors,0
2026-05-06 20:50:33.000,0,ibytes,16502537694
2026-05-06 20:50:33.000,0,ipackets,275039163
