Linux 6.8.0-111-generic (testbed-node6) 	07/05/26 	_x86_64_	(24 CPU)

17:51:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:51:50     all    0,91    0,00    0,50    0,00    0,00   20,50    0,00    0,00    0,00   78,10
17:51:50       0    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
17:51:50       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:50       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:50       3    0,00    0,00    0,00    0,00    0,00   68,32    0,00    0,00    0,00   31,68
17:51:50       4    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
17:51:50       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:50       6    8,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   89,00
17:51:50       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:50       8    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:51:50       9    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
17:51:50      10    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:51:50      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:50      12    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:51:50      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:50      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:50      15    0,00    0,00    0,00    0,00    0,00   52,58    0,00    0,00    0,00   47,42
17:51:50      16    0,00    0,00    0,00    0,00    0,00   88,68    0,00    0,00    0,00   11,32
17:51:50      17    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:51:50      18    0,00    0,00    0,00    0,00    0,00   89,52    0,00    0,00    0,00   10,48
17:51:50      19    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:51:50      20    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
17:51:50      21    3,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
17:51:50      22    0,00    0,00    0,94    0,00    0,00   82,08    0,00    0,00    0,00   16,98
17:51:50      23    4,95    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   94,06

17:51:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:51:51     all    0,50    0,00    0,12    0,04    0,00   20,52    0,00    0,00    0,00   78,81
17:51:51       0    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:51:51       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:51       2    1,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00   98,00
17:51:51       3    0,00    0,00    0,00    0,00    0,00   68,63    0,00    0,00    0,00   31,37
17:51:51       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:51       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:51       6    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:51:51       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:51       8    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
17:51:51       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:51      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:51      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:51      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:51      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:51      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:51      15    0,00    0,00    0,00    0,00    0,00   53,54    0,00    0,00    0,00   46,46
17:51:51      16    0,00    0,00    0,00    0,00    0,00   87,74    0,00    0,00    0,00   12,26
17:51:51      17    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:51:51      18    0,00    0,00    0,00    0,00    0,00   88,79    0,00    0,00    0,00   11,21
17:51:51      19    3,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
17:51:51      20    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
17:51:51      21    5,05    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   94,95
17:51:51      22    0,00    0,00    0,96    0,00    0,00   80,77    0,00    0,00    0,00   18,27
17:51:51      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

17:51:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:51:52     all    1,90    0,00    1,03    0,00    0,00   20,96    0,00    0,00    0,00   76,11
17:51:52       0    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
17:51:52       1    0,98    0,00    0,98    0,00    0,00    0,98    0,00    0,00    0,00   97,06
17:51:52       2    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
17:51:52       3    0,00    0,00    0,97    0,00    0,00   70,87    0,00    0,00    0,00   28,16
17:51:52       4    2,97    0,00    2,97    0,00    0,00    0,00    0,00    0,00    0,00   94,06
17:51:52       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:52       6    3,96    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   94,06
17:51:52       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:52       8    3,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
17:51:52       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:52      10   14,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   83,00
17:51:52      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:51:52      12    4,04    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   94,95
17:51:52      13    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
17:51:52      14    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
17:51:52      15    0,00    0,00    1,03    0,00    0,00   54,64    0,00    0,00    0,00   44,33
17:51:52      16    0,00    0,00    0,00    0,00    0,00   90,38    0,00    0,00    0,00    9,62
17:51:52      17    3,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
17:51:52      18    0,00    0,00    0,00    0,00    0,00   92,38    0,00    0,00    0,00    7,62
17:51:52      19    3,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
17:51:52      20    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
17:51:52      21    5,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   91,00
