Time,Port,Metric,Value
2026-05-06 20:15:49.000,0,imissed,0
2026-05-06 20:15:49.000,0,rx_nombuf,0
2026-05-06 20:15:49.000,0,ipackets,2
2026-05-06 20:15:49.000,0,opackets,0
2026-05-06 20:15:49.000,0,obytes,0
2026-05-06 20:15:49.000,0,ierrors,0
2026-05-06 20:15:49.000,0,ibytes,538
2026-05-06 20:15:49.000,0,oerrors,0
2026-05-06 20:15:49.000,n,Value,1
2026-05-06 20:15:50.000,0,imissed,0
2026-05-06 20:15:50.000,0,rx_nombuf,0
2026-05-06 20:15:50.000,0,ipackets,3
2026-05-06 20:15:50.000,0,opackets,27740377
2026-05-06 20:15:50.000,0,obytes,1664420444
2026-05-06 20:15:50.000,0,ierrors,0
2026-05-06 20:15:50.000,0,ibytes,871
2026-05-06 20:15:50.000,0,oerrors,0
2026-05-06 20:15:50.000,n,Value,1
2026-05-06 20:15:51.000,0,imissed,0
2026-05-06 20:15:51.000,0,rx_nombuf,0
2026-05-06 20:15:51.000,0,ipackets,3
2026-05-06 20:15:51.000,0,opackets,64943539
2026-05-06 20:15:51.000,0,obytes,3896610164
2026-05-06 20:15:51.000,0,ierrors,0
2026-05-06 20:15:51.000,0,ibytes,871
2026-05-06 20:15:51.000,0,oerrors,0
2026-05-06 20:15:51.000,n,Value,1
2026-05-06 20:15:52.000,0,imissed,0
2026-05-06 20:15:52.000,0,rx_nombuf,0
2026-05-06 20:15:52.000,0,ipackets,3
2026-05-06 20:15:52.000,0,opackets,102146747
2026-05-06 20:15:52.000,0,obytes,6128802516
2026-05-06 20:15:52.000,0,ierrors,0
2026-05-06 20:15:52.000,0,ibytes,871
2026-05-06 20:15:52.000,0,oerrors,0
2026-05-06 20:15:52.000,n,Value,1
2026-05-06 20:15:53.000,0,imissed,0
2026-05-06 20:15:53.000,0,rx_nombuf,0
2026-05-06 20:15:53.000,0,ipackets,3
2026-05-06 20:15:53.000,0,opackets,139349947
2026-05-06 20:15:53.000,0,obytes,8360994644
2026-05-06 20:15:53.000,0,ierrors,0
2026-05-06 20:15:53.000,0,ibytes,871
2026-05-06 20:15:53.000,0,oerrors,0
2026-05-06 20:15:53.000,n,Value,1
2026-05-06 20:15:54.000,0,imissed,0
2026-05-06 20:15:54.000,0,rx_nombuf,0
2026-05-06 20:15:54.000,0,ipackets,3
2026-05-06 20:15:54.000,0,opackets,176553157
2026-05-06 20:15:54.000,0,obytes,10593187180
2026-05-06 20:15:54.000,0,ierrors,0
2026-05-06 20:15:54.000,0,ibytes,871
2026-05-06 20:15:54.000,0,oerrors,0
2026-05-06 20:15:54.000,n,Value,1
2026-05-06 20:15:55.000,0,imissed,0
2026-05-06 20:15:55.000,0,rx_nombuf,0
2026-05-06 20:15:55.000,0,ipackets,3
