Linux 6.8.0-111-generic (testbed-node6) 	07/05/26 	_x86_64_	(24 CPU)

14:18:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:19:00     all    4,23    0,00    1,02    0,00    0,00   21,42    0,00    0,00    0,00   73,33
14:19:00       0    1,33    0,00    0,00    0,00    0,00   37,33    0,00    0,00    0,00   61,33
14:19:00       1    0,00    0,00    1,33    0,00    0,00   24,00    0,00    0,00    0,00   74,67
14:19:00       2    1,19    0,00    1,19    0,00    0,00   20,24    0,00    0,00    0,00   77,38
14:19:00       3    0,00    0,00    0,00    0,00    0,00   18,84    0,00    0,00    0,00   81,16
14:19:00       4    4,05    0,00    0,00    0,00    0,00   41,89    0,00    0,00    0,00   54,05
14:19:00       5    1,23    0,00    0,00    0,00    0,00   25,93    0,00    0,00    0,00   72,84
14:19:00       6    5,62    0,00    1,12    0,00    0,00   25,84    0,00    0,00    0,00   67,42
14:19:00       7    0,00    0,00    0,00    0,00    0,00    5,19    0,00    0,00    0,00   94,81
14:19:00       8    7,32    0,00    0,00    0,00    0,00   23,17    0,00    0,00    0,00   69,51
14:19:00       9   15,19    0,00    1,27    0,00    0,00   11,39    0,00    0,00    0,00   72,15
14:19:00      10   22,22    0,00    4,44    0,00    0,00   25,56    0,00    0,00    0,00   47,78
14:19:00      11    0,00    0,00    0,00    0,00    0,00    5,33    0,00    0,00    0,00   94,67
14:19:00      12   20,65    0,00    2,17    0,00    0,00   18,48    0,00    0,00    0,00   58,70
14:19:00      13    0,00    0,00    0,00    0,00    0,00    2,56    0,00    0,00    0,00   97,44
14:19:00      14    1,16    0,00    0,00    0,00    0,00   18,60    0,00    0,00    0,00   80,23
14:19:00      15    0,00    0,00    0,00    0,00    0,00    2,67    0,00    0,00    0,00   97,33
14:19:00      16    2,38    0,00    1,19    0,00    0,00   29,76    0,00    0,00    0,00   66,67
14:19:00      17    1,33    0,00    1,33    0,00    0,00   18,67    0,00    0,00    0,00   78,67
14:19:00      18    2,67    0,00    2,67    0,00    0,00   33,33    0,00    0,00    0,00   61,33
14:19:00      19    1,33    0,00    1,33    0,00    0,00   18,67    0,00    0,00    0,00   78,67
14:19:00      20    1,43    0,00    1,43    0,00    0,00   22,86    0,00    0,00    0,00   74,29
14:19:00      21    1,43    0,00    0,00    0,00    0,00   24,29    0,00    0,00    0,00   74,29
14:19:00      22    0,00    0,00    1,54    0,00    0,00   43,08    0,00    0,00    0,00   55,38
