time_s,cpu0_%usr,cpu0_%nice,cpu0_%sys,cpu0_%iowait,cpu0_%irq,cpu0_%soft,cpu0_%steal,cpu0_%guest,cpu0_%gnice,cpu0_%idle,cpu1_%usr,cpu1_%nice,cpu1_%sys,cpu1_%iowait,cpu1_%irq,cpu1_%soft,cpu1_%steal,cpu1_%guest,cpu1_%gnice,cpu1_%idle,cpu2_%usr,cpu2_%nice,cpu2_%sys,cpu2_%iowait,cpu2_%irq,cpu2_%soft,cpu2_%steal,cpu2_%guest,cpu2_%gnice,cpu2_%idle,cpu3_%usr,cpu3_%nice,cpu3_%sys,cpu3_%iowait,cpu3_%irq,cpu3_%soft,cpu3_%steal,cpu3_%guest,cpu3_%gnice,cpu3_%idle,cpu4_%usr,cpu4_%nice,cpu4_%sys,cpu4_%iowait,cpu4_%irq,cpu4_%soft,cpu4_%steal,cpu4_%guest,cpu4_%gnice,cpu4_%idle,cpu5_%usr,cpu5_%nice,cpu5_%sys,cpu5_%iowait,cpu5_%irq,cpu5_%soft,cpu5_%steal,cpu5_%guest,cpu5_%gnice,cpu5_%idle,cpu6_%usr,cpu6_%nice,cpu6_%sys,cpu6_%iowait,cpu6_%irq,cpu6_%soft,cpu6_%steal,cpu6_%guest,cpu6_%gnice,cpu6_%idle,cpu7_%usr,cpu7_%nice,cpu7_%sys,cpu7_%iowait,cpu7_%irq,cpu7_%soft,cpu7_%steal,cpu7_%guest,cpu7_%gnice,cpu7_%idle,cpu8_%usr,cpu8_%nice,cpu8_%sys,cpu8_%iowait,cpu8_%irq,cpu8_%soft,cpu8_%steal,cpu8_%guest,cpu8_%gnice,cpu8_%idle,cpu9_%usr,cpu9_%nice,cpu9_%sys,cpu9_%iowait,cpu9_%irq,cpu9_%soft,cpu9_%steal,cpu9_%guest,cpu9_%gnice,cpu9_%idle,cpu10_%usr,cpu10_%nice,cpu10_%sys,cpu10_%iowait,cpu10_%irq,cpu10_%soft,cpu10_%steal,cpu10_%guest,cpu10_%gnice,cpu10_%idle,cpu11_%usr,cpu11_%nice,cpu11_%sys,cpu11_%iowait,cpu11_%irq,cpu11_%soft,cpu11_%steal,cpu11_%guest,cpu11_%gnice,cpu11_%idle,cpu12_%usr,cpu12_%nice,cpu12_%sys,cpu12_%iowait,cpu12_%irq,cpu12_%soft,cpu12_%steal,cpu12_%guest,cpu12_%gnice,cpu12_%idle,cpu13_%usr,cpu13_%nice,cpu13_%sys,cpu13_%iowait,cpu13_%irq,cpu13_%soft,cpu13_%steal,cpu13_%guest,cpu13_%gnice,cpu13_%idle,cpu14_%usr,cpu14_%nice,cpu14_%sys,cpu14_%iowait,cpu14_%irq,cpu14_%soft,cpu14_%steal,cpu14_%guest,cpu14_%gnice,cpu14_%idle,cpu15_%usr,cpu15_%nice,cpu15_%sys,cpu15_%iowait,cpu15_%irq,cpu15_%soft,cpu15_%steal,cpu15_%guest,cpu15_%gnice,cpu15_%idle,cpu16_%usr,cpu16_%nice,cpu16_%sys,cpu16_%iowait,cpu16_%irq,cpu16_%soft,cpu16_%steal,cpu16_%guest,cpu16_%gnice,cpu16_%idle,cpu17_%usr,cpu17_%nice,cpu17_%sys,cpu17_%iowait,cpu17_%irq,cpu17_%soft,cpu17_%steal,cpu17_%guest,cpu17_%gnice,cpu17_%idle,cpu18_%usr,cpu18_%nice,cpu18_%sys,cpu18_%iowait,cpu18_%irq,cpu18_%soft,cpu18_%steal,cpu18_%guest,cpu18_%gnice,cpu18_%idle,cpu19_%usr,cpu19_%nice,cpu19_%sys,cpu19_%iowait,cpu19_%irq,cpu19_%soft,cpu19_%steal,cpu19_%guest,cpu19_%gnice,cpu19_%idle,cpu20_%usr,cpu20_%nice,cpu20_%sys,cpu20_%iowait,cpu20_%irq,cpu20_%soft,cpu20_%steal,cpu20_%guest,cpu20_%gnice,cpu20_%idle,cpu21_%usr,cpu21_%nice,cpu21_%sys,cpu21_%iowait,cpu21_%irq,cpu21_%soft,cpu21_%steal,cpu21_%guest,cpu21_%gnice,cpu21_%idle,cpu22_%usr,cpu22_%nice,cpu22_%sys,cpu22_%iowait,cpu22_%irq,cpu22_%soft,cpu22_%steal,cpu22_%guest,cpu22_%gnice,cpu22_%idle,cpu23_%usr,cpu23_%nice,cpu23_%sys,cpu23_%iowait,cpu23_%irq,cpu23_%soft,cpu23_%steal,cpu23_%guest,cpu23_%gnice,cpu23_%idle
0,0.0,0.0,0.0,0.0,0.0,37.14,0.0,0.0,0.0,62.86,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,94.74,0.0,0.0,0.0,1.27,0.0,11.39,0.0,0.0,0.0,87.34,0.0,0.0,0.0,0.0,0.0,6.94,0.0,0.0,0.0,93.06,0.99,0.0,0.99,0.0,0.0,71.29,0.0,0.0,0.0,26.73,17.5,0.0,2.5,0.0,0.0,38.75,0.0,0.0,0.0,41.25,1.06,0.0,0.0,0.0,0.0,25.53,0.0,0.0,0.0,73.4,1.3,0.0,0.0,0.0,0.0,16.88,0.0,0.0,0.0,81.82,0.0,0.0,1.41,0.0,0.0,15.49,0.0,0.0,0.0,83.1,0.0,0.0,1.04,0.0,0.0,48.96,0.0,0.0,0.0,50.0,0.0,0.0,1.02,0.0,0.0,54.08,0.0,0.0,0.0,44.9,32.14,0.0,0.0,0.0,0.0,27.38,0.0,0.0,0.0,40.48,2.08,0.0,0.0,1.04,0.0,18.75,0.0,0.0,0.0,78.12,0.0,0.0,0.0,0.0,0.0,41.18,0.0,0.0,0.0,58.82,6.17,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,82.72,0.0,0.0,0.0,0.0,0.0,10.17,0.0,0.0,0.0,89.83,0.0,0.0,1.49,0.0,0.0,22.39,0.0,0.0,0.0,76.12,1.45,0.0,0.0,0.0,0.0,17.39,0.0,0.0,0.0,81.16,0.0,0.0,0.0,0.0,0.0,17.65,0.0,0.0,0.0,82.35,0.0,0.0,0.98,0.0,0.0,67.65,0.0,0.0,0.0,31.37,0.0,0.0,0.0,0.0,0.0,9.68,0.0,0.0,0.0,90.32,0.0,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0.0,97.18,0.0,0.0,0.0,0.0,0.0,66.34,0.0,0.0,0.0,33.66,0.0,0.0,0.0,0.0,0.0,16.36,0.0,0.0,0.0,83.64
1,0.0,0.0,1.39,0.0,0.0,34.72,0.0,0.0,0.0,63.89,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,94.92,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,88.89,0.0,0.0,0.0,1.35,0.0,6.76,0.0,0.0,0.0,91.89,0.0,0.0,0.0,0.0,0.0,59.18,0.0,0.0,0.0,40.82,0.0,0.0,1.59,0.0,0.0,12.7,0.0,0.0,0.0,85.71,1.15,0.0,0.0,0.0,0.0,17.24,0.0,0.0,0.0,81.61,0.0,0.0,0.0,0.0,0.0,16.88,0.0,0.0,0.0,83.12,1.52,0.0,0.0,0.0,0.0,7.58,0.0,0.0,0.0,90.91,0.0,0.0,0.0,0.0,0.0,47.78,0.0,0.0,0.0,52.22,0.0,0.0,0.0,0.0,0.0,42.53,0.0,0.0,0.0,57.47,0.0,0.0,0.0,0.0,0.0,7.35,0.0,0.0,0.0,92.65,1.01,0.0,1.01,0.0,0.0,20.2,0.0,0.0,0.0,77.78,0.0,0.0,0.0,0.0,0.0,37.8,0.0,0.0,0.0,62.2,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,92.31,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,88.89,0.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,86.67,0.0,0.0,0.0,0.0,0.0,15.15,0.0,0.0,0.0,84.85,0.0,0.0,0.0,0.0,0.0,8.06,0.0,0.0,0.0,91.94,0.0,0.0,0.0,0.0,0.0,65.66,0.0,0.0,0.0,34.34,0.0,0.0,1.61,0.0,0.0,6.45,0.0,0.0,0.0,91.94,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,95.83,0.0,0.0,0.0,0.0,0.0,64.36,0.0,0.0,0.0,35.64,0.0,0.0,0.0,0.0,0.0,11.54,0.0,0.0,0.0,88.46
2,0.0,0.0,0.0,0.0,0.0,44.16,0.0,0.0,0.0,55.84,0.0,0.0,0.0,0.0,0.0,7.02,0.0,0.0,0.0,92.98,3.53,0.0,1.18,0.0,0.0,17.65,0.0,0.0,0.0,77.65,0.0,0.0,0.0,0.0,0.0,12.16,0.0,0.0,0.0,87.84,0.98,0.0,0.98,0.0,0.0,70.59,0.0,0.0,0.0,27.45,20.25,0.0,1.27,0.0,0.0,36.71,0.0,0.0,0.0,41.77,1.16,0.0,2.33,0.0,0.0,19.77,0.0,0.0,0.0,76.74,8.0,0.0,4.0,0.0,0.0,17.33,0.0,0.0,0.0,70.67,1.41,0.0,1.41,0.0,0.0,18.31,0.0,0.0,0.0,78.87,0.0,0.0,0.0,0.0,0.0,52.13,0.0,0.0,0.0,47.87,0.0,0.0,0.0,0.0,0.0,50.53,0.0,0.0,0.0,49.47,5.56,0.0,0.0,0.0,0.0,15.28,0.0,0.0,0.0,79.17,3.19,0.0,2.13,0.0,0.0,18.09,0.0,0.0,0.0,76.6,0.0,0.0,0.0,0.0,0.0,44.32,0.0,0.0,0.0,55.68,3.57,0.0,1.19,0.0,0.0,16.67,0.0,0.0,0.0,78.57,0.0,0.0,0.0,0.0,0.0,11.86,0.0,0.0,0.0,88.14,1.33,0.0,0.0,0.0,0.0,34.67,0.0,0.0,0.0,64.0,3.03,0.0,1.52,0.0,0.0,16.67,0.0,0.0,0.0,78.79,5.41,0.0,4.05,0.0,0.0,24.32,0.0,0.0,0.0,66.22,1.0,0.0,1.0,0.0,0.0,69.0,0.0,0.0,0.0,29.0,1.43,0.0,1.43,0.0,0.0,22.86,0.0,0.0,0.0,74.29,2.41,0.0,2.41,0.0,0.0,16.87,0.0,0.0,0.0,78.31,0.97,0.0,1.94,0.0,0.0,66.99,0.0,0.0,0.0,30.1,1.56,0.0,1.56,0.0,0.0,31.25,0.0,0.0,0.0,65.62
3,0.0,0.0,0.0,0.0,0.0,41.1,0.0,0.0,0.0,58.9,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,93.1,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,88.75,0.0,0.0,0.0,0.0,0.0,6.94,0.0,0.0,0.0,93.06,0.0,0.0,0.0,0.0,0.0,65.66,0.0,0.0,0.0,34.34,13.04,0.0,0.0,0.0,0.0,28.99,0.0,0.0,0.0,57.97,5.68,0.0,1.14,0.0,0.0,20.45,0.0,0.0,0.0,72.73,2.27,0.0,2.27,0.0,0.0,29.55,0.0,0.0,0.0,65.91,1.22,0.0,0.0,0.0,0.0,28.05,0.0,0.0,0.0,70.73,0.0,0.0,0.0,0.0,0.0,51.09,0.0,0.0,0.0,48.91,4.17,0.0,1.04,0.0,0.0,50.0,0.0,0.0,0.0,44.79,9.72,0.0,0.0,0.0,0.0,15.28,0.0,0.0,0.0,75.0,1.15,0.0,0.0,0.0,0.0,10.34,0.0,0.0,0.0,88.51,0.0,0.0,0.0,0.0,0.0,41.86,0.0,0.0,0.0,58.14,1.15,0.0,0.0,0.0,0.0,19.54,0.0,0.0,0.0,79.31,0.0,0.0,0.0,0.0,0.0,11.48,0.0,0.0,0.0,88.52,0.0,0.0,1.35,0.0,0.0,32.43,0.0,0.0,0.0,66.22,1.37,0.0,0.0,0.0,0.0,24.66,0.0,0.0,0.0,73.97,0.0,0.0,1.52,0.0,0.0,15.15,0.0,0.0,0.0,83.33,0.0,0.0,0.99,0.0,0.0,68.32,0.0,0.0,0.0,30.69,1.47,0.0,1.47,0.0,0.0,16.18,0.0,0.0,0.0,80.88,1.32,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,88.16,0.0,0.0,0.0,0.0,0.0,68.32,0.0,0.0,0.0,31.68,0.0,0.0,1.39,0.0,0.0,37.5,0.0,0.0,0.0,61.11
4,0.0,0.0,0.0,0.0,0.0,34.72,0.0,0.0,0.0,65.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,98.63,0.0,0.0,0.0,0.0,0.0,5.48,0.0,0.0,0.0,94.52,0.0,0.0,0.0,0.0,0.0,57.43,0.0,0.0,0.0,42.57,0.0,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.0,93.22,1.03,0.0,0.0,0.0,0.0,25.77,0.0,0.0,0.0,73.2,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,97.01,1.06,0.0,1.06,0.0,0.0,34.04,0.0,0.0,0.0,63.83,0.0,0.0,0.0,0.0,0.0,47.31,0.0,0.0,0.0,52.69,0.0,0.0,0.0,0.0,0.0,43.96,0.0,0.0,0.0,56.04,0.0,0.0,0.0,0.0,0.0,13.51,0.0,0.0,0.0,86.49,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,97.53,0.0,0.0,0.0,0.0,0.0,38.37,0.0,0.0,0.0,61.63,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,98.65,0.0,0.0,0.0,0.0,0.0,6.56,0.0,0.0,0.0,93.44,0.0,0.0,0.0,0.0,0.0,16.13,0.0,0.0,0.0,83.87,0.0,0.0,1.49,0.0,0.0,14.93,0.0,0.0,0.0,83.58,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0,95.08,0.0,0.0,0.0,0.0,0.0,63.11,0.0,0.0,0.0,36.89,0.0,0.0,0.0,0.0,0.0,7.94,0.0,0.0,0.0,92.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,63.64,0.0,0.0,0.0,36.36,0.0,0.0,0.0,0.0,0.0,14.81,0.0,0.0,0.0,85.19
5,0.0,0.0,0.0,0.0,0.0,32.35,0.0,0.0,0.0,67.65,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,91.8,0.0,0.0,0.0,1.32,0.0,6.58,0.0,0.0,0.0,92.11,0.0,0.0,1.28,0.0,0.0,11.54,0.0,0.0,0.0,87.18,0.0,0.0,0.0,0.0,0.0,60.58,0.0,0.0,0.0,39.42,0.0,0.0,0.0,0.0,0.0,15.62,0.0,0.0,0.0,84.38,0.0,0.0,0.0,0.0,0.0,7.79,0.0,0.0,0.0,92.21,1.37,0.0,1.37,0.0,0.0,10.96,0.0,0.0,0.0,86.3,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,49.47,0.0,0.0,0.0,50.53,0.0,0.0,0.0,0.0,0.0,45.65,0.0,0.0,0.0,54.35,0.0,0.0,1.39,0.0,0.0,11.11,0.0,0.0,0.0,87.5,1.06,0.0,1.06,0.0,0.0,14.89,0.0,0.0,0.0,82.98,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,60.0,1.32,0.0,1.32,0.0,0.0,2.63,0.0,0.0,0.0,94.74,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,88.89,1.27,0.0,0.0,0.0,0.0,35.44,0.0,0.0,0.0,63.29,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,80.0,1.33,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,74.67,0.0,0.0,0.0,0.0,0.0,63.27,0.0,0.0,0.0,36.73,0.0,0.0,0.0,0.0,0.0,6.56,0.0,0.0,0.0,93.44,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,95.83,0.0,0.0,0.97,0.0,0.0,62.14,0.0,0.0,0.0,36.89,0.0,0.0,0.0,0.0,0.0,17.86,0.0,0.0,0.0,82.14
6,0.0,0.0,0.0,0.0,0.0,35.21,0.0,0.0,0.0,64.79,0.0,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.0,96.49,0.0,0.0,0.0,0.0,0.0,6.49,0.0,0.0,0.0,93.51,0.0,0.0,0.0,0.0,0.0,6.85,0.0,0.0,0.0,93.15,0.0,0.0,0.0,0.0,0.0,59.41,0.0,0.0,0.0,40.59,4.69,0.0,0.0,0.0,0.0,14.06,0.0,0.0,0.0,81.25,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,94.74,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,97.01,0.0,0.0,0.0,0.0,0.0,6.06,0.0,0.0,0.0,93.94,0.0,0.0,0.0,0.0,0.0,46.74,0.0,0.0,0.0,53.26,0.0,0.0,0.0,0.0,0.0,45.65,0.0,0.0,0.0,54.35,0.0,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,91.43,0.0,0.0,0.0,0.0,0.0,19.79,0.0,0.0,0.0,80.21,0.0,0.0,0.0,0.0,0.0,39.29,0.0,0.0,0.0,60.71,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,88.89,0.0,0.0,0.0,0.0,0.0,9.68,0.0,0.0,0.0,90.32,0.0,0.0,0.0,0.0,0.0,23.88,0.0,0.0,0.0,76.12,1.43,0.0,0.0,0.0,0.0,17.14,0.0,0.0,0.0,81.43,2.9,0.0,0.0,0.0,0.0,15.94,0.0,0.0,0.0,81.16,0.0,0.0,0.0,0.0,0.0,65.05,0.0,0.0,0.0,34.95,0.0,0.0,0.0,0.0,0.0,8.06,0.0,0.0,0.0,91.94,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,98.59,0.0,0.0,0.0,0.0,0.0,64.36,0.0,0.0,0.0,35.64,0.0,0.0,0.0,0.0,0.0,14.81,0.0,0.0,0.0,85.19
7,1.37,0.0,0.0,0.0,0.0,42.47,0.0,0.0,0.0,56.16,0.0,0.0,0.0,0.0,0.0,10.17,0.0,0.0,0.0,89.83,0.0,0.0,0.0,0.0,0.0,23.91,0.0,0.0,0.0,76.09,0.0,0.0,0.0,0.0,0.0,7.04,0.0,0.0,0.0,92.96,0.0,0.0,0.0,0.0,0.0,75.49,0.0,0.0,0.0,24.51,31.33,0.0,0.0,0.0,0.0,42.17,0.0,0.0,0.0,26.51,13.41,0.0,1.22,0.0,0.0,15.85,0.0,0.0,0.0,69.51,3.03,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,87.88,1.49,0.0,0.0,0.0,0.0,17.91,0.0,0.0,0.0,80.6,11.46,0.0,1.04,0.0,0.0,55.21,0.0,0.0,0.0,32.29,0.0,0.0,1.05,0.0,0.0,49.47,0.0,0.0,0.0,49.47,4.35,0.0,0.0,0.0,0.0,13.04,0.0,0.0,0.0,82.61,3.23,0.0,1.08,0.0,0.0,17.2,0.0,0.0,0.0,78.49,0.0,0.0,0.0,0.0,0.0,46.81,0.0,0.0,0.0,53.19,6.67,0.0,1.11,0.0,0.0,22.22,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,85.0,3.53,0.0,3.53,0.0,0.0,42.35,0.0,0.0,0.0,50.59,2.41,0.0,3.61,0.0,0.0,34.94,0.0,0.0,0.0,59.04,6.49,0.0,2.6,0.0,0.0,28.57,0.0,0.0,0.0,62.34,0.96,0.0,1.92,0.0,0.0,72.12,0.0,0.0,0.0,25.0,1.37,0.0,2.74,0.0,0.0,23.29,0.0,0.0,0.0,72.6,0.0,0.0,1.35,0.0,0.0,9.46,0.0,0.0,0.0,89.19,0.98,0.0,1.96,0.0,0.0,70.59,0.0,0.0,0.0,26.47,4.41,0.0,2.94,0.0,0.0,36.76,0.0,0.0,0.0,55.88
8,0.0,0.0,1.3,0.0,0.0,48.05,0.0,0.0,0.0,50.65,0.0,0.0,0.0,0.0,0.0,15.52,0.0,0.0,0.0,84.48,1.1,0.0,1.1,0.0,0.0,25.27,0.0,0.0,0.0,72.53,1.41,0.0,0.0,0.0,0.0,11.27,0.0,0.0,0.0,87.32,0.99,0.0,0.0,0.0,0.0,87.13,0.0,0.0,0.0,11.88,36.08,0.0,2.06,0.0,0.0,52.58,0.0,0.0,0.0,9.28,46.59,0.0,0.0,0.0,0.0,27.27,0.0,0.0,0.0,26.14,20.29,0.0,1.45,0.0,0.0,20.29,0.0,0.0,0.0,57.97,2.38,0.0,3.57,0.0,0.0,34.52,0.0,0.0,0.0,59.52,1.03,0.0,0.0,0.0,0.0,58.76,0.0,0.0,0.0,40.21,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,43.0,4.35,0.0,2.17,0.0,0.0,36.96,0.0,0.0,0.0,56.52,12.36,0.0,2.25,0.0,0.0,14.61,0.0,0.0,0.0,70.79,0.0,0.0,0.0,0.0,0.0,51.06,0.0,0.0,0.0,48.94,1.23,0.0,1.23,0.0,0.0,16.05,0.0,0.0,0.0,81.48,0.0,0.0,1.59,0.0,0.0,20.63,0.0,0.0,0.0,77.78,5.68,0.0,5.68,0.0,0.0,45.45,0.0,0.0,0.0,43.18,5.0,0.0,3.75,0.0,0.0,33.75,0.0,0.0,0.0,57.5,15.12,0.0,5.81,1.16,0.0,38.37,0.0,0.0,0.0,39.53,0.95,0.0,1.9,0.0,0.0,76.19,0.0,0.0,0.0,20.95,3.49,0.0,4.65,0.0,0.0,38.37,0.0,0.0,0.0,53.49,4.88,0.0,2.44,0.0,0.0,19.51,0.0,0.0,0.0,73.17,0.0,0.0,1.02,0.0,0.0,74.49,0.0,0.0,0.0,24.49,2.67,0.0,5.33,0.0,0.0,45.33,0.0,0.0,0.0,46.67
9,1.33,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,54.67,0.0,0.0,0.0,0.0,0.0,12.07,0.0,0.0,0.0,87.93,1.19,0.0,0.0,0.0,0.0,17.86,0.0,0.0,0.0,80.95,0.0,0.0,0.0,0.0,0.0,9.72,0.0,0.0,0.0,90.28,2.91,0.0,3.88,0.0,0.0,69.9,0.0,0.0,0.0,23.3,2.67,0.0,1.33,0.0,0.0,34.67,0.0,0.0,0.0,61.33,2.25,0.0,2.25,0.0,0.0,21.35,0.0,0.0,0.0,74.16,0.0,0.0,1.49,0.0,0.0,7.46,0.0,0.0,0.0,91.04,1.12,0.0,2.25,0.0,0.0,35.96,0.0,0.0,0.0,60.67,0.0,0.0,1.04,0.0,0.0,53.12,0.0,0.0,0.0,45.83,3.06,0.0,1.02,0.0,0.0,58.16,0.0,0.0,0.0,37.76,16.67,0.0,3.33,0.0,0.0,34.44,0.0,0.0,0.0,45.56,6.32,0.0,3.16,0.0,0.0,21.05,0.0,0.0,0.0,69.47,0.0,0.0,0.0,0.0,0.0,48.94,0.0,0.0,0.0,51.06,7.87,0.0,1.12,0.0,0.0,22.47,0.0,0.0,0.0,68.54,0.0,0.0,0.0,0.0,0.0,20.31,0.0,0.0,0.0,79.69,2.47,0.0,1.23,0.0,0.0,39.51,0.0,0.0,0.0,56.79,1.27,0.0,2.53,0.0,0.0,32.91,0.0,0.0,0.0,63.29,3.8,0.0,1.27,0.0,0.0,31.65,0.0,0.0,0.0,63.29,0.0,0.0,0.98,0.0,0.0,71.57,0.0,0.0,0.0,27.45,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0,0.0,80.3,1.27,0.0,2.53,0.0,0.0,13.92,0.0,0.0,0.0,82.28,0.96,0.0,1.92,0.0,0.0,70.19,0.0,0.0,0.0,26.92,2.99,0.0,2.99,0.0,0.0,35.82,0.0,0.0,0.0,58.21
