Time,Port,Metric,Value
2026-05-11 15:36:22.000,0,ierrors,0
2026-05-11 15:36:22.000,0,ibytes,538
2026-05-11 15:36:22.000,0,oerrors,0
2026-05-11 15:36:22.000,0,imissed,0
2026-05-11 15:36:22.000,0,opackets,0
2026-05-11 15:36:22.000,0,rx_nombuf,0
2026-05-11 15:36:22.000,0,ipackets,2
2026-05-11 15:36:22.000,0,obytes,0
2026-05-11 15:36:22.000,n,Value,1
2026-05-11 15:36:23.000,0,ierrors,0
2026-05-11 15:36:23.000,0,ibytes,538
2026-05-11 15:36:23.000,0,oerrors,56
2026-05-11 15:36:23.000,0,imissed,0
2026-05-11 15:36:23.000,0,opackets,20560224
2026-05-11 15:36:23.000,0,rx_nombuf,0
2026-05-11 15:36:23.000,0,ipackets,2
2026-05-11 15:36:23.000,0,obytes,1233611136
2026-05-11 15:36:23.000,n,Value,1
2026-05-11 15:36:24.000,0,ierrors,0
2026-05-11 15:36:24.000,0,ibytes,538
2026-05-11 15:36:24.000,0,oerrors,156
2026-05-11 15:36:24.000,0,imissed,0
2026-05-11 15:36:24.000,0,opackets,57763548
2026-05-11 15:36:24.000,0,rx_nombuf,0
2026-05-11 15:36:24.000,0,ipackets,2
2026-05-11 15:36:24.000,0,obytes,3465810704
2026-05-11 15:36:24.000,n,Value,1
2026-05-11 15:36:25.000,0,ierrors,0
2026-05-11 15:36:25.000,0,ibytes,538
2026-05-11 15:36:25.000,0,oerrors,256
2026-05-11 15:36:25.000,0,imissed,0
2026-05-11 15:36:25.000,0,opackets,94966715
2026-05-11 15:36:25.000,0,rx_nombuf,0
2026-05-11 15:36:25.000,0,ipackets,2
2026-05-11 15:36:25.000,0,obytes,5698000788
2026-05-11 15:36:25.000,n,Value,1
2026-05-11 15:36:26.000,0,ierrors,0
2026-05-11 15:36:26.000,0,ibytes,538
2026-05-11 15:36:26.000,0,oerrors,356
2026-05-11 15:36:26.000,0,imissed,0
2026-05-11 15:36:26.000,0,opackets,132169918
2026-05-11 15:36:26.000,0,rx_nombuf,0
2026-05-11 15:36:26.000,0,ipackets,2
2026-05-11 15:36:26.000,0,obytes,7930192648
2026-05-11 15:36:26.000,n,Value,1
2026-05-11 15:36:27.000,0,ierrors,0
2026-05-11 15:36:27.000,0,ibytes,538
2026-05-11 15:36:27.000,0,oerrors,456
2026-05-11 15:36:27.000,0,imissed,0
2026-05-11 15:36:27.000,0,opackets,169373063
2026-05-11 15:36:27.000,0,rx_nombuf,0
2026-05-11 15:36:27.000,0,ipackets,2
2026-05-11 15:36:27.000,0,obytes,10162381604
2026-05-11 15:36:27.000,n,Value,1
2026-05-11 15:36:28.000,0,ierrors,0
2026-05-11 15:36:28.000,0,ibytes,538
2026-05-11 15:36:28.000,0,oerrors,556
2026-05-11 15:36:28.000,0,imissed,0
2026-05-11 15:36:28.000,0,opackets,206576224
2026-05-11 15:36:28.000,0,rx_nombuf,0
2026-05-11 15:36:28.000,0,ipackets,2
2026-05-11 15:36:28.000,0,obytes,12394571264
2026-05-11 15:36:28.000,n,Value,1
2026-05-11 15:36:29.000,0,ierrors,0
2026-05-11 15:36:29.000,0,ibytes,538
2026-05-11 15:36:29.000,0,oerrors,656
2026-05-11 15:36:29.000,0,imissed,0
2026-05-11 15:36:29.000,0,opackets,243779393
2026-05-11 15:36:29.000,0,rx_nombuf,0
2026-05-11 15:36:29.000,0,ipackets,2
2026-05-11 15:36:29.000,0,obytes,14626761340
2026-05-11 15:36:29.000,n,Value,1
2026-05-11 15:36:30.000,0,ierrors,0
2026-05-11 15:36:30.000,0,ibytes,538
2026-05-11 15:36:30.000,0,oerrors,756
2026-05-11 15:36:30.000,0,imissed,0
2026-05-11 15:36:30.000,0,opackets,280982567
2026-05-11 15:36:30.000,0,rx_nombuf,0
2026-05-11 15:36:30.000,0,ipackets,2
2026-05-11 15:36:30.000,0,obytes,16858951908
2026-05-11 15:36:30.000,n,Value,1
2026-05-11 15:36:31.000,0,ierrors,0
2026-05-11 15:36:31.000,0,ibytes,538
2026-05-11 15:36:31.000,0,oerrors,856
2026-05-11 15:36:31.000,0,imissed,0
2026-05-11 15:36:31.000,0,opackets,318185746
2026-05-11 15:36:31.000,0,rx_nombuf,0
2026-05-11 15:36:31.000,0,ipackets,2
2026-05-11 15:36:31.000,0,obytes,19091142584
2026-05-11 15:36:31.000,n,Value,1
2026-05-11 15:36:32.000,0,ierrors,0
2026-05-11 15:36:32.000,0,ibytes,538
2026-05-11 15:36:32.000,0,oerrors,956
2026-05-11 15:36:32.000,0,imissed,0
