experiment,n_ports,direction,rep,tx_pps,rx_pps,drop_pct
XDP_1024-1024_Port_No_Block_15_41_rep1,1,15_41,1,37203299,14212480,61.8
XDP_1024-1024_Port_No_Block_15_41_rep2,1,15_41,2,37203354,14197355,61.84
XDP_1024-1024_Port_No_Block_15_41_rep3,1,15_41,3,37203361,14099840,62.1
XDP_1024-1024_Port_No_Block_15_rep1,1,15,1,37203331,14227847,61.76
XDP_1024-1024_Port_No_Block_15_rep2,1,15,2,37203337,14186525,61.87
XDP_1024-1024_Port_No_Block_15_rep3,1,15,3,37203345,14364096,61.39
XDP_1024-1024_Port_No_Block_41_rep1,1,41,1,37203182,0,100.0
XDP_1024-1024_Port_No_Block_41_rep2,1,41,2,37203182,0,100.0
XDP_1024-1024_Port_No_Block_41_rep3,1,41,3,37203194,0,100.0
XDP_1024-1025_Port_No_Block_15_41_rep1,2,15_41,1,37203320,16007022,56.97
XDP_1024-1025_Port_No_Block_15_41_rep2,2,15_41,2,37203349,15867215,57.35
XDP_1024-1025_Port_No_Block_15_41_rep3,2,15_41,3,37203365,15640163,57.96
XDP_1024-1025_Port_No_Block_15_rep1,2,15,1,37203361,26106366,29.83
XDP_1024-1025_Port_No_Block_15_rep2,2,15,2,37203368,26331071,29.22
XDP_1024-1025_Port_No_Block_15_rep3,2,15,3,37203379,26795584,27.98
XDP_1024-1025_Port_No_Block_41_rep1,2,41,1,37203199,0,100.0
XDP_1024-1025_Port_No_Block_41_rep2,2,41,2,37203192,0,100.0
XDP_1024-1025_Port_No_Block_41_rep3,2,41,3,37203141,0,100.0
XDP_1024-1026_Port_No_Block_15_41_rep1,3,15_41,1,37203389,15889538,57.29
XDP_1024-1026_Port_No_Block_15_41_rep2,3,15_41,2,37203372,15849586,57.4
XDP_1024-1026_Port_No_Block_15_41_rep3,3,15_41,3,37203211,15872826,57.33
XDP_1024-1026_Port_No_Block_15_rep1,3,15,1,37203392,29723684,20.1
XDP_1024-1026_Port_No_Block_15_rep2,3,15,2,37203393,29929326,19.55
XDP_1024-1026_Port_No_Block_15_rep3,3,15,3,37203389,29568270,20.52
XDP_1024-1026_Port_No_Block_41_rep1,3,41,1,37203179,0,100.0
XDP_1024-1026_Port_No_Block_41_rep2,3,41,2,37203172,0,100.0
XDP_1024-1026_Port_No_Block_41_rep3,3,41,3,37195148,0,100.0
XDP_1024-1027_Port_No_Block_15_41_rep1,4,15_41,1,37203247,15913346,57.23
XDP_1024-1027_Port_No_Block_15_41_rep2,4,15_41,2,37203377,15901204,57.26
XDP_1024-1027_Port_No_Block_15_41_rep3,4,15_41,3,37203386,15841128,57.42
XDP_1024-1027_Port_No_Block_15_rep1,4,15,1,37201769,29824339,19.83
XDP_1024-1027_Port_No_Block_15_rep2,4,15,2,37203383,29784761,19.94
XDP_1024-1027_Port_No_Block_15_rep3,4,15,3,37202784,30091955,19.11
XDP_1024-1027_Port_No_Block_41_rep1,4,41,1,37203171,0,100.0
XDP_1024-1027_Port_No_Block_41_rep2,4,41,2,37203170,0,100.0
XDP_1024-1027_Port_No_Block_41_rep3,4,41,3,37194188,0,100.0
