Time,Port,Metric,Value
2026-05-13 20:16:44.000,0,imissed,0
2026-05-13 20:16:44.000,0,ibytes,538
2026-05-13 20:16:44.000,0,ierrors,0
2026-05-13 20:16:44.000,0,obytes,0
2026-05-13 20:16:44.000,0,oerrors,0
2026-05-13 20:16:44.000,0,opackets,0
2026-05-13 20:16:44.000,0,rx_nombuf,0
2026-05-13 20:16:44.000,0,ipackets,2
2026-05-13 20:16:44.000,n,Value,1
2026-05-13 20:16:45.000,0,imissed,0
2026-05-13 20:16:45.000,0,ibytes,56481706
2026-05-13 20:16:45.000,0,ierrors,0
2026-05-13 20:16:45.000,0,obytes,0
2026-05-13 20:16:45.000,0,oerrors,0
2026-05-13 20:16:45.000,0,opackets,0
2026-05-13 20:16:45.000,0,rx_nombuf,0
2026-05-13 20:16:45.000,0,ipackets,941358
2026-05-13 20:16:45.000,n,Value,1
2026-05-13 20:16:46.000,0,imissed,0
2026-05-13 20:16:46.000,0,ibytes,127542238
2026-05-13 20:16:46.000,0,ierrors,0
2026-05-13 20:16:46.000,0,obytes,0
2026-05-13 20:16:46.000,0,oerrors,0
2026-05-13 20:16:46.000,0,opackets,0
2026-05-13 20:16:46.000,0,rx_nombuf,0
2026-05-13 20:16:46.000,0,ipackets,2125697
2026-05-13 20:16:46.000,n,Value,1
2026-05-13 20:16:47.000,0,imissed,0
2026-05-13 20:16:47.000,0,ibytes,198598614
2026-05-13 20:16:47.000,0,ierrors,0
2026-05-13 20:16:47.000,0,obytes,0
2026-05-13 20:16:47.000,0,oerrors,0
2026-05-13 20:16:47.000,0,opackets,0
2026-05-13 20:16:47.000,0,rx_nombuf,0
2026-05-13 20:16:47.000,0,ipackets,3309971
2026-05-13 20:16:47.000,n,Value,1
2026-05-13 20:16:48.000,0,imissed,0
2026-05-13 20:16:48.000,0,ibytes,269674974
2026-05-13 20:16:48.000,0,ierrors,0
2026-05-13 20:16:48.000,0,obytes,0
2026-05-13 20:16:48.000,0,oerrors,0
2026-05-13 20:16:48.000,0,opackets,0
2026-05-13 20:16:48.000,0,rx_nombuf,0
2026-05-13 20:16:48.000,0,ipackets,4494577
2026-05-13 20:16:48.000,n,Value,1
2026-05-13 20:16:49.000,0,imissed,0
2026-05-13 20:16:49.000,0,ibytes,340725118
2026-05-13 20:16:49.000,0,ierrors,0
2026-05-13 20:16:49.000,0,obytes,0
2026-05-13 20:16:49.000,0,oerrors,0
2026-05-13 20:16:49.000,0,opackets,0
2026-05-13 20:16:49.000,0,rx_nombuf,0
2026-05-13 20:16:49.000,0,ipackets,5678745
2026-05-13 20:16:49.000,n,Value,1
2026-05-13 20:16:50.000,0,imissed,0
2026-05-13 20:16:50.000,0,ibytes,411462534
2026-05-13 20:16:50.000,0,ierrors,0
2026-05-13 20:16:50.000,0,obytes,0
2026-05-13 20:16:50.000,0,oerrors,0
2026-05-13 20:16:50.000,0,opackets,0
2026-05-13 20:16:50.000,0,rx_nombuf,0
2026-05-13 20:16:50.000,0,ipackets,6857703
2026-05-13 20:16:50.000,n,Value,1
2026-05-13 20:16:51.000,0,imissed,0
2026-05-13 20:16:51.000,0,ibytes,482260314
2026-05-13 20:16:51.000,0,ierrors,0
2026-05-13 20:16:51.000,0,obytes,0
2026-05-13 20:16:51.000,0,oerrors,0
2026-05-13 20:16:51.000,0,opackets,0
2026-05-13 20:16:51.000,0,rx_nombuf,0
2026-05-13 20:16:51.000,0,ipackets,8037666
2026-05-13 20:16:51.000,n,Value,1
2026-05-13 20:16:52.000,0,imissed,0
2026-05-13 20:16:52.000,0,ibytes,553186078
2026-05-13 20:16:52.000,0,ierrors,0
2026-05-13 20:16:52.000,0,obytes,0
2026-05-13 20:16:52.000,0,oerrors,0
2026-05-13 20:16:52.000,0,opackets,0
2026-05-13 20:16:52.000,0,rx_nombuf,0
2026-05-13 20:16:52.000,0,ipackets,9219761
2026-05-13 20:16:52.000,n,Value,1
2026-05-13 20:16:53.000,0,imissed,0
2026-05-13 20:16:53.000,0,ibytes,624074570
2026-05-13 20:16:53.000,0,ierrors,0
2026-05-13 20:16:53.000,0,obytes,0
2026-05-13 20:16:53.000,0,oerrors,0
2026-05-13 20:16:53.000,0,opackets,0
2026-05-13 20:16:53.000,0,rx_nombuf,0
2026-05-13 20:16:53.000,0,ipackets,10401238
2026-05-13 20:16:53.000,n,Value,1
2026-05-13 20:16:54.000,0,imissed,0
2026-05-13 20:16:54.000,0,ibytes,695008006
2026-05-13 20:16:54.000,0,ierrors,0
2026-05-13 20:16:54.000,0,obytes,0
2026-05-13 20:16:54.000,0,oerrors,0
2026-05-13 20:16:54.000,0,opackets,0
2026-05-13 20:16:54.000,0,rx_nombuf,0
2026-05-13 20:16:54.000,0,ipackets,11583463
2026-05-13 20:16:54.000,n,Value,1
2026-05-13 20:16:55.000,0,imissed,0
2026-05-13 20:16:55.000,0,ibytes,765848638
2026-05-13 20:16:55.000,0,ierrors,0
2026-05-13 20:16:55.000,0,obytes,0
