Time,Port,Metric,Value
2026-05-13 20:32:08.000,0,obytes,0
2026-05-13 20:32:08.000,0,imissed,0
2026-05-13 20:32:08.000,0,ibytes,538
2026-05-13 20:32:08.000,0,ierrors,0
2026-05-13 20:32:08.000,0,opackets,0
2026-05-13 20:32:08.000,0,oerrors,0
2026-05-13 20:32:08.000,0,rx_nombuf,0
2026-05-13 20:32:08.000,0,ipackets,2
2026-05-13 20:32:08.000,n,Value,1
2026-05-13 20:32:09.000,0,obytes,1662434924
2026-05-13 20:32:09.000,0,imissed,0
2026-05-13 20:32:09.000,0,ibytes,538
2026-05-13 20:32:09.000,0,ierrors,0
2026-05-13 20:32:09.000,0,opackets,27707285
2026-05-13 20:32:09.000,0,oerrors,75
2026-05-13 20:32:09.000,0,rx_nombuf,0
2026-05-13 20:32:09.000,0,ipackets,2
2026-05-13 20:32:09.000,n,Value,1
2026-05-13 20:32:10.000,0,obytes,3894620744
2026-05-13 20:32:10.000,0,imissed,0
2026-05-13 20:32:10.000,0,ibytes,538
2026-05-13 20:32:10.000,0,ierrors,0
2026-05-13 20:32:10.000,0,opackets,64910382
2026-05-13 20:32:10.000,0,oerrors,175
2026-05-13 20:32:10.000,0,rx_nombuf,0
2026-05-13 20:32:10.000,0,ipackets,2
2026-05-13 20:32:10.000,n,Value,1
2026-05-13 20:32:11.000,0,obytes,6126812864
2026-05-13 20:32:11.000,0,imissed,0
2026-05-13 20:32:11.000,0,ibytes,538
2026-05-13 20:32:11.000,0,ierrors,0
2026-05-13 20:32:11.000,0,opackets,102113584
2026-05-13 20:32:11.000,0,oerrors,275
2026-05-13 20:32:11.000,0,rx_nombuf,0
2026-05-13 20:32:11.000,0,ipackets,2
2026-05-13 20:32:11.000,n,Value,1
2026-05-13 20:32:12.000,0,obytes,8359004444
2026-05-13 20:32:12.000,0,imissed,0
2026-05-13 20:32:12.000,0,ibytes,538
2026-05-13 20:32:12.000,0,ierrors,0
2026-05-13 20:32:12.000,0,opackets,139316777
2026-05-13 20:32:12.000,0,oerrors,375
2026-05-13 20:32:12.000,0,rx_nombuf,0
2026-05-13 20:32:12.000,0,ipackets,2
2026-05-13 20:32:12.000,n,Value,1
2026-05-13 20:32:13.000,0,obytes,10591196436
2026-05-13 20:32:13.000,0,imissed,0
2026-05-13 20:32:13.000,0,ibytes,538
2026-05-13 20:32:13.000,0,ierrors,0
2026-05-13 20:32:13.000,0,opackets,176519979
2026-05-13 20:32:13.000,0,oerrors,475
2026-05-13 20:32:13.000,0,rx_nombuf,0
2026-05-13 20:32:13.000,0,ipackets,2
2026-05-13 20:32:13.000,n,Value,1
2026-05-13 20:32:14.000,0,obytes,12823388132
2026-05-13 20:32:14.000,0,imissed,0
2026-05-13 20:32:14.000,0,ibytes,538
2026-05-13 20:32:14.000,0,ierrors,0
2026-05-13 20:32:14.000,0,opackets,213723175
2026-05-13 20:32:14.000,0,oerrors,575
2026-05-13 20:32:14.000,0,rx_nombuf,0
2026-05-13 20:32:14.000,0,ipackets,2
2026-05-13 20:32:14.000,n,Value,1
2026-05-13 20:32:15.000,0,obytes,15055579356
2026-05-13 20:32:15.000,0,imissed,0
2026-05-13 20:32:15.000,0,ibytes,538
2026-05-13 20:32:15.000,0,ierrors,0
2026-05-13 20:32:15.000,0,opackets,250926361
2026-05-13 20:32:15.000,0,oerrors,675
2026-05-13 20:32:15.000,0,rx_nombuf,0
2026-05-13 20:32:15.000,0,ipackets,2
2026-05-13 20:32:15.000,n,Value,1
2026-05-13 20:32:16.000,0,obytes,17287771784
2026-05-13 20:32:16.000,0,imissed,0
2026-05-13 20:32:16.000,0,ibytes,538
2026-05-13 20:32:16.000,0,ierrors,0
2026-05-13 20:32:16.000,0,opackets,288129566
2026-05-13 20:32:16.000,0,oerrors,775
2026-05-13 20:32:16.000,0,rx_nombuf,0
2026-05-13 20:32:16.000,0,ipackets,2
2026-05-13 20:32:16.000,n,Value,1
2026-05-13 20:32:17.000,0,obytes,19519693064
2026-05-13 20:32:17.000,0,imissed,0
2026-05-13 20:32:17.000,0,ibytes,538
2026-05-13 20:32:17.000,0,ierrors,0
2026-05-13 20:32:17.000,0,opackets,325328254
2026-05-13 20:32:17.000,0,oerrors,875
2026-05-13 20:32:17.000,0,rx_nombuf,0
2026-05-13 20:32:17.000,0,ipackets,2
2026-05-13 20:32:17.000,n,Value,1
2026-05-13 20:32:18.000,0,obytes,21751883968
2026-05-13 20:32:18.000,0,imissed,0
2026-05-13 20:32:18.000,0,ibytes,538
2026-05-13 20:32:18.000,0,ierrors,0
2026-05-13 20:32:18.000,0,opackets,362531440
2026-05-13 20:32:18.000,0,oerrors,975
2026-05-13 20:32:18.000,0,rx_nombuf,0
2026-05-13 20:32:18.000,0,ipackets,2
2026-05-13 20:32:18.000,n,Value,1
2026-05-13 20:32:19.000,0,obytes,23983463144
2026-05-13 20:32:19.000,0,imissed,0
2026-05-13 20:32:19.000,0,ibytes,538
2026-05-13 20:32:19.000,0,ierrors,0
2026-05-13 20:32:19.000,0,opackets,399724422
2026-05-13 20:32:19.000,0,oerrors,1075
2026-05-13 20:32:19.000,0,rx_nombuf,0
2026-05-13 20:32:19.000,0,ipackets,2
2026-05-13 20:32:19.000,n,Value,1
2026-05-13 20:32:20.000,0,obytes,26215654664
2026-05-13 20:32:20.000,0,imissed,0
2026-05-13 20:32:20.000,0,ibytes,538
2026-05-13 20:32:20.000,0,ierrors,0
2026-05-13 20:32:20.000,0,opackets,436927614
2026-05-13 20:32:20.000,0,oerrors,1175
2026-05-13 20:32:20.000,0,rx_nombuf,0
