Time,Port,Metric,Value
2026-05-13 23:40:38.000,0,opackets,0
2026-05-13 23:40:38.000,0,imissed,0
2026-05-13 23:40:38.000,0,ipackets,3
2026-05-13 23:40:38.000,0,rx_nombuf,0
2026-05-13 23:40:38.000,0,ibytes,810
2026-05-13 23:40:38.000,0,ierrors,0
2026-05-13 23:40:38.000,0,obytes,0
2026-05-13 23:40:38.000,0,oerrors,0
2026-05-13 23:40:38.000,n,Value,1
2026-05-13 23:40:39.000,0,opackets,31652576
2026-05-13 23:40:39.000,0,imissed,0
2026-05-13 23:40:39.000,0,ipackets,3
2026-05-13 23:40:39.000,0,rx_nombuf,0
2026-05-13 23:40:39.000,0,ibytes,810
2026-05-13 23:40:39.000,0,ierrors,0
2026-05-13 23:40:39.000,0,obytes,1899152320
2026-05-13 23:40:39.000,0,oerrors,86
2026-05-13 23:40:39.000,n,Value,1
2026-05-13 23:40:40.000,0,opackets,68855764
2026-05-13 23:40:40.000,0,imissed,0
2026-05-13 23:40:40.000,0,ipackets,3
2026-05-13 23:40:40.000,0,rx_nombuf,0
2026-05-13 23:40:40.000,0,ibytes,810
2026-05-13 23:40:40.000,0,ierrors,0
2026-05-13 23:40:40.000,0,obytes,4131343600
2026-05-13 23:40:40.000,0,oerrors,186
2026-05-13 23:40:40.000,n,Value,1
2026-05-13 23:40:41.000,0,opackets,106058961
2026-05-13 23:40:41.000,0,imissed,0
2026-05-13 23:40:41.000,0,ipackets,3
2026-05-13 23:40:41.000,0,rx_nombuf,0
2026-05-13 23:40:41.000,0,ibytes,810
2026-05-13 23:40:41.000,0,ierrors,0
2026-05-13 23:40:41.000,0,obytes,6363535484
2026-05-13 23:40:41.000,0,oerrors,286
2026-05-13 23:40:41.000,n,Value,1
2026-05-13 23:40:42.000,0,opackets,143262164
2026-05-13 23:40:42.000,0,imissed,0
2026-05-13 23:40:42.000,0,ipackets,3
2026-05-13 23:40:42.000,0,rx_nombuf,0
2026-05-13 23:40:42.000,0,ibytes,810
2026-05-13 23:40:42.000,0,ierrors,0
2026-05-13 23:40:42.000,0,obytes,8595727600
2026-05-13 23:40:42.000,0,oerrors,386
2026-05-13 23:40:42.000,n,Value,1
2026-05-13 23:40:43.000,0,opackets,180465356
2026-05-13 23:40:43.000,0,imissed,0
2026-05-13 23:40:43.000,0,ipackets,3
2026-05-13 23:40:43.000,0,rx_nombuf,0
2026-05-13 23:40:43.000,0,ibytes,810
2026-05-13 23:40:43.000,0,ierrors,0
2026-05-13 23:40:43.000,0,obytes,10827919120
2026-05-13 23:40:43.000,0,oerrors,485
2026-05-13 23:40:43.000,n,Value,1
2026-05-13 23:40:44.000,0,opackets,217668554
2026-05-13 23:40:44.000,0,imissed,0
2026-05-13 23:40:44.000,0,ipackets,3
2026-05-13 23:40:44.000,0,rx_nombuf,0
2026-05-13 23:40:44.000,0,ibytes,810
2026-05-13 23:40:44.000,0,ierrors,0
2026-05-13 23:40:44.000,0,obytes,13060110936
2026-05-13 23:40:44.000,0,oerrors,585
2026-05-13 23:40:44.000,n,Value,1
2026-05-13 23:40:45.000,0,opackets,254871739
2026-05-13 23:40:45.000,0,imissed,0
2026-05-13 23:40:45.000,0,ipackets,3
2026-05-13 23:40:45.000,0,rx_nombuf,0
2026-05-13 23:40:45.000,0,ibytes,810
2026-05-13 23:40:45.000,0,ierrors,0
2026-05-13 23:40:45.000,0,obytes,15292302228
2026-05-13 23:40:45.000,0,oerrors,685
2026-05-13 23:40:45.000,n,Value,1
2026-05-13 23:40:46.000,0,opackets,292074943
2026-05-13 23:40:46.000,0,imissed,0
2026-05-13 23:40:46.000,0,ipackets,3
2026-05-13 23:40:46.000,0,rx_nombuf,0
2026-05-13 23:40:46.000,0,ibytes,810
2026-05-13 23:40:46.000,0,ierrors,0
2026-05-13 23:40:46.000,0,obytes,17524494340
2026-05-13 23:40:46.000,0,oerrors,785
2026-05-13 23:40:46.000,n,Value,1
2026-05-13 23:40:47.000,0,opackets,329278138
2026-05-13 23:40:47.000,0,imissed,0
2026-05-13 23:40:47.000,0,ipackets,3
2026-05-13 23:40:47.000,0,rx_nombuf,0
2026-05-13 23:40:47.000,0,ibytes,810
2026-05-13 23:40:47.000,0,ierrors,0
2026-05-13 23:40:47.000,0,obytes,19756686104
2026-05-13 23:40:47.000,0,oerrors,885
2026-05-13 23:40:47.000,n,Value,1
2026-05-13 23:40:48.000,0,opackets,366481338
2026-05-13 23:40:48.000,0,imissed,0
2026-05-13 23:40:48.000,0,ipackets,3
2026-05-13 23:40:48.000,0,rx_nombuf,0
2026-05-13 23:40:48.000,0,ibytes,810
2026-05-13 23:40:48.000,0,ierrors,0
2026-05-13 23:40:48.000,0,obytes,21988878040
2026-05-13 23:40:48.000,0,oerrors,985
2026-05-13 23:40:48.000,n,Value,1
2026-05-13 23:40:49.000,0,opackets,403684527
2026-05-13 23:40:49.000,0,imissed,0
2026-05-13 23:40:49.000,0,ipackets,3
2026-05-13 23:40:49.000,0,rx_nombuf,0
2026-05-13 23:40:49.000,0,ibytes,810
2026-05-13 23:40:49.000,0,ierrors,0
2026-05-13 23:40:49.000,0,obytes,24221069316
2026-05-13 23:40:49.000,0,oerrors,1085
2026-05-13 23:40:49.000,n,Value,1
2026-05-13 23:40:50.000,0,opackets,440887720
2026-05-13 23:40:50.000,0,imissed,0
2026-05-13 23:40:50.000,0,ipackets,3
2026-05-13 23:40:50.000,0,rx_nombuf,0
2026-05-13 23:40:50.000,0,ibytes,810
2026-05-13 23:40:50.000,0,ierrors,0
2026-05-13 23:40:50.000,0,obytes,26453261024
2026-05-13 23:40:50.000,0,oerrors,1185
2026-05-13 23:40:50.000,n,Value,1
2026-05-13 23:40:51.000,0,opackets,478090912
2026-05-13 23:40:51.000,0,imissed,0
2026-05-13 23:40:51.000,0,ipackets,3
2026-05-13 23:40:51.000,0,rx_nombuf,0
2026-05-13 23:40:51.000,0,ibytes,810
2026-05-13 23:40:51.000,0,ierrors,0
2026-05-13 23:40:51.000,0,obytes,28685452544
2026-05-13 23:40:51.000,0,oerrors,1285
2026-05-13 23:40:51.000,n,Value,1
2026-05-13 23:40:52.000,0,opackets,515294117
2026-05-13 23:40:52.000,0,imissed,0
2026-05-13 23:40:52.000,0,ipackets,3
2026-05-13 23:40:52.000,0,rx_nombuf,0
2026-05-13 23:40:52.000,0,ibytes,810
2026-05-13 23:40:52.000,0,ierrors,0
2026-05-13 23:40:52.000,0,obytes,30917644844
2026-05-13 23:40:52.000,0,oerrors,1385
2026-05-13 23:40:52.000,n,Value,1
2026-05-13 23:40:53.000,0,opackets,552488958
