Time,Port,Metric,Value
2026-05-13 17:44:34.000,0,ierrors,0
2026-05-13 17:44:34.000,0,obytes,0
2026-05-13 17:44:34.000,0,opackets,0
2026-05-13 17:44:34.000,0,imissed,0
2026-05-13 17:44:34.000,0,ipackets,2
2026-05-13 17:44:34.000,0,rx_nombuf,0
2026-05-13 17:44:34.000,0,oerrors,0
2026-05-13 17:44:34.000,0,ibytes,538
2026-05-13 17:44:34.000,n,Value,1
2026-05-13 17:44:35.000,0,ierrors,0
2026-05-13 17:44:35.000,0,obytes,948096164
2026-05-13 17:44:35.000,0,opackets,15801639
2026-05-13 17:44:35.000,0,imissed,0
2026-05-13 17:44:35.000,0,ipackets,2
2026-05-13 17:44:35.000,0,rx_nombuf,0
2026-05-13 17:44:35.000,0,oerrors,43
2026-05-13 17:44:35.000,0,ibytes,538
2026-05-13 17:44:35.000,n,Value,1
2026-05-13 17:44:36.000,0,ierrors,0
2026-05-13 17:44:36.000,0,obytes,3180288212
2026-05-13 17:44:36.000,0,opackets,53004843
2026-05-13 17:44:36.000,0,imissed,0
2026-05-13 17:44:36.000,0,ipackets,2
2026-05-13 17:44:36.000,0,rx_nombuf,0
2026-05-13 17:44:36.000,0,oerrors,143
2026-05-13 17:44:36.000,0,ibytes,538
2026-05-13 17:44:36.000,n,Value,1
2026-05-13 17:44:37.000,0,ierrors,0
2026-05-13 17:44:37.000,0,obytes,5412481484
2026-05-13 17:44:37.000,0,opackets,90208061
2026-05-13 17:44:37.000,0,imissed,0
2026-05-13 17:44:37.000,0,ipackets,2
2026-05-13 17:44:37.000,0,rx_nombuf,0
2026-05-13 17:44:37.000,0,oerrors,243
2026-05-13 17:44:37.000,0,ibytes,538
2026-05-13 17:44:37.000,n,Value,1
2026-05-13 17:44:38.000,0,ierrors,0
2026-05-13 17:44:38.000,0,obytes,7644674268
2026-05-13 17:44:38.000,0,opackets,127411273
2026-05-13 17:44:38.000,0,imissed,0
2026-05-13 17:44:38.000,0,ipackets,2
2026-05-13 17:44:38.000,0,rx_nombuf,0
2026-05-13 17:44:38.000,0,oerrors,343
2026-05-13 17:44:38.000,0,ibytes,538
2026-05-13 17:44:38.000,n,Value,1
2026-05-13 17:44:39.000,0,ierrors,0
2026-05-13 17:44:39.000,0,obytes,9876866796
