Time,Port,Metric,Value
2026-05-13 19:32:52.000,1,ibytes,810
2026-05-13 19:32:52.000,1,ipackets,3
2026-05-13 19:32:52.000,1,obytes,0
2026-05-13 19:32:52.000,1,opackets,0
2026-05-13 19:32:52.000,1,imissed,0
2026-05-13 19:32:52.000,1,oerrors,0
2026-05-13 19:32:52.000,1,rx_nombuf,0
2026-05-13 19:32:52.000,1,ierrors,0
2026-05-13 19:32:52.000,0,ibytes,814
2026-05-13 19:32:52.000,0,ipackets,3
2026-05-13 19:32:52.000,0,obytes,0
2026-05-13 19:32:52.000,0,opackets,0
2026-05-13 19:32:52.000,0,imissed,0
2026-05-13 19:32:52.000,0,oerrors,0
2026-05-13 19:32:52.000,0,rx_nombuf,0
2026-05-13 19:32:52.000,0,ierrors,0
2026-05-13 19:32:52.000,n,Value,2
2026-05-13 19:32:53.000,1,ibytes,1659032782
2026-05-13 19:32:53.000,1,ipackets,27645854
2026-05-13 19:32:53.000,1,obytes,0
2026-05-13 19:32:53.000,1,opackets,0
2026-05-13 19:32:53.000,1,imissed,4716
2026-05-13 19:32:53.000,1,oerrors,0
2026-05-13 19:32:53.000,1,rx_nombuf,0
2026-05-13 19:32:53.000,1,ierrors,0
2026-05-13 19:32:53.000,0,ibytes,814
2026-05-13 19:32:53.000,0,ipackets,3
2026-05-13 19:32:53.000,0,obytes,0
2026-05-13 19:32:53.000,0,opackets,0
2026-05-13 19:32:53.000,0,imissed,0
2026-05-13 19:32:53.000,0,oerrors,0
2026-05-13 19:32:53.000,0,rx_nombuf,0
2026-05-13 19:32:53.000,0,ierrors,0
2026-05-13 19:32:53.000,n,Value,2
2026-05-13 19:32:54.000,1,ibytes,3537166458
2026-05-13 19:32:54.000,1,ipackets,58945655
2026-05-13 19:32:54.000,1,obytes,0
2026-05-13 19:32:54.000,1,opackets,0
2026-05-13 19:32:54.000,1,imissed,7144
2026-05-13 19:32:54.000,1,oerrors,0
2026-05-13 19:32:54.000,1,rx_nombuf,0
2026-05-13 19:32:54.000,1,ierrors,0
2026-05-13 19:32:54.000,0,ibytes,814
2026-05-13 19:32:54.000,0,ipackets,3
2026-05-13 19:32:54.000,0,obytes,0
2026-05-13 19:32:54.000,0,opackets,0
2026-05-13 19:32:54.000,0,imissed,0
2026-05-13 19:32:54.000,0,oerrors,0
