Time,Port,Metric,Value
2026-05-13 23:02:29.000,0,ibytes,538
2026-05-13 23:02:29.000,0,opackets,0
2026-05-13 23:02:29.000,0,imissed,0
2026-05-13 23:02:29.000,0,ierrors,0
2026-05-13 23:02:29.000,0,oerrors,0
2026-05-13 23:02:29.000,0,obytes,0
2026-05-13 23:02:29.000,0,rx_nombuf,0
2026-05-13 23:02:29.000,0,ipackets,2
2026-05-13 23:02:29.000,n,Value,1
2026-05-13 23:02:30.000,0,ibytes,538
2026-05-13 23:02:30.000,0,opackets,0
2026-05-13 23:02:30.000,0,imissed,0
2026-05-13 23:02:30.000,0,ierrors,0
2026-05-13 23:02:30.000,0,oerrors,0
2026-05-13 23:02:30.000,0,obytes,0
2026-05-13 23:02:30.000,0,rx_nombuf,0
2026-05-13 23:02:30.000,0,ipackets,2
2026-05-13 23:02:30.000,n,Value,1
2026-05-13 23:02:31.000,0,ibytes,538
2026-05-13 23:02:31.000,0,opackets,0
2026-05-13 23:02:31.000,0,imissed,0
2026-05-13 23:02:31.000,0,ierrors,0
2026-05-13 23:02:31.000,0,oerrors,0
2026-05-13 23:02:31.000,0,obytes,0
2026-05-13 23:02:31.000,0,rx_nombuf,0
2026-05-13 23:02:31.000,0,ipackets,2
2026-05-13 23:02:31.000,n,Value,1
2026-05-13 23:02:32.000,0,ibytes,675297462
2026-05-13 23:02:32.000,0,opackets,0
2026-05-13 23:02:32.000,0,imissed,0
2026-05-13 23:02:32.000,0,ierrors,0
2026-05-13 23:02:32.000,0,oerrors,0
2026-05-13 23:02:32.000,0,obytes,0
2026-05-13 23:02:32.000,0,rx_nombuf,0
2026-05-13 23:02:32.000,0,ipackets,11254971
2026-05-13 23:02:32.000,n,Value,1
2026-05-13 23:02:34.000,0,ibytes,1588200622
2026-05-13 23:02:34.000,0,opackets,0
2026-05-13 23:02:34.000,0,imissed,0
2026-05-13 23:02:34.000,0,ierrors,0
2026-05-13 23:02:34.000,0,oerrors,0
2026-05-13 23:02:34.000,0,obytes,0
2026-05-13 23:02:34.000,0,rx_nombuf,0
2026-05-13 23:02:34.000,0,ipackets,26470013
2026-05-13 23:02:34.000,n,Value,1
2026-05-13 23:02:35.000,0,ibytes,2507711814
2026-05-13 23:02:35.000,0,opackets,0
2026-05-13 23:02:35.000,0,imissed,0
2026-05-13 23:02:35.000,0,ierrors,0
2026-05-13 23:02:35.000,0,oerrors,0
2026-05-13 23:02:35.000,0,obytes,0
2026-05-13 23:02:35.000,0,rx_nombuf,0
2026-05-13 23:02:35.000,0,ipackets,41795207
2026-05-13 23:02:35.000,n,Value,1
2026-05-13 23:02:36.000,0,ibytes,3426545806
2026-05-13 23:02:36.000,0,opackets,0
2026-05-13 23:02:36.000,0,imissed,0
2026-05-13 23:02:36.000,0,ierrors,0
2026-05-13 23:02:36.000,0,oerrors,0
2026-05-13 23:02:36.000,0,obytes,0
2026-05-13 23:02:36.000,0,rx_nombuf,0
2026-05-13 23:02:36.000,0,ipackets,57109109
2026-05-13 23:02:36.000,n,Value,1
2026-05-13 23:02:37.000,0,ibytes,4345886754
2026-05-13 23:02:37.000,0,opackets,0
2026-05-13 23:02:37.000,0,imissed,0
2026-05-13 23:02:37.000,0,ierrors,0
2026-05-13 23:02:37.000,0,oerrors,0
2026-05-13 23:02:37.000,0,obytes,0
2026-05-13 23:02:37.000,0,rx_nombuf,0
2026-05-13 23:02:37.000,0,ipackets,72431456
2026-05-13 23:02:37.000,n,Value,1
2026-05-13 23:02:38.000,0,ibytes,5267428010
2026-05-13 23:02:38.000,0,opackets,0
2026-05-13 23:02:38.000,0,imissed,0
2026-05-13 23:02:38.000,0,ierrors,0
2026-05-13 23:02:38.000,0,oerrors,0
2026-05-13 23:02:38.000,0,obytes,0
2026-05-13 23:02:38.000,0,rx_nombuf,0
2026-05-13 23:02:38.000,0,ipackets,87790478
2026-05-13 23:02:38.000,n,Value,1
2026-05-13 23:02:39.000,0,ibytes,6191850774
2026-05-13 23:02:39.000,0,opackets,0
2026-05-13 23:02:39.000,0,imissed,0
2026-05-13 23:02:39.000,0,ierrors,0
2026-05-13 23:02:39.000,0,oerrors,0
2026-05-13 23:02:39.000,0,obytes,0
2026-05-13 23:02:39.000,0,rx_nombuf,0
2026-05-13 23:02:39.000,0,ipackets,103197523
2026-05-13 23:02:39.000,n,Value,1
2026-05-13 23:02:40.000,0,ibytes,7116113690
2026-05-13 23:02:40.000,0,opackets,0
2026-05-13 23:02:40.000,0,imissed,0
2026-05-13 23:02:40.000,0,ierrors,0
2026-05-13 23:02:40.000,0,oerrors,0
2026-05-13 23:02:40.000,0,obytes,0
2026-05-13 23:02:40.000,0,rx_nombuf,0
2026-05-13 23:02:40.000,0,ipackets,118601906
2026-05-13 23:02:40.000,n,Value,1
2026-05-13 23:02:41.000,0,ibytes,8037715790
2026-05-13 23:02:41.000,0,opackets,0
2026-05-13 23:02:41.000,0,imissed,0
2026-05-13 23:02:41.000,0,ierrors,0
2026-05-13 23:02:41.000,0,oerrors,0
2026-05-13 23:02:41.000,0,obytes,0
2026-05-13 23:02:41.000,0,rx_nombuf,0
2026-05-13 23:02:41.000,0,ipackets,133961941
2026-05-13 23:02:41.000,n,Value,1
2026-05-13 23:02:42.000,0,ibytes,8958559842
2026-05-13 23:02:42.000,0,opackets,0
2026-05-13 23:02:42.000,0,imissed,0
2026-05-13 23:02:42.000,0,ierrors,0
2026-05-13 23:02:42.000,0,oerrors,0
2026-05-13 23:02:42.000,0,obytes,0
2026-05-13 23:02:42.000,0,rx_nombuf,0
2026-05-13 23:02:42.000,0,ipackets,149309344
2026-05-13 23:02:42.000,n,Value,1
2026-05-13 23:02:43.000,0,ibytes,9882762170
2026-05-13 23:02:43.000,0,opackets,0
2026-05-13 23:02:43.000,0,imissed,0
2026-05-13 23:02:43.000,0,ierrors,0
2026-05-13 23:02:43.000,0,oerrors,0
2026-05-13 23:02:43.000,0,obytes,0
2026-05-13 23:02:43.000,0,rx_nombuf,0
2026-05-13 23:02:43.000,0,ipackets,164712714
2026-05-13 23:02:43.000,n,Value,1
2026-05-13 23:02:44.000,0,ibytes,10789823278
2026-05-13 23:02:44.000,0,opackets,0
2026-05-13 23:02:44.000,0,imissed,0
2026-05-13 23:02:44.000,0,ierrors,0
2026-05-13 23:02:44.000,0,oerrors,0
2026-05-13 23:02:44.000,0,obytes,0
2026-05-13 23:02:44.000,0,rx_nombuf,0
2026-05-13 23:02:44.000,0,ipackets,179830397
2026-05-13 23:02:44.000,n,Value,1
