Time,Port,Metric,Value
2026-05-07 16:56:08.000,0,imissed,0
2026-05-07 16:56:08.000,0,oerrors,0
2026-05-07 16:56:08.000,0,rx_nombuf,0
2026-05-07 16:56:08.000,0,ipackets,3
2026-05-07 16:56:08.000,0,ibytes,810
2026-05-07 16:56:08.000,0,opackets,0
2026-05-07 16:56:08.000,0,obytes,0
2026-05-07 16:56:08.000,0,ierrors,0
2026-05-07 16:56:08.000,n,Value,1
2026-05-07 16:56:09.000,0,imissed,0
2026-05-07 16:56:09.000,0,oerrors,0
2026-05-07 16:56:09.000,0,rx_nombuf,0
2026-05-07 16:56:09.000,0,ipackets,9002499
2026-05-07 16:56:09.000,0,ibytes,540150570
2026-05-07 16:56:09.000,0,opackets,0
2026-05-07 16:56:09.000,0,obytes,0
2026-05-07 16:56:09.000,0,ierrors,0
2026-05-07 16:56:09.000,n,Value,1
2026-05-07 16:56:10.000,0,imissed,0
2026-05-07 16:56:10.000,0,oerrors,0
2026-05-07 16:56:10.000,0,rx_nombuf,0
2026-05-07 16:56:10.000,0,ipackets,18508899
2026-05-07 16:56:10.000,0,ibytes,1110532330
2026-05-07 16:56:10.000,0,opackets,0
2026-05-07 16:56:10.000,0,obytes,0
2026-05-07 16:56:10.000,0,ierrors,0
2026-05-07 16:56:10.000,n,Value,1
2026-05-07 16:56:11.000,0,imissed,0
2026-05-07 16:56:11.000,0,oerrors,0
2026-05-07 16:56:11.000,0,rx_nombuf,0
2026-05-07 16:56:11.000,0,ipackets,28260735
2026-05-07 16:56:11.000,0,ibytes,1695642490
2026-05-07 16:56:11.000,0,opackets,0
2026-05-07 16:56:11.000,0,obytes,0
2026-05-07 16:56:11.000,0,ierrors,0
2026-05-07 16:56:11.000,n,Value,1
2026-05-07 16:56:12.000,0,imissed,0
2026-05-07 16:56:12.000,0,oerrors,0
2026-05-07 16:56:12.000,0,rx_nombuf,0
2026-05-07 16:56:12.000,0,ipackets,38146563
2026-05-07 16:56:12.000,0,ibytes,2288794410
2026-05-07 16:56:12.000,0,opackets,0
2026-05-07 16:56:12.000,0,obytes,0
2026-05-07 16:56:12.000,0,ierrors,0
2026-05-07 16:56:12.000,n,Value,1
2026-05-07 16:56:13.000,0,imissed,0
2026-05-07 16:56:13.000,0,oerrors,0
2026-05-07 16:56:13.000,0,rx_nombuf,0
2026-05-07 16:56:13.000,0,ipackets,47934467
2026-05-07 16:56:13.000,0,ibytes,2876068650
2026-05-07 16:56:13.000,0,opackets,0
2026-05-07 16:56:13.000,0,obytes,0
2026-05-07 16:56:13.000,0,ierrors,0
2026-05-07 16:56:13.000,n,Value,1
2026-05-07 16:56:14.000,0,imissed,0
2026-05-07 16:56:14.000,0,oerrors,0
2026-05-07 16:56:14.000,0,rx_nombuf,0
2026-05-07 16:56:14.000,0,ipackets,57569795
2026-05-07 16:56:14.000,0,ibytes,3454188330
2026-05-07 16:56:14.000,0,opackets,0
2026-05-07 16:56:14.000,0,obytes,0
2026-05-07 16:56:14.000,0,ierrors,0
2026-05-07 16:56:14.000,n,Value,1
2026-05-07 16:56:15.000,0,imissed,0
2026-05-07 16:56:15.000,0,oerrors,0
2026-05-07 16:56:15.000,0,rx_nombuf,0
2026-05-07 16:56:15.000,0,ipackets,67383850
2026-05-07 16:56:15.000,0,ibytes,4043029582
2026-05-07 16:56:15.000,0,opackets,0
2026-05-07 16:56:15.000,0,obytes,0
2026-05-07 16:56:15.000,0,ierrors,0
2026-05-07 16:56:15.000,n,Value,1
2026-05-07 16:56:16.000,0,imissed,0
2026-05-07 16:56:16.000,0,oerrors,0
2026-05-07 16:56:16.000,0,rx_nombuf,0
2026-05-07 16:56:16.000,0,ipackets,77208161
2026-05-07 16:56:16.000,0,ibytes,4632488050
2026-05-07 16:56:16.000,0,opackets,0
2026-05-07 16:56:16.000,0,obytes,0
2026-05-07 16:56:16.000,0,ierrors,0
2026-05-07 16:56:16.000,n,Value,1
2026-05-07 16:56:17.000,0,imissed,0
2026-05-07 16:56:17.000,0,oerrors,0
2026-05-07 16:56:17.000,0,rx_nombuf,0
2026-05-07 16:56:17.000,0,ipackets,87027203
2026-05-07 16:56:17.000,0,ibytes,5221632810
2026-05-07 16:56:17.000,0,opackets,0
2026-05-07 16:56:17.000,0,obytes,0
2026-05-07 16:56:17.000,0,ierrors,0
2026-05-07 16:56:17.000,n,Value,1
2026-05-07 16:56:18.000,0,imissed,0
2026-05-07 16:56:18.000,0,oerrors,0
2026-05-07 16:56:18.000,0,rx_nombuf,0
2026-05-07 16:56:18.000,0,ipackets,96817240
2026-05-07 16:56:18.000,0,ibytes,5809032854
2026-05-07 16:56:18.000,0,opackets,0
2026-05-07 16:56:18.000,0,obytes,0
2026-05-07 16:56:18.000,0,ierrors,0
2026-05-07 16:56:18.000,n,Value,1
2026-05-07 16:56:19.000,0,imissed,0
2026-05-07 16:56:19.000,0,oerrors,0
2026-05-07 16:56:19.000,0,rx_nombuf,0
2026-05-07 16:56:19.000,0,ipackets,106615510
2026-05-07 16:56:19.000,0,ibytes,6396928990
2026-05-07 16:56:19.000,0,opackets,0
2026-05-07 16:56:19.000,0,obytes,0
2026-05-07 16:56:19.000,0,ierrors,0
2026-05-07 16:56:19.000,n,Value,1
2026-05-07 16:56:20.000,0,imissed,0
2026-05-07 16:56:20.000,0,oerrors,0
2026-05-07 16:56:20.000,0,rx_nombuf,0
2026-05-07 16:56:20.000,0,ipackets,116364976
2026-05-07 16:56:20.000,0,ibytes,6981896950
2026-05-07 16:56:20.000,0,opackets,0
2026-05-07 16:56:20.000,0,obytes,0
2026-05-07 16:56:20.000,0,ierrors,0
2026-05-07 16:56:20.000,n,Value,1
2026-05-07 16:56:21.000,0,imissed,0
2026-05-07 16:56:21.000,0,oerrors,0
2026-05-07 16:56:21.000,0,rx_nombuf,0
2026-05-07 16:56:21.000,0,ipackets,126148867
2026-05-07 16:56:21.000,0,ibytes,7568932650
2026-05-07 16:56:21.000,0,opackets,0
2026-05-07 16:56:21.000,0,obytes,0
2026-05-07 16:56:21.000,0,ierrors,0
2026-05-07 16:56:21.000,n,Value,1
2026-05-07 16:56:22.000,0,imissed,0
2026-05-07 16:56:22.000,0,oerrors,0
2026-05-07 16:56:22.000,0,rx_nombuf,0
2026-05-07 16:56:22.000,0,ipackets,135940355
2026-05-07 16:56:22.000,0,ibytes,8156421930
2026-05-07 16:56:22.000,0,opackets,0
2026-05-07 16:56:22.000,0,obytes,0
2026-05-07 16:56:22.000,0,ierrors,0
2026-05-07 16:56:22.000,n,Value,1
2026-05-07 16:56:23.000,0,imissed,0
2026-05-07 16:56:23.000,0,oerrors,0
2026-05-07 16:56:23.000,0,rx_nombuf,0
2026-05-07 16:56:23.000,0,ipackets,145353987
2026-05-07 16:56:23.000,0,ibytes,8721239850
2026-05-07 16:56:23.000,0,opackets,0
2026-05-07 16:56:23.000,0,obytes,0
2026-05-07 16:56:23.000,0,ierrors,0
2026-05-07 16:56:23.000,n,Value,1
2026-05-07 16:56:24.000,0,imissed,0
2026-05-07 16:56:24.000,0,oerrors,0
2026-05-07 16:56:24.000,0,rx_nombuf,0
2026-05-07 16:56:24.000,0,ipackets,155125251
2026-05-07 16:56:24.000,0,ibytes,9307515690
2026-05-07 16:56:24.000,0,opackets,0
2026-05-07 16:56:24.000,0,obytes,0
2026-05-07 16:56:24.000,0,ierrors,0
2026-05-07 16:56:24.000,n,Value,1
2026-05-07 16:56:25.000,0,imissed,0
2026-05-07 16:56:25.000,0,oerrors,0
2026-05-07 16:56:25.000,0,rx_nombuf,0
2026-05-07 16:56:25.000,0,ipackets,164803209
2026-05-07 16:56:25.000,0,ibytes,9888190994
2026-05-07 16:56:25.000,0,opackets,0
2026-05-07 16:56:25.000,0,obytes,0
2026-05-07 16:56:25.000,0,ierrors,0
2026-05-07 16:56:25.000,n,Value,1
2026-05-07 16:56:26.000,0,imissed,0
2026-05-07 16:56:26.000,0,oerrors,0
2026-05-07 16:56:26.000,0,rx_nombuf,0
2026-05-07 16:56:26.000,0,ipackets,174643715
2026-05-07 16:56:26.000,0,ibytes,10478623530
2026-05-07 16:56:26.000,0,opackets,0
2026-05-07 16:56:26.000,0,obytes,0
2026-05-07 16:56:26.000,0,ierrors,0
2026-05-07 16:56:26.000,n,Value,1
2026-05-07 16:56:27.000,0,imissed,0
2026-05-07 16:56:27.000,0,oerrors,0
2026-05-07 16:56:27.000,0,rx_nombuf,0
2026-05-07 16:56:27.000,0,ipackets,184258819
2026-05-07 16:56:27.000,0,ibytes,11055529770
2026-05-07 16:56:27.000,0,opackets,0
2026-05-07 16:56:27.000,0,obytes,0
2026-05-07 16:56:27.000,0,ierrors,0
2026-05-07 16:56:27.000,n,Value,1
2026-05-07 16:56:28.000,0,imissed,0
2026-05-07 16:56:28.000,0,oerrors,0
2026-05-07 16:56:28.000,0,rx_nombuf,0
2026-05-07 16:56:28.000,0,ipackets,194012931
2026-05-07 16:56:28.000,0,ibytes,11640776490
2026-05-07 16:56:28.000,0,opackets,0
2026-05-07 16:56:28.000,0,obytes,0
2026-05-07 16:56:28.000,0,ierrors,0
2026-05-07 16:56:28.000,n,Value,1
2026-05-07 16:56:29.000,0,imissed,0
2026-05-07 16:56:29.000,0,oerrors,0
2026-05-07 16:56:29.000,0,rx_nombuf,0
2026-05-07 16:56:29.000,0,ipackets,203798787
2026-05-07 16:56:29.000,0,ibytes,12227927850
2026-05-07 16:56:29.000,0,opackets,0
2026-05-07 16:56:29.000,0,obytes,0
2026-05-07 16:56:29.000,0,ierrors,0
2026-05-07 16:56:29.000,n,Value,1
2026-05-07 16:56:30.000,0,imissed,0
2026-05-07 16:56:30.000,0,oerrors,0
2026-05-07 16:56:30.000,0,rx_nombuf,0
2026-05-07 16:56:30.000,0,ipackets,213568908
2026-05-07 16:56:30.000,0,ibytes,12814132806
2026-05-07 16:56:30.000,0,opackets,0
2026-05-07 16:56:30.000,0,obytes,0
2026-05-07 16:56:30.000,0,ierrors,0
2026-05-07 16:56:30.000,n,Value,1
2026-05-07 16:56:31.000,0,imissed,0
2026-05-07 16:56:31.000,0,oerrors,0
2026-05-07 16:56:31.000,0,rx_nombuf,0
2026-05-07 16:56:31.000,0,ipackets,223379203
2026-05-07 16:56:31.000,0,ibytes,13402752810
2026-05-07 16:56:31.000,0,opackets,0
2026-05-07 16:56:31.000,0,obytes,0
2026-05-07 16:56:31.000,0,ierrors,0
2026-05-07 16:56:31.000,n,Value,1
