Time,Port,Metric,Value
2026-05-31 11:15:13.000,1,obytes,0
2026-05-31 11:15:13.000,1,rx_nombuf,0
2026-05-31 11:15:13.000,1,ibytes,1143
2026-05-31 11:15:13.000,1,oerrors,0
2026-05-31 11:15:13.000,1,ipackets,4
2026-05-31 11:15:13.000,1,ierrors,0
2026-05-31 11:15:13.000,1,opackets,0
2026-05-31 11:15:13.000,1,imissed,0
2026-05-31 11:15:13.000,0,obytes,0
2026-05-31 11:15:13.000,0,rx_nombuf,0
2026-05-31 11:15:13.000,0,ibytes,0
2026-05-31 11:15:13.000,0,oerrors,0
2026-05-31 11:15:13.000,0,ipackets,0
2026-05-31 11:15:13.000,0,ierrors,0
2026-05-31 11:15:13.000,0,opackets,0
2026-05-31 11:15:13.000,0,imissed,0
2026-05-31 11:15:13.000,n,Value,2
2026-05-31 11:15:14.000,1,obytes,0
2026-05-31 11:15:14.000,1,rx_nombuf,0
2026-05-31 11:15:14.000,1,ibytes,1645876207
2026-05-31 11:15:14.000,1,oerrors,0
2026-05-31 11:15:14.000,1,ipackets,27431286
2026-05-31 11:15:14.000,1,ierrors,0
2026-05-31 11:15:14.000,1,opackets,0
2026-05-31 11:15:14.000,1,imissed,0
2026-05-31 11:15:14.000,0,obytes,0
2026-05-31 11:15:14.000,0,rx_nombuf,0
2026-05-31 11:15:14.000,0,ibytes,0
2026-05-31 11:15:14.000,0,oerrors,0
2026-05-31 11:15:14.000,0,ipackets,0
2026-05-31 11:15:14.000,0,ierrors,0
2026-05-31 11:15:14.000,0,opackets,0
2026-05-31 11:15:14.000,0,imissed,0
2026-05-31 11:15:14.000,n,Value,2
2026-05-31 11:15:15.000,1,obytes,0
2026-05-31 11:15:15.000,1,rx_nombuf,0
2026-05-31 11:15:15.000,1,ibytes,3603113883
2026-05-31 11:15:15.000,1,oerrors,0
2026-05-31 11:15:15.000,1,ipackets,60051915
2026-05-31 11:15:15.000,1,ierrors,0
2026-05-31 11:15:15.000,1,opackets,0
2026-05-31 11:15:15.000,1,imissed,0
2026-05-31 11:15:15.000,0,obytes,0
2026-05-31 11:15:15.000,0,rx_nombuf,0
2026-05-31 11:15:15.000,0,ibytes,0
2026-05-31 11:15:15.000,0,oerrors,0
2026-05-31 11:15:15.000,0,ipackets,0
2026-05-31 11:15:15.000,0,ierrors,0
2026-05-31 11:15:15.000,0,opackets,0
2026-05-31 11:15:15.000,0,imissed,0
2026-05-31 11:15:15.000,n,Value,2
2026-05-31 11:15:16.000,1,obytes,0
2026-05-31 11:15:16.000,1,rx_nombuf,0
2026-05-31 11:15:16.000,1,ibytes,5565627967
2026-05-31 11:15:16.000,1,oerrors,0
2026-05-31 11:15:16.000,1,ipackets,92760482
2026-05-31 11:15:16.000,1,ierrors,0
2026-05-31 11:15:16.000,1,opackets,0
2026-05-31 11:15:16.000,1,imissed,0
2026-05-31 11:15:16.000,0,obytes,0
2026-05-31 11:15:16.000,0,rx_nombuf,0
2026-05-31 11:15:16.000,0,ibytes,273
2026-05-31 11:15:16.000,0,oerrors,0
2026-05-31 11:15:16.000,0,ipackets,1
2026-05-31 11:15:16.000,0,ierrors,0
2026-05-31 11:15:16.000,0,opackets,0
2026-05-31 11:15:16.000,0,imissed,0
2026-05-31 11:15:16.000,n,Value,2
2026-05-31 11:15:17.000,1,obytes,0
2026-05-31 11:15:17.000,1,rx_nombuf,0
2026-05-31 11:15:17.000,1,ibytes,7518202331
2026-05-31 11:15:17.000,1,oerrors,0
2026-05-31 11:15:17.000,1,ipackets,125303387
2026-05-31 11:15:17.000,1,ierrors,0
2026-05-31 11:15:17.000,1,opackets,0
2026-05-31 11:15:17.000,1,imissed,0
2026-05-31 11:15:17.000,0,obytes,0
2026-05-31 11:15:17.000,0,rx_nombuf,0
2026-05-31 11:15:17.000,0,ibytes,273
2026-05-31 11:15:17.000,0,oerrors,0
2026-05-31 11:15:17.000,0,ipackets,1
2026-05-31 11:15:17.000,0,ierrors,0
2026-05-31 11:15:17.000,0,opackets,0
2026-05-31 11:15:17.000,0,imissed,0
2026-05-31 11:15:17.000,n,Value,2
2026-05-31 11:15:18.000,1,obytes,0
2026-05-31 11:15:18.000,1,rx_nombuf,0
2026-05-31 11:15:18.000,1,ibytes,9477941887
2026-05-31 11:15:18.000,1,oerrors,0
2026-05-31 11:15:18.000,1,ipackets,157965714
2026-05-31 11:15:18.000,1,ierrors,0
2026-05-31 11:15:18.000,1,opackets,0
2026-05-31 11:15:18.000,1,imissed,0
2026-05-31 11:15:18.000,0,obytes,0
2026-05-31 11:15:18.000,0,rx_nombuf,0
2026-05-31 11:15:18.000,0,ibytes,273
2026-05-31 11:15:18.000,0,oerrors,0
2026-05-31 11:15:18.000,0,ipackets,1
2026-05-31 11:15:18.000,0,ierrors,0
2026-05-31 11:15:18.000,0,opackets,0
2026-05-31 11:15:18.000,0,imissed,0
2026-05-31 11:15:18.000,n,Value,2
2026-05-31 11:15:19.000,1,obytes,0
2026-05-31 11:15:19.000,1,rx_nombuf,0
2026-05-31 11:15:19.000,1,ibytes,11445794467
2026-05-31 11:15:19.000,1,oerrors,0
2026-05-31 11:15:19.000,1,ipackets,190763257
2026-05-31 11:15:19.000,1,ierrors,0
2026-05-31 11:15:19.000,1,opackets,0
2026-05-31 11:15:19.000,1,imissed,0
2026-05-31 11:15:19.000,0,obytes,0
2026-05-31 11:15:19.000,0,rx_nombuf,0
2026-05-31 11:15:19.000,0,ibytes,273
2026-05-31 11:15:19.000,0,oerrors,0
2026-05-31 11:15:19.000,0,ipackets,1
2026-05-31 11:15:19.000,0,ierrors,0
2026-05-31 11:15:19.000,0,opackets,0
2026-05-31 11:15:19.000,0,imissed,0
2026-05-31 11:15:19.000,n,Value,2
2026-05-31 11:15:20.000,1,obytes,0
2026-05-31 11:15:20.000,1,rx_nombuf,0
2026-05-31 11:15:20.000,1,ibytes,13412685247
2026-05-31 11:15:20.000,1,oerrors,0
2026-05-31 11:15:20.000,1,ipackets,223544770
2026-05-31 11:15:20.000,1,ierrors,0
2026-05-31 11:15:20.000,1,opackets,0
2026-05-31 11:15:20.000,1,imissed,0
2026-05-31 11:15:20.000,0,obytes,0
2026-05-31 11:15:20.000,0,rx_nombuf,0
2026-05-31 11:15:20.000,0,ibytes,273
2026-05-31 11:15:20.000,0,oerrors,0
2026-05-31 11:15:20.000,0,ipackets,1
2026-05-31 11:15:20.000,0,ierrors,0
2026-05-31 11:15:20.000,0,opackets,0
2026-05-31 11:15:20.000,0,imissed,0
2026-05-31 11:15:20.000,n,Value,2
2026-05-31 11:15:21.000,1,obytes,0
2026-05-31 11:15:21.000,1,rx_nombuf,0
2026-05-31 11:15:21.000,1,ibytes,15380106119
2026-05-31 11:15:21.000,1,oerrors,0
2026-05-31 11:15:21.000,1,ipackets,256335120
2026-05-31 11:15:21.000,1,ierrors,0
2026-05-31 11:15:21.000,1,opackets,0
2026-05-31 11:15:21.000,1,imissed,0
2026-05-31 11:15:21.000,0,obytes,0
2026-05-31 11:15:21.000,0,rx_nombuf,0
2026-05-31 11:15:21.000,0,ibytes,273
2026-05-31 11:15:21.000,0,oerrors,0
2026-05-31 11:15:21.000,0,ipackets,1
2026-05-31 11:15:21.000,0,ierrors,0
2026-05-31 11:15:21.000,0,opackets,0
