Time,Port,Metric,Value
2026-05-31 11:30:48.000,1,imissed,0
2026-05-31 11:30:48.000,1,ierrors,0
2026-05-31 11:30:48.000,1,obytes,0
2026-05-31 11:30:48.000,1,rx_nombuf,0
2026-05-31 11:30:48.000,1,ibytes,1197758916
2026-05-31 11:30:48.000,1,opackets,0
2026-05-31 11:30:48.000,1,oerrors,0
2026-05-31 11:30:48.000,1,ipackets,19962676
2026-05-31 11:30:48.000,0,imissed,0
2026-05-31 11:30:48.000,0,ierrors,0
2026-05-31 11:30:48.000,0,obytes,0
2026-05-31 11:30:48.000,0,rx_nombuf,0
2026-05-31 11:30:48.000,0,ibytes,0
2026-05-31 11:30:48.000,0,opackets,0
2026-05-31 11:30:48.000,0,oerrors,0
2026-05-31 11:30:48.000,0,ipackets,0
2026-05-31 11:30:48.000,n,Value,2
2026-05-31 11:30:49.000,1,imissed,0
2026-05-31 11:30:49.000,1,ierrors,0
2026-05-31 11:30:49.000,1,obytes,0
2026-05-31 11:30:49.000,1,rx_nombuf,0
2026-05-31 11:30:49.000,1,ibytes,3142728940
2026-05-31 11:30:49.000,1,opackets,0
2026-05-31 11:30:49.000,1,oerrors,0
2026-05-31 11:30:49.000,1,ipackets,52378842
2026-05-31 11:30:49.000,0,imissed,0
2026-05-31 11:30:49.000,0,ierrors,0
2026-05-31 11:30:49.000,0,obytes,0
2026-05-31 11:30:49.000,0,rx_nombuf,0
2026-05-31 11:30:49.000,0,ibytes,0
2026-05-31 11:30:49.000,0,opackets,0
2026-05-31 11:30:49.000,0,oerrors,0
2026-05-31 11:30:49.000,0,ipackets,0
2026-05-31 11:30:49.000,n,Value,2
2026-05-31 11:30:50.000,1,imissed,0
2026-05-31 11:30:50.000,1,ierrors,0
2026-05-31 11:30:50.000,1,obytes,0
2026-05-31 11:30:50.000,1,rx_nombuf,0
2026-05-31 11:30:50.000,1,ibytes,5098931016
2026-05-31 11:30:50.000,1,opackets,0
2026-05-31 11:30:50.000,1,oerrors,0
2026-05-31 11:30:50.000,1,ipackets,84982211
2026-05-31 11:30:50.000,0,imissed,0
2026-05-31 11:30:50.000,0,ierrors,0
2026-05-31 11:30:50.000,0,obytes,0
2026-05-31 11:30:50.000,0,rx_nombuf,0
2026-05-31 11:30:50.000,0,ibytes,0
2026-05-31 11:30:50.000,0,opackets,0
2026-05-31 11:30:50.000,0,oerrors,0
2026-05-31 11:30:50.000,0,ipackets,0
2026-05-31 11:30:50.000,n,Value,2
2026-05-31 11:30:51.000,1,imissed,0
2026-05-31 11:30:51.000,1,ierrors,0
2026-05-31 11:30:51.000,1,obytes,0
2026-05-31 11:30:51.000,1,rx_nombuf,0
2026-05-31 11:30:51.000,1,ibytes,6620651034
2026-05-31 11:30:51.000,1,opackets,0
2026-05-31 11:30:51.000,1,oerrors,0
2026-05-31 11:30:51.000,1,ipackets,110344183
2026-05-31 11:30:51.000,0,imissed,0
2026-05-31 11:30:51.000,0,ierrors,0
2026-05-31 11:30:51.000,0,obytes,1003390364
2026-05-31 11:30:51.000,0,rx_nombuf,0
2026-05-31 11:30:51.000,0,ibytes,814
2026-05-31 11:30:51.000,0,opackets,16723209
2026-05-31 11:30:51.000,0,oerrors,0
2026-05-31 11:30:51.000,0,ipackets,3
2026-05-31 11:30:51.000,n,Value,2
2026-05-31 11:30:52.000,1,imissed,0
2026-05-31 11:30:52.000,1,ierrors,0
2026-05-31 11:30:52.000,1,obytes,0
2026-05-31 11:30:52.000,1,rx_nombuf,0
2026-05-31 11:30:52.000,1,ibytes,7603340678
2026-05-31 11:30:52.000,1,opackets,0
2026-05-31 11:30:52.000,1,oerrors,0
2026-05-31 11:30:52.000,1,ipackets,126722348
2026-05-31 11:30:52.000,0,imissed,0
2026-05-31 11:30:52.000,0,ierrors,0
2026-05-31 11:30:52.000,0,obytes,3235593840
2026-05-31 11:30:52.000,0,rx_nombuf,0
2026-05-31 11:30:52.000,0,ibytes,814
2026-05-31 11:30:52.000,0,opackets,53926596
2026-05-31 11:30:52.000,0,oerrors,0
2026-05-31 11:30:52.000,0,ipackets,3
2026-05-31 11:30:52.000,n,Value,2
2026-05-31 11:30:53.000,1,imissed,0
2026-05-31 11:30:53.000,1,ierrors,0
2026-05-31 11:30:53.000,1,obytes,0
2026-05-31 11:30:53.000,1,rx_nombuf,0
2026-05-31 11:30:53.000,1,ibytes,8585489806
2026-05-31 11:30:53.000,1,opackets,0
2026-05-31 11:30:53.000,1,oerrors,0
2026-05-31 11:30:53.000,1,ipackets,143091498
2026-05-31 11:30:53.000,0,imissed,0
2026-05-31 11:30:53.000,0,ierrors,0
2026-05-31 11:30:53.000,0,obytes,5467798440
2026-05-31 11:30:53.000,0,rx_nombuf,0
2026-05-31 11:30:53.000,0,ibytes,814
2026-05-31 11:30:53.000,0,opackets,91130006
2026-05-31 11:30:53.000,0,oerrors,0
2026-05-31 11:30:53.000,0,ipackets,3
2026-05-31 11:30:53.000,n,Value,2
2026-05-31 11:30:54.000,1,imissed,0
2026-05-31 11:30:54.000,1,ierrors,0
2026-05-31 11:30:54.000,1,obytes,0
2026-05-31 11:30:54.000,1,rx_nombuf,0
2026-05-31 11:30:54.000,1,ibytes,9572662150
2026-05-31 11:30:54.000,1,opackets,0
2026-05-31 11:30:54.000,1,oerrors,0
2026-05-31 11:30:54.000,1,ipackets,159544396
2026-05-31 11:30:54.000,0,imissed,0
2026-05-31 11:30:54.000,0,ierrors,0
2026-05-31 11:30:54.000,0,obytes,7700003712
2026-05-31 11:30:54.000,0,rx_nombuf,0
2026-05-31 11:30:54.000,0,ibytes,814
2026-05-31 11:30:54.000,0,opackets,128333440
2026-05-31 11:30:54.000,0,oerrors,0
2026-05-31 11:30:54.000,0,ipackets,3
2026-05-31 11:30:54.000,n,Value,2
2026-05-31 11:30:55.000,1,imissed,0
2026-05-31 11:30:55.000,1,ierrors,0
2026-05-31 11:30:55.000,1,obytes,0
2026-05-31 11:30:55.000,1,rx_nombuf,0
2026-05-31 11:30:55.000,1,ibytes,10560771930
2026-05-31 11:30:55.000,1,opackets,0
2026-05-31 11:30:55.000,1,oerrors,0
2026-05-31 11:30:55.000,1,ipackets,176012871
2026-05-31 11:30:55.000,0,imissed,0
2026-05-31 11:30:55.000,0,ierrors,0
2026-05-31 11:30:55.000,0,obytes,9932206060
2026-05-31 11:30:55.000,0,rx_nombuf,0
2026-05-31 11:30:55.000,0,ibytes,814
2026-05-31 11:30:55.000,0,opackets,165536805
2026-05-31 11:30:55.000,0,oerrors,0
2026-05-31 11:30:55.000,0,ipackets,3
2026-05-31 11:30:55.000,n,Value,2
2026-05-31 11:30:56.000,1,imissed,0
2026-05-31 11:30:56.000,1,ierrors,0
2026-05-31 11:30:56.000,1,obytes,0
2026-05-31 11:30:56.000,1,rx_nombuf,0
2026-05-31 11:30:56.000,1,ibytes,11558541490
2026-05-31 11:30:56.000,1,opackets,0
2026-05-31 11:30:56.000,1,oerrors,0
2026-05-31 11:30:56.000,1,ipackets,192642369
2026-05-31 11:30:56.000,0,imissed,0
2026-05-31 11:30:56.000,0,ierrors,0
2026-05-31 11:30:56.000,0,obytes,12137715716
2026-05-31 11:30:56.000,0,rx_nombuf,0
2026-05-31 11:30:56.000,0,ibytes,814
2026-05-31 11:30:56.000,0,opackets,202295295
2026-05-31 11:30:56.000,0,oerrors,0
2026-05-31 11:30:56.000,0,ipackets,3
2026-05-31 11:30:56.000,n,Value,2
2026-05-31 11:30:57.000,1,imissed,0
2026-05-31 11:30:57.000,1,ierrors,0
2026-05-31 11:30:57.000,1,obytes,0
2026-05-31 11:30:57.000,1,rx_nombuf,0
2026-05-31 11:30:57.000,1,ibytes,12556164094
2026-05-31 11:30:57.000,1,opackets,0
