Linux 6.8.0-111-generic (testbed-node6) 	12/05/26 	_x86_64_	(24 CPU)

16:56:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:56:36     all    0,93    0,00    0,67    0,00    0,00   26,66    0,00    0,00    0,00   71,74
16:56:36       0    0,00    0,00    0,00    0,00    0,00   70,59    0,00    0,00    0,00   29,41
16:56:36       1    2,97    0,00    2,97    0,00    0,00    0,00    0,00    0,00    0,00   94,06
16:56:36       2    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
16:56:36       3    0,00    0,00    0,00    0,00    0,00   68,63    0,00    0,00    0,00   31,37
16:56:36       4    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
16:56:36       5    0,00    0,00    0,00    0,00    0,00   43,06    0,00    0,00    0,00   56,94
16:56:36       6    2,97    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   95,05
16:56:36       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:56:36       8    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
16:56:36       9    7,14    0,00    1,02    0,00    0,00   51,02    0,00    0,00    0,00   40,82
16:56:36      10    0,00    0,00    0,00    0,00    0,00   73,27    0,00    0,00    0,00   26,73
16:56:36      11    0,00    0,00    0,00    0,00    0,00   72,73    0,00    0,00    0,00   27,27
16:56:36      12    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
16:56:36      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:56:36      14    0,00    0,00    0,00    0,00    0,00   79,41    0,00    0,00    0,00   20,59
16:56:36      15    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
16:56:36      16    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
16:56:36      17    2,02    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   94,95
16:56:36      18    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
16:56:36      19    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
16:56:36      20    0,00    0,00    0,00    0,00    0,00   81,55    0,00    0,00    0,00   18,45
16:56:36      21    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:56:36      22    0,99    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   97,03
16:56:36      23    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00

16:56:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:56:37     all    0,68    0,00    0,26    0,00    0,00   30,45    0,00    0,00    0,00   68,61
16:56:37       0    0,00    0,00    0,00    0,00    0,00   62,63    0,00    0,00    0,00   37,37
16:56:37       1    2,04    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,96
16:56:37       2    0,00    0,00    0,00    0,00    0,00   22,45    0,00    0,00    0,00   77,55
16:56:37       3    0,00    0,00    0,00    0,00    0,00   78,22    0,00    0,00    0,00   21,78
16:56:37       4    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
16:56:37       5    0,00    0,00    0,00    0,00    0,00   41,46    0,00    0,00    0,00   58,54
16:56:37       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
