Time,Port,Metric,Value
2026-05-12 16:54:30.000,1,rx_nombuf,0
2026-05-12 16:54:30.000,1,oerrors,0
2026-05-12 16:54:30.000,1,obytes,0
2026-05-12 16:54:30.000,1,imissed,0
2026-05-12 16:54:30.000,1,ibytes,308167924
2026-05-12 16:54:30.000,1,ipackets,5136163
2026-05-12 16:54:30.000,1,opackets,0
2026-05-12 16:54:30.000,1,ierrors,0
2026-05-12 16:54:30.000,0,rx_nombuf,0
2026-05-12 16:54:30.000,0,oerrors,0
2026-05-12 16:54:30.000,0,obytes,0
2026-05-12 16:54:30.000,0,imissed,0
2026-05-12 16:54:30.000,0,ibytes,0
2026-05-12 16:54:30.000,0,ipackets,0
2026-05-12 16:54:30.000,0,opackets,0
2026-05-12 16:54:30.000,0,ierrors,0
2026-05-12 16:54:30.000,n,Value,2
2026-05-12 16:54:31.000,1,rx_nombuf,0
2026-05-12 16:54:31.000,1,oerrors,0
2026-05-12 16:54:31.000,1,obytes,0
2026-05-12 16:54:31.000,1,imissed,0
2026-05-12 16:54:31.000,1,ibytes,2171872273
2026-05-12 16:54:31.000,1,ipackets,36197893
2026-05-12 16:54:31.000,1,opackets,0
2026-05-12 16:54:31.000,1,ierrors,0
2026-05-12 16:54:31.000,0,rx_nombuf,0
2026-05-12 16:54:31.000,0,oerrors,0
2026-05-12 16:54:31.000,0,obytes,0
2026-05-12 16:54:31.000,0,imissed,0
2026-05-12 16:54:31.000,0,ibytes,0
2026-05-12 16:54:31.000,0,ipackets,0
2026-05-12 16:54:31.000,0,opackets,0
2026-05-12 16:54:31.000,0,ierrors,0
2026-05-12 16:54:31.000,n,Value,2
2026-05-12 16:54:32.000,1,rx_nombuf,0
2026-05-12 16:54:32.000,1,oerrors,0
2026-05-12 16:54:32.000,1,obytes,0
2026-05-12 16:54:32.000,1,imissed,48
2026-05-12 16:54:32.000,1,ibytes,4053924171
2026-05-12 16:54:32.000,1,ipackets,67565375
2026-05-12 16:54:32.000,1,opackets,0
2026-05-12 16:54:32.000,1,ierrors,0
2026-05-12 16:54:32.000,0,rx_nombuf,0
2026-05-12 16:54:32.000,0,oerrors,0
2026-05-12 16:54:32.000,0,obytes,0
2026-05-12 16:54:32.000,0,imissed,0
2026-05-12 16:54:32.000,0,ibytes,814
2026-05-12 16:54:32.000,0,ipackets,3
