Linux 6.8.0-111-generic (testbed-node6) 	12/05/26 	_x86_64_	(24 CPU)

16:54:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:54:32     all    0,95    0,04    0,54    0,00    0,00   31,79    0,00    0,00    0,00   66,68
16:54:32       0    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
16:54:32       1    4,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   94,00
16:54:32       2    0,00    0,00    0,00    0,00    0,00    1,01    0,00    0,00    0,00   98,99
16:54:32       3    0,00    0,00    0,00    0,00    0,00   80,58    0,00    0,00    0,00   19,42
16:54:32       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:54:32       5    0,00    0,00    0,00    0,00    0,00   82,86    0,00    0,00    0,00   17,14
16:54:32       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:54:32       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:54:32       8    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
16:54:32       9    0,00    0,00    0,00    0,00    0,00   60,20    0,00    0,00    0,00   39,80
16:54:32      10    0,00    0,00    0,00    0,00    0,00   82,69    0,00    0,00    0,00   17,31
16:54:32      11    0,00    0,00    0,00    0,00    0,00   81,37    0,00    0,00    0,00   18,63
16:54:32      12    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
16:54:32      13    9,09    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   90,91
16:54:32      14    0,00    0,00    0,00    0,00    0,00   80,37    0,00    0,00    0,00   19,63
16:54:32      15    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
16:54:32      16    1,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
16:54:32      17    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
16:54:32      18    1,02    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   96,94
16:54:32      19    0,98    0,98    0,98    0,00    0,00    0,00    0,00    0,00    0,00   97,06
16:54:32      20    0,00    0,00    0,00    0,00    0,00   81,37    0,00    0,00    0,00   18,63
16:54:32      21    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
16:54:32      22    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
16:54:32      23    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00

16:54:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:54:33     all    1,16    0,00    0,41    0,00    0,00   31,56    0,00    0,00    0,00   66,87
16:54:33       0    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
16:54:33       1    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
16:54:33       2    5,05    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   93,94
16:54:33       3    0,00    0,00    0,00    0,00    0,00   83,00    0,00    0,00    0,00   17,00
16:54:33       4    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
16:54:33       5    0,00    0,00    0,00    0,00    0,00   80,77    0,00    0,00    0,00   19,23
16:54:33       6    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
16:54:33       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:54:33       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
16:54:33       9    0,00    0,00    0,00    0,00    0,00   60,78    0,00    0,00    0,00   39,22
16:54:33      10    0,97    0,00    0,00    0,00    0,00   81,55    0,00    0,00    0,00   17,48
16:54:33      11    0,93    0,00    0,93    0,00    0,00   79,44    0,00    0,00    0,00   18,69
16:54:33      12    3,96    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,04
16:54:33      13    5,94    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   92,08
16:54:33      14    0,00    0,00    0,00    0,00    0,00   79,81    0,00    0,00    0,00   20,19
16:54:33      15    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
16:54:33      16    4,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
16:54:33      17    0,99    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,01
16:54:33      18    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
