time_s,cpu0_%usr,cpu0_%nice,cpu0_%sys,cpu0_%iowait,cpu0_%irq,cpu0_%soft,cpu0_%steal,cpu0_%guest,cpu0_%gnice,cpu0_%idle,cpu1_%usr,cpu1_%nice,cpu1_%sys,cpu1_%iowait,cpu1_%irq,cpu1_%soft,cpu1_%steal,cpu1_%guest,cpu1_%gnice,cpu1_%idle,cpu2_%usr,cpu2_%nice,cpu2_%sys,cpu2_%iowait,cpu2_%irq,cpu2_%soft,cpu2_%steal,cpu2_%guest,cpu2_%gnice,cpu2_%idle,cpu3_%usr,cpu3_%nice,cpu3_%sys,cpu3_%iowait,cpu3_%irq,cpu3_%soft,cpu3_%steal,cpu3_%guest,cpu3_%gnice,cpu3_%idle,cpu4_%usr,cpu4_%nice,cpu4_%sys,cpu4_%iowait,cpu4_%irq,cpu4_%soft,cpu4_%steal,cpu4_%guest,cpu4_%gnice,cpu4_%idle,cpu5_%usr,cpu5_%nice,cpu5_%sys,cpu5_%iowait,cpu5_%irq,cpu5_%soft,cpu5_%steal,cpu5_%guest,cpu5_%gnice,cpu5_%idle,cpu6_%usr,cpu6_%nice,cpu6_%sys,cpu6_%iowait,cpu6_%irq,cpu6_%soft,cpu6_%steal,cpu6_%guest,cpu6_%gnice,cpu6_%idle,cpu7_%usr,cpu7_%nice,cpu7_%sys,cpu7_%iowait,cpu7_%irq,cpu7_%soft,cpu7_%steal,cpu7_%guest,cpu7_%gnice,cpu7_%idle,cpu8_%usr,cpu8_%nice,cpu8_%sys,cpu8_%iowait,cpu8_%irq,cpu8_%soft,cpu8_%steal,cpu8_%guest,cpu8_%gnice,cpu8_%idle,cpu9_%usr,cpu9_%nice,cpu9_%sys,cpu9_%iowait,cpu9_%irq,cpu9_%soft,cpu9_%steal,cpu9_%guest,cpu9_%gnice,cpu9_%idle,cpu10_%usr,cpu10_%nice,cpu10_%sys,cpu10_%iowait,cpu10_%irq,cpu10_%soft,cpu10_%steal,cpu10_%guest,cpu10_%gnice,cpu10_%idle,cpu11_%usr,cpu11_%nice,cpu11_%sys,cpu11_%iowait,cpu11_%irq,cpu11_%soft,cpu11_%steal,cpu11_%guest,cpu11_%gnice,cpu11_%idle,cpu12_%usr,cpu12_%nice,cpu12_%sys,cpu12_%iowait,cpu12_%irq,cpu12_%soft,cpu12_%steal,cpu12_%guest,cpu12_%gnice,cpu12_%idle,cpu13_%usr,cpu13_%nice,cpu13_%sys,cpu13_%iowait,cpu13_%irq,cpu13_%soft,cpu13_%steal,cpu13_%guest,cpu13_%gnice,cpu13_%idle,cpu14_%usr,cpu14_%nice,cpu14_%sys,cpu14_%iowait,cpu14_%irq,cpu14_%soft,cpu14_%steal,cpu14_%guest,cpu14_%gnice,cpu14_%idle,cpu15_%usr,cpu15_%nice,cpu15_%sys,cpu15_%iowait,cpu15_%irq,cpu15_%soft,cpu15_%steal,cpu15_%guest,cpu15_%gnice,cpu15_%idle,cpu16_%usr,cpu16_%nice,cpu16_%sys,cpu16_%iowait,cpu16_%irq,cpu16_%soft,cpu16_%steal,cpu16_%guest,cpu16_%gnice,cpu16_%idle,cpu17_%usr,cpu17_%nice,cpu17_%sys,cpu17_%iowait,cpu17_%irq,cpu17_%soft,cpu17_%steal,cpu17_%guest,cpu17_%gnice,cpu17_%idle,cpu18_%usr,cpu18_%nice,cpu18_%sys,cpu18_%iowait,cpu18_%irq,cpu18_%soft,cpu18_%steal,cpu18_%guest,cpu18_%gnice,cpu18_%idle,cpu19_%usr,cpu19_%nice,cpu19_%sys,cpu19_%iowait,cpu19_%irq,cpu19_%soft,cpu19_%steal,cpu19_%guest,cpu19_%gnice,cpu19_%idle,cpu20_%usr,cpu20_%nice,cpu20_%sys,cpu20_%iowait,cpu20_%irq,cpu20_%soft,cpu20_%steal,cpu20_%guest,cpu20_%gnice,cpu20_%idle,cpu21_%usr,cpu21_%nice,cpu21_%sys,cpu21_%iowait,cpu21_%irq,cpu21_%soft,cpu21_%steal,cpu21_%guest,cpu21_%gnice,cpu21_%idle,cpu22_%usr,cpu22_%nice,cpu22_%sys,cpu22_%iowait,cpu22_%irq,cpu22_%soft,cpu22_%steal,cpu22_%guest,cpu22_%gnice,cpu22_%idle,cpu23_%usr,cpu23_%nice,cpu23_%sys,cpu23_%iowait,cpu23_%irq,cpu23_%soft,cpu23_%steal,cpu23_%guest,cpu23_%gnice,cpu23_%idle
0,0.0,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,83.1,0.0,0.0,0.0,0.0,0.0,23.71,0.0,0.0,0.0,76.29,1.22,0.0,1.22,0.0,0.0,7.32,0.0,0.0,0.0,90.24,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,96.2,2.41,0.0,1.2,0.0,0.0,4.82,0.0,0.0,0.0,91.57,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,98.73,1.06,0.0,0.0,0.0,0.0,17.02,0.0,0.0,0.0,81.91,0.0,0.0,1.19,0.0,0.0,7.14,0.0,0.0,0.0,91.67,2.56,0.0,1.28,0.0,0.0,21.79,0.0,0.0,0.0,74.36,11.84,0.0,1.32,0.0,0.0,17.11,0.0,0.0,0.0,69.74,0.0,0.0,1.27,0.0,0.0,22.78,0.0,0.0,0.0,75.95,34.88,0.0,1.16,0.0,0.0,23.26,0.0,0.0,0.0,40.7,1.23,0.0,0.0,0.0,0.0,19.75,0.0,0.0,0.0,79.01,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,91.3,1.39,0.0,0.0,0.0,0.0,9.72,0.0,0.0,0.0,88.89,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,84.62,1.11,0.0,1.11,0.0,0.0,5.56,0.0,0.0,0.0,92.22,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,97.7,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,97.67,0.0,0.0,1.18,0.0,0.0,2.35,0.0,0.0,0.0,96.47,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,98.81,0.0,0.0,1.12,0.0,0.0,1.12,0.0,0.0,0.0,97.75,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,97.7,0.0,0.0,1.15,0.0,0.0,3.45,0.0,0.0,0.0,95.4
1,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,96.83,0.0,0.0,0.0,0.0,0.0,23.23,0.0,0.0,0.0,76.77,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,96.3,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,97.47,1.1,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,84.62,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,98.72,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.81,0.0,0.0,0.0,89.19,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,97.06,1.11,0.0,0.0,0.0,0.0,25.56,0.0,0.0,0.0,73.33,0.0,0.0,0.0,0.0,0.0,6.85,0.0,0.0,0.0,93.15,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,91.67,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,94.2,0.0,0.0,0.0,0.0,0.0,7.04,0.0,0.0,0.0,92.96,0.0,0.0,0.0,0.0,0.0,10.67,0.0,0.0,0.0,89.33,0.0,0.0,0.0,1.12,0.0,3.37,0.0,0.0,0.0,95.51,1.12,0.0,0.0,1.12,0.0,1.12,0.0,0.0,0.0,96.63,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,98.84,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,97.67,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,98.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,98.84,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,98.84
2,2.7,0.0,0.0,0.0,0.0,22.97,0.0,0.0,0.0,74.32,0.0,0.0,1.03,0.0,0.0,24.74,0.0,0.0,0.0,74.23,1.23,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,91.36,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,96.15,3.19,0.0,1.06,0.0,0.0,19.15,0.0,0.0,0.0,76.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.19,0.0,1.19,0.0,0.0,8.33,0.0,0.0,0.0,89.29,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,98.7,11.96,0.0,4.35,0.0,0.0,32.61,0.0,0.0,0.0,51.09,1.32,0.0,1.32,0.0,0.0,23.68,0.0,0.0,0.0,73.68,6.25,0.0,0.0,0.0,0.0,26.25,0.0,0.0,0.0,67.5,27.71,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,46.99,4.94,0.0,2.47,0.0,0.0,24.69,0.0,0.0,0.0,67.9,1.35,0.0,0.0,0.0,0.0,17.57,0.0,0.0,0.0,81.08,2.5,0.0,1.25,0.0,0.0,23.75,0.0,0.0,0.0,72.5,2.3,0.0,2.3,0.0,0.0,27.59,0.0,0.0,0.0,67.82,2.15,0.0,2.15,0.0,0.0,8.6,0.0,0.0,0.0,87.1,2.17,0.0,3.26,0.0,0.0,7.61,0.0,0.0,0.0,86.96,1.11,0.0,1.11,0.0,0.0,5.56,0.0,0.0,0.0,92.22,1.15,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,93.1,1.16,0.0,1.16,0.0,0.0,2.33,0.0,0.0,0.0,95.35,2.25,0.0,3.37,0.0,0.0,3.37,0.0,0.0,0.0,91.01,1.11,0.0,2.22,0.0,0.0,5.56,0.0,0.0,0.0,91.11,1.16,0.0,4.65,0.0,0.0,3.49,0.0,0.0,0.0,90.7
3,0.0,0.0,0.0,0.0,0.0,7.58,0.0,0.0,0.0,92.42,0.0,0.0,0.0,0.0,0.0,21.05,0.0,0.0,0.0,78.95,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,97.47,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,97.47,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,98.73,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,98.73,1.2,0.0,0.0,1.2,0.0,3.61,0.0,0.0,0.0,93.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.67,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,63.33,0.0,0.0,0.0,0.0,0.0,9.86,0.0,0.0,0.0,90.14,1.22,0.0,0.0,0.0,0.0,19.51,0.0,0.0,0.0,79.27,0.0,0.0,0.0,0.0,0.0,10.67,0.0,0.0,0.0,89.33,1.35,0.0,0.0,0.0,0.0,10.81,0.0,0.0,0.0,87.84,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,94.12,0.0,0.0,0.0,0.0,0.0,9.72,0.0,0.0,0.0,90.28,0.0,0.0,0.0,0.0,0.0,13.16,0.0,0.0,0.0,86.84,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,98.85,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,98.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.14,0.0,0.0,3.41,0.0,0.0,0.0,95.45,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,98.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,98.85,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,98.82
4,0.0,0.0,0.0,0.0,0.0,7.46,0.0,0.0,0.0,92.54,0.0,0.0,0.0,0.0,0.0,22.45,0.0,0.0,0.0,77.55,1.22,0.0,0.0,0.0,0.0,4.88,0.0,0.0,0.0,93.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.09,0.0,0.0,14.13,0.0,0.0,0.0,84.78,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,98.72,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,97.5,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,98.75,1.22,0.0,0.0,0.0,0.0,19.51,0.0,0.0,0.0,79.27,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,94.2,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,85.71,0.0,0.0,0.0,0.0,0.0,6.85,0.0,0.0,0.0,93.15,0.0,0.0,0.0,0.0,0.0,15.58,0.0,0.0,0.0,84.42,0.0,0.0,0.0,0.0,0.0,9.72,0.0,0.0,0.0,90.28,1.45,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,95.65,0.0,0.0,0.0,0.0,0.0,10.67,0.0,0.0,0.0,89.33,1.14,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,97.73,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,98.86,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,98.85,0.0,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,97.65,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,98.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,98.85,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,97.7
5,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,95.38,0.0,0.0,0.0,0.0,0.0,22.45,0.0,0.0,0.0,77.55,0.0,0.0,1.06,0.0,0.0,17.02,0.0,0.0,0.0,81.91,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,98.72,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.3,0.0,0.0,12.99,0.0,0.0,0.0,85.71,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,97.06,0.0,0.0,0.0,0.0,0.0,8.22,0.0,0.0,0.0,91.78,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0,95.77,0.0,0.0,1.41,0.0,0.0,5.63,0.0,0.0,0.0,92.96,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,94.2,0.0,0.0,0.0,0.0,0.0,5.63,0.0,0.0,0.0,94.37,0.0,0.0,0.0,0.0,0.0,12.82,0.0,0.0,0.0,87.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,97.73,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,98.85,0.0,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,97.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,98.85,0.0,0.0,1.16,0.0,0.0,1.16,0.0,0.0,0.0,97.67
6,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,98.41,0.0,0.0,0.0,0.0,0.0,22.68,0.0,0.0,0.0,77.32,1.2,0.0,0.0,0.0,0.0,7.23,0.0,0.0,0.0,91.57,0.0,0.0,0.0,0.0,0.0,8.43,0.0,0.0,0.0,91.57,0.0,0.0,0.0,0.0,0.0,4.88,0.0,0.0,0.0,95.12,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,98.7,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,97.5,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,98.72,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,95.65,0.0,0.0,1.32,0.0,0.0,10.53,0.0,0.0,0.0,88.16,0.0,0.0,0.0,0.0,0.0,5.48,0.0,0.0,0.0,94.52,0.0,0.0,0.0,0.0,0.0,9.59,0.0,0.0,0.0,90.41,0.0,0.0,1.45,0.0,0.0,4.35,0.0,0.0,0.0,94.2,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,97.06,1.27,0.0,0.0,0.0,0.0,13.92,0.0,0.0,0.0,84.81,0.0,0.0,0.0,1.15,0.0,1.15,0.0,0.0,0.0,97.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,98.84,1.16,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,96.51,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,97.67,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,98.86,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,98.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
7,1.25,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,76.25,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,9.41,0.0,0.0,0.0,90.59,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,98.7,1.2,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,92.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,97.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.41,0.0,0.0,0.0,0.0,20.48,0.0,0.0,0.0,77.11,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,95.59,0.0,0.0,0.0,0.0,0.0,10.67,0.0,0.0,0.0,89.33,1.22,0.0,0.0,0.0,0.0,17.07,0.0,0.0,0.0,81.71,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,95.59,1.45,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,94.2,0.0,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,94.29,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,84.62,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,98.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,98.82,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,98.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,97.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
8,0.0,0.0,0.0,0.0,0.0,15.28,0.0,0.0,0.0,84.72,0.0,0.0,0.0,0.0,0.0,23.47,0.0,0.0,0.0,76.53,1.15,0.0,0.0,0.0,0.0,11.49,0.0,0.0,0.0,87.36,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,98.72,0.0,0.0,0.0,0.0,0.0,8.24,0.0,0.0,0.0,91.76,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,98.73,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,92.86,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,98.73,2.35,0.0,1.18,0.0,0.0,22.35,0.0,0.0,0.0,74.12,2.86,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,91.43,1.28,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,84.62,0.0,0.0,0.0,0.0,0.0,6.85,0.0,0.0,0.0,93.15,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,95.65,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,94.2,1.27,0.0,1.27,0.0,0.0,15.19,0.0,0.0,0.0,82.28,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,85.71,0.0,0.0,1.14,0.0,0.0,2.27,0.0,0.0,0.0,96.59,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,98.85,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,98.84,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,97.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,98.85,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,98.82
9,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,96.92,0.0,0.0,0.0,0.0,0.0,22.45,0.0,0.0,0.0,77.55,0.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0,95.06,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,98.72,0.0,0.0,0.0,0.0,0.0,8.24,0.0,0.0,0.0,91.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.36,0.0,0.0,0.0,87.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,13.16,0.0,0.0,0.0,86.84,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,95.65,1.14,0.0,1.14,0.0,0.0,22.73,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,94.44,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,91.67,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,95.65,0.0,0.0,0.0,0.0,0.0,7.04,0.0,0.0,0.0,92.96,0.0,0.0,0.0,0.0,0.0,8.22,0.0,0.0,0.0,91.78,1.14,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,97.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,98.86,1.14,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,96.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
