Time,Port,Metric,Value
2026-05-06 02:49:17.000,0,rx_nombuf,0
2026-05-06 02:49:17.000,0,imissed,0
2026-05-06 02:49:17.000,0,opackets,0
2026-05-06 02:49:17.000,0,ipackets,3
2026-05-06 02:49:17.000,0,obytes,0
2026-05-06 02:49:17.000,0,oerrors,0
2026-05-06 02:49:17.000,0,ibytes,810
2026-05-06 02:49:17.000,0,ierrors,0
2026-05-06 02:49:18.000,0,rx_nombuf,0
2026-05-06 02:49:18.000,0,imissed,0
2026-05-06 02:49:18.000,0,opackets,36986738
2026-05-06 02:49:18.000,0,ipackets,3
2026-05-06 02:49:18.000,0,obytes,2219202040
2026-05-06 02:49:18.000,0,oerrors,100
2026-05-06 02:49:18.000,0,ibytes,810
2026-05-06 02:49:18.000,0,ierrors,0
2026-05-06 02:49:19.000,0,rx_nombuf,0
2026-05-06 02:49:19.000,0,imissed,0
2026-05-06 02:49:19.000,0,opackets,74189938
2026-05-06 02:49:19.000,0,ipackets,3
2026-05-06 02:49:19.000,0,obytes,4451394104
2026-05-06 02:49:19.000,0,oerrors,200
2026-05-06 02:49:19.000,0,ibytes,810
2026-05-06 02:49:19.000,0,ierrors,0
2026-05-06 02:49:20.000,0,rx_nombuf,0
2026-05-06 02:49:20.000,0,imissed,0
2026-05-06 02:49:20.000,0,opackets,111391487
2026-05-06 02:49:20.000,0,ipackets,3
2026-05-06 02:49:20.000,0,obytes,6683487108
2026-05-06 02:49:20.000,0,oerrors,300
2026-05-06 02:49:20.000,0,ibytes,810
2026-05-06 02:49:20.000,0,ierrors,0
2026-05-06 02:49:21.000,0,rx_nombuf,0
2026-05-06 02:49:21.000,0,imissed,0
2026-05-06 02:49:21.000,0,opackets,148594731
2026-05-06 02:49:21.000,0,ipackets,3
2026-05-06 02:49:21.000,0,obytes,8915681620
2026-05-06 02:49:21.000,0,oerrors,400
2026-05-06 02:49:21.000,0,ibytes,810
2026-05-06 02:49:21.000,0,ierrors,0
2026-05-06 02:49:22.000,0,rx_nombuf,0
2026-05-06 02:49:22.000,0,imissed,0
2026-05-06 02:49:22.000,0,opackets,185794196
2026-05-06 02:49:22.000,0,ipackets,3
2026-05-06 02:49:22.000,0,obytes,11147649584
