Time,Port,Metric,Value
2026-05-13 19:40:13.000,0,ipackets,3
2026-05-13 19:40:13.000,0,imissed,0
2026-05-13 19:40:13.000,0,opackets,0
2026-05-13 19:40:13.000,0,rx_nombuf,0
2026-05-13 19:40:13.000,0,ibytes,810
2026-05-13 19:40:13.000,0,oerrors,0
2026-05-13 19:40:13.000,0,ierrors,0
2026-05-13 19:40:13.000,0,obytes,0
2026-05-13 19:40:13.000,n,Value,1
2026-05-13 19:40:14.000,0,ipackets,1104531
2026-05-13 19:40:14.000,0,imissed,0
2026-05-13 19:40:14.000,0,opackets,0
2026-05-13 19:40:14.000,0,rx_nombuf,0
2026-05-13 19:40:14.000,0,ibytes,66272490
2026-05-13 19:40:14.000,0,oerrors,0
2026-05-13 19:40:14.000,0,ierrors,0
2026-05-13 19:40:14.000,0,obytes,0
2026-05-13 19:40:14.000,n,Value,1
2026-05-13 19:40:15.000,0,ipackets,3949665
2026-05-13 19:40:15.000,0,imissed,0
2026-05-13 19:40:15.000,0,opackets,0
2026-05-13 19:40:15.000,0,rx_nombuf,0
2026-05-13 19:40:15.000,0,ibytes,236980530
2026-05-13 19:40:15.000,0,oerrors,0
2026-05-13 19:40:15.000,0,ierrors,0
2026-05-13 19:40:15.000,0,obytes,0
2026-05-13 19:40:15.000,n,Value,1
2026-05-13 19:40:16.000,0,ipackets,4963199
2026-05-13 19:40:16.000,0,imissed,0
2026-05-13 19:40:16.000,0,opackets,0
2026-05-13 19:40:16.000,0,rx_nombuf,0
2026-05-13 19:40:16.000,0,ibytes,297792570
2026-05-13 19:40:16.000,0,oerrors,0
2026-05-13 19:40:16.000,0,ierrors,0
2026-05-13 19:40:16.000,0,obytes,0
2026-05-13 19:40:16.000,n,Value,1
2026-05-13 19:40:17.000,0,ipackets,4963199
2026-05-13 19:40:17.000,0,imissed,0
2026-05-13 19:40:17.000,0,opackets,0
2026-05-13 19:40:17.000,0,rx_nombuf,0
2026-05-13 19:40:17.000,0,ibytes,297792570
2026-05-13 19:40:17.000,0,oerrors,0
2026-05-13 19:40:17.000,0,ierrors,0
2026-05-13 19:40:17.000,0,obytes,0
2026-05-13 19:40:17.000,n,Value,1
2026-05-13 19:40:18.000,0,ipackets,4963199
2026-05-13 19:40:18.000,0,imissed,0
2026-05-13 19:40:18.000,0,opackets,0
2026-05-13 19:40:18.000,0,rx_nombuf,0
2026-05-13 19:40:18.000,0,ibytes,297792570
2026-05-13 19:40:18.000,0,oerrors,0
2026-05-13 19:40:18.000,0,ierrors,0
2026-05-13 19:40:18.000,0,obytes,0
2026-05-13 19:40:18.000,n,Value,1
2026-05-13 19:40:19.000,0,ipackets,4963199
2026-05-13 19:40:19.000,0,imissed,0
2026-05-13 19:40:19.000,0,opackets,0
2026-05-13 19:40:19.000,0,rx_nombuf,0
2026-05-13 19:40:19.000,0,ibytes,297792570
2026-05-13 19:40:19.000,0,oerrors,0
2026-05-13 19:40:19.000,0,ierrors,0
2026-05-13 19:40:19.000,0,obytes,0
2026-05-13 19:40:19.000,n,Value,1
2026-05-13 19:40:20.000,0,ipackets,18423640
2026-05-13 19:40:20.000,0,imissed,0
2026-05-13 19:40:20.000,0,opackets,0
2026-05-13 19:40:20.000,0,rx_nombuf,0
2026-05-13 19:40:20.000,0,ibytes,1105419030
2026-05-13 19:40:20.000,0,oerrors,0
2026-05-13 19:40:20.000,0,ierrors,0
2026-05-13 19:40:20.000,0,obytes,0
2026-05-13 19:40:20.000,n,Value,1
2026-05-13 19:40:21.000,0,ipackets,34602708
2026-05-13 19:40:21.000,0,imissed,0
2026-05-13 19:40:21.000,0,opackets,0
2026-05-13 19:40:21.000,0,rx_nombuf,0
