Time,Port,Metric,Value
2026-05-19 14:02:11.000,1,ierrors,0
2026-05-19 14:02:11.000,1,ipackets,1
2026-05-19 14:02:11.000,1,rx_nombuf,0
2026-05-19 14:02:11.000,1,imissed,0
2026-05-19 14:02:11.000,1,ibytes,272
2026-05-19 14:02:11.000,1,obytes,0
2026-05-19 14:02:11.000,1,oerrors,0
2026-05-19 14:02:11.000,1,opackets,0
2026-05-19 14:02:11.000,0,ierrors,0
2026-05-19 14:02:11.000,0,ipackets,0
2026-05-19 14:02:11.000,0,rx_nombuf,0
2026-05-19 14:02:11.000,0,imissed,0
2026-05-19 14:02:11.000,0,ibytes,0
2026-05-19 14:02:11.000,0,obytes,0
2026-05-19 14:02:11.000,0,oerrors,0
2026-05-19 14:02:11.000,0,opackets,0
2026-05-19 14:02:11.000,n,Value,2
2026-05-19 14:02:12.000,1,ierrors,0
2026-05-19 14:02:12.000,1,ipackets,3
2026-05-19 14:02:12.000,1,rx_nombuf,0
2026-05-19 14:02:12.000,1,imissed,0
2026-05-19 14:02:12.000,1,ibytes,810
2026-05-19 14:02:12.000,1,obytes,0
2026-05-19 14:02:12.000,1,oerrors,0
2026-05-19 14:02:12.000,1,opackets,0
2026-05-19 14:02:12.000,0,ierrors,0
2026-05-19 14:02:12.000,0,ipackets,3
2026-05-19 14:02:12.000,0,rx_nombuf,0
2026-05-19 14:02:12.000,0,imissed,0
2026-05-19 14:02:12.000,0,ibytes,814
2026-05-19 14:02:12.000,0,obytes,1012734844
2026-05-19 14:02:12.000,0,oerrors,0
2026-05-19 14:02:12.000,0,opackets,16878945
2026-05-19 14:02:12.000,n,Value,2
2026-05-19 14:02:13.000,1,ierrors,0
2026-05-19 14:02:13.000,1,ipackets,3
2026-05-19 14:02:13.000,1,rx_nombuf,0
2026-05-19 14:02:13.000,1,imissed,0
2026-05-19 14:02:13.000,1,ibytes,810
2026-05-19 14:02:13.000,1,obytes,0
2026-05-19 14:02:13.000,1,oerrors,0
2026-05-19 14:02:13.000,1,opackets,0
2026-05-19 14:02:13.000,0,ierrors,0
2026-05-19 14:02:13.000,0,ipackets,3
2026-05-19 14:02:13.000,0,rx_nombuf,0
2026-05-19 14:02:13.000,0,imissed,0
2026-05-19 14:02:13.000,0,ibytes,814
2026-05-19 14:02:13.000,0,obytes,3244941760
2026-05-19 14:02:13.000,0,oerrors,0
2026-05-19 14:02:13.000,0,opackets,54082400
2026-05-19 14:02:13.000,n,Value,2
2026-05-19 14:02:14.000,1,ierrors,0
2026-05-19 14:02:14.000,1,ipackets,3
2026-05-19 14:02:14.000,1,rx_nombuf,0
2026-05-19 14:02:14.000,1,imissed,0
2026-05-19 14:02:14.000,1,ibytes,810
2026-05-19 14:02:14.000,1,obytes,0
2026-05-19 14:02:14.000,1,oerrors,0
2026-05-19 14:02:14.000,1,opackets,0
2026-05-19 14:02:14.000,0,ierrors,0
2026-05-19 14:02:14.000,0,ipackets,3
2026-05-19 14:02:14.000,0,rx_nombuf,0
2026-05-19 14:02:14.000,0,imissed,0
2026-05-19 14:02:14.000,0,ibytes,814
2026-05-19 14:02:14.000,0,obytes,5474726456
2026-05-19 14:02:14.000,0,oerrors,0
2026-05-19 14:02:14.000,0,opackets,91245474
2026-05-19 14:02:14.000,n,Value,2
2026-05-19 14:02:15.000,1,ierrors,0
2026-05-19 14:02:15.000,1,ipackets,3
2026-05-19 14:02:15.000,1,rx_nombuf,0
2026-05-19 14:02:15.000,1,imissed,0
2026-05-19 14:02:15.000,1,ibytes,810
2026-05-19 14:02:15.000,1,obytes,0
2026-05-19 14:02:15.000,1,oerrors,0
2026-05-19 14:02:15.000,1,opackets,0
2026-05-19 14:02:15.000,0,ierrors,0
2026-05-19 14:02:15.000,0,ipackets,3
2026-05-19 14:02:15.000,0,rx_nombuf,0
2026-05-19 14:02:15.000,0,imissed,0
2026-05-19 14:02:15.000,0,ibytes,814
2026-05-19 14:02:15.000,0,obytes,7703560264
2026-05-19 14:02:15.000,0,oerrors,0
2026-05-19 14:02:15.000,0,opackets,128392702
2026-05-19 14:02:15.000,n,Value,2
2026-05-19 14:02:16.000,1,ierrors,0
2026-05-19 14:02:16.000,1,ipackets,3
2026-05-19 14:02:16.000,1,rx_nombuf,0
2026-05-19 14:02:16.000,1,imissed,0
2026-05-19 14:02:16.000,1,ibytes,810
2026-05-19 14:02:16.000,1,obytes,0
2026-05-19 14:02:16.000,1,oerrors,0
2026-05-19 14:02:16.000,1,opackets,0
2026-05-19 14:02:16.000,0,ierrors,0
2026-05-19 14:02:16.000,0,ipackets,3
2026-05-19 14:02:16.000,0,rx_nombuf,0
2026-05-19 14:02:16.000,0,imissed,0
2026-05-19 14:02:16.000,0,ibytes,814
2026-05-19 14:02:16.000,0,obytes,9929257924
2026-05-19 14:02:16.000,0,oerrors,0
2026-05-19 14:02:16.000,0,opackets,165487663
2026-05-19 14:02:16.000,n,Value,2
2026-05-19 14:02:17.000,1,ierrors,0
2026-05-19 14:02:17.000,1,ipackets,3
2026-05-19 14:02:17.000,1,rx_nombuf,0
2026-05-19 14:02:17.000,1,imissed,0
2026-05-19 14:02:17.000,1,ibytes,810
2026-05-19 14:02:17.000,1,obytes,0
2026-05-19 14:02:17.000,1,oerrors,0
2026-05-19 14:02:17.000,1,opackets,0
2026-05-19 14:02:17.000,0,ierrors,0
2026-05-19 14:02:17.000,0,ipackets,3
2026-05-19 14:02:17.000,0,rx_nombuf,0
2026-05-19 14:02:17.000,0,imissed,0
2026-05-19 14:02:17.000,0,ibytes,814
2026-05-19 14:02:17.000,0,obytes,12154367936
2026-05-19 14:02:17.000,0,oerrors,0
2026-05-19 14:02:17.000,0,opackets,202572832
2026-05-19 14:02:17.000,n,Value,2
2026-05-19 14:02:18.000,1,ierrors,0
2026-05-19 14:02:18.000,1,ipackets,3
2026-05-19 14:02:18.000,1,rx_nombuf,0
2026-05-19 14:02:18.000,1,imissed,0
2026-05-19 14:02:18.000,1,ibytes,810
2026-05-19 14:02:18.000,1,obytes,0
2026-05-19 14:02:18.000,1,oerrors,0
2026-05-19 14:02:18.000,1,opackets,0
2026-05-19 14:02:18.000,0,ierrors,0
2026-05-19 14:02:18.000,0,ipackets,3
2026-05-19 14:02:18.000,0,rx_nombuf,0
2026-05-19 14:02:18.000,0,imissed,0
2026-05-19 14:02:18.000,0,ibytes,814
2026-05-19 14:02:18.000,0,obytes,14377265644
2026-05-19 14:02:18.000,0,oerrors,0
2026-05-19 14:02:18.000,0,opackets,239621125
2026-05-19 14:02:18.000,n,Value,2
2026-05-19 14:02:19.000,1,ierrors,0
2026-05-19 14:02:19.000,1,ipackets,3
2026-05-19 14:02:19.000,1,rx_nombuf,0
2026-05-19 14:02:19.000,1,imissed,0
2026-05-19 14:02:19.000,1,ibytes,810
2026-05-19 14:02:19.000,1,obytes,0
2026-05-19 14:02:19.000,1,oerrors,0
2026-05-19 14:02:19.000,1,opackets,0
2026-05-19 14:02:19.000,0,ierrors,0
2026-05-19 14:02:19.000,0,ipackets,3
2026-05-19 14:02:19.000,0,rx_nombuf,0
2026-05-19 14:02:19.000,0,imissed,0
2026-05-19 14:02:19.000,0,ibytes,814
2026-05-19 14:02:19.000,0,obytes,16605305704
2026-05-19 14:02:19.000,0,oerrors,0
2026-05-19 14:02:19.000,0,opackets,276755126
2026-05-19 14:02:19.000,n,Value,2
2026-05-19 14:02:20.000,1,ierrors,0
2026-05-19 14:02:20.000,1,ipackets,3
2026-05-19 14:02:20.000,1,rx_nombuf,0
2026-05-19 14:02:20.000,1,imissed,0
2026-05-19 14:02:20.000,1,ibytes,810
2026-05-19 14:02:20.000,1,obytes,0
2026-05-19 14:02:20.000,1,oerrors,0
2026-05-19 14:02:20.000,1,opackets,0
2026-05-19 14:02:20.000,0,ierrors,0
2026-05-19 14:02:20.000,0,ipackets,3
2026-05-19 14:02:20.000,0,rx_nombuf,0
2026-05-19 14:02:20.000,0,imissed,0
2026-05-19 14:02:20.000,0,ibytes,814
2026-05-19 14:02:20.000,0,obytes,18837510544
2026-05-19 14:02:20.000,0,oerrors,0
2026-05-19 14:02:20.000,0,opackets,313958540
2026-05-19 14:02:20.000,n,Value,2
2026-05-19 14:02:21.000,1,ierrors,0
2026-05-19 14:02:21.000,1,ipackets,3
2026-05-19 14:02:21.000,1,rx_nombuf,0
2026-05-19 14:02:21.000,1,imissed,0
2026-05-19 14:02:21.000,1,ibytes,810
2026-05-19 14:02:21.000,1,obytes,0
2026-05-19 14:02:21.000,1,oerrors,0
2026-05-19 14:02:21.000,1,opackets,0
2026-05-19 14:02:21.000,0,ierrors,0
2026-05-19 14:02:21.000,0,ipackets,3
2026-05-19 14:02:21.000,0,rx_nombuf,0
2026-05-19 14:02:21.000,0,imissed,0
2026-05-19 14:02:21.000,0,ibytes,814
2026-05-19 14:02:21.000,0,obytes,21069716044
2026-05-19 14:02:21.000,0,oerrors,0
2026-05-19 14:02:21.000,0,opackets,351161965
2026-05-19 14:02:21.000,n,Value,2
2026-05-19 14:02:22.000,1,ierrors,0
2026-05-19 14:02:22.000,1,ipackets,3
2026-05-19 14:02:22.000,1,rx_nombuf,0
2026-05-19 14:02:22.000,1,imissed,0
2026-05-19 14:02:22.000,1,ibytes,810
2026-05-19 14:02:22.000,1,obytes,0
2026-05-19 14:02:22.000,1,oerrors,0
2026-05-19 14:02:22.000,1,opackets,0
2026-05-19 14:02:22.000,0,ierrors,0
2026-05-19 14:02:22.000,0,ipackets,3
2026-05-19 14:02:22.000,0,rx_nombuf,0
2026-05-19 14:02:22.000,0,imissed,0
2026-05-19 14:02:22.000,0,ibytes,814
2026-05-19 14:02:22.000,0,obytes,23301922720
2026-05-19 14:02:22.000,0,oerrors,0
2026-05-19 14:02:22.000,0,opackets,388365416
2026-05-19 14:02:22.000,n,Value,2
2026-05-19 14:02:23.000,1,ierrors,0
2026-05-19 14:02:23.000,1,ipackets,3
2026-05-19 14:02:23.000,1,rx_nombuf,0
2026-05-19 14:02:23.000,1,imissed,0
2026-05-19 14:02:23.000,1,ibytes,810
2026-05-19 14:02:23.000,1,obytes,0
2026-05-19 14:02:23.000,1,oerrors,0
2026-05-19 14:02:23.000,1,opackets,0
2026-05-19 14:02:23.000,0,ierrors,0
2026-05-19 14:02:23.000,0,ipackets,3
2026-05-19 14:02:23.000,0,rx_nombuf,0
2026-05-19 14:02:23.000,0,imissed,0
2026-05-19 14:02:23.000,0,ibytes,814
2026-05-19 14:02:23.000,0,obytes,25532329192
2026-05-19 14:02:23.000,0,oerrors,0
2026-05-19 14:02:23.000,0,opackets,425538854
2026-05-19 14:02:23.000,n,Value,2
2026-05-19 14:02:24.000,1,ierrors,0
2026-05-19 14:02:24.000,1,ipackets,3
2026-05-19 14:02:24.000,1,rx_nombuf,0
2026-05-19 14:02:24.000,1,imissed,0
2026-05-19 14:02:24.000,1,ibytes,810
2026-05-19 14:02:24.000,1,obytes,0
2026-05-19 14:02:24.000,1,oerrors,0
2026-05-19 14:02:24.000,1,opackets,0
2026-05-19 14:02:24.000,0,ierrors,0
2026-05-19 14:02:24.000,0,ipackets,3
2026-05-19 14:02:24.000,0,rx_nombuf,0
2026-05-19 14:02:24.000,0,imissed,0
2026-05-19 14:02:24.000,0,ibytes,814
2026-05-19 14:02:24.000,0,obytes,27755075888
2026-05-19 14:02:24.000,0,oerrors,0
2026-05-19 14:02:24.000,0,opackets,462584628
2026-05-19 14:02:24.000,n,Value,2
2026-05-19 14:02:25.000,1,ierrors,0
2026-05-19 14:02:25.000,1,ipackets,3
2026-05-19 14:02:25.000,1,rx_nombuf,0
2026-05-19 14:02:25.000,1,imissed,0
