Time,Port,Metric,Value
2026-05-19 14:22:23.000,0,oerrors,0
2026-05-19 14:22:23.000,0,imissed,0
2026-05-19 14:22:23.000,0,ipackets,3
2026-05-19 14:22:23.000,0,obytes,0
2026-05-19 14:22:23.000,0,opackets,0
2026-05-19 14:22:23.000,0,ibytes,810
2026-05-19 14:22:23.000,0,ierrors,0
2026-05-19 14:22:23.000,0,rx_nombuf,0
2026-05-19 14:22:23.000,n,Value,1
2026-05-19 14:22:24.000,0,oerrors,72
2026-05-19 14:22:24.000,0,imissed,0
2026-05-19 14:22:24.000,0,ipackets,4
2026-05-19 14:22:24.000,0,obytes,1603142944
2026-05-19 14:22:24.000,0,opackets,26719080
2026-05-19 14:22:24.000,0,ibytes,1143
2026-05-19 14:22:24.000,0,ierrors,0
2026-05-19 14:22:24.000,0,rx_nombuf,0
2026-05-19 14:22:24.000,n,Value,1
2026-05-19 14:22:25.000,0,oerrors,172
2026-05-19 14:22:25.000,0,imissed,0
2026-05-19 14:22:25.000,0,ipackets,4
2026-05-19 14:22:25.000,0,obytes,3835334468
2026-05-19 14:22:25.000,0,opackets,63922271
2026-05-19 14:22:25.000,0,ibytes,1143
2026-05-19 14:22:25.000,0,ierrors,0
2026-05-19 14:22:25.000,0,rx_nombuf,0
2026-05-19 14:22:25.000,n,Value,1
2026-05-19 14:22:26.000,0,oerrors,272
2026-05-19 14:22:26.000,0,imissed,0
2026-05-19 14:22:26.000,0,ipackets,4
2026-05-19 14:22:26.000,0,obytes,6067526460
2026-05-19 14:22:26.000,0,opackets,101125473
2026-05-19 14:22:26.000,0,ibytes,1143
2026-05-19 14:22:26.000,0,ierrors,0
2026-05-19 14:22:26.000,0,rx_nombuf,0
2026-05-19 14:22:26.000,n,Value,1
2026-05-19 14:22:27.000,0,oerrors,372
2026-05-19 14:22:27.000,0,imissed,0
2026-05-19 14:22:27.000,0,ipackets,4
2026-05-19 14:22:27.000,0,obytes,8299718528
2026-05-19 14:22:27.000,0,opackets,138328672
2026-05-19 14:22:27.000,0,ibytes,1143
2026-05-19 14:22:27.000,0,ierrors,0
2026-05-19 14:22:27.000,0,rx_nombuf,0
2026-05-19 14:22:27.000,n,Value,1
2026-05-19 14:22:28.000,0,oerrors,472
2026-05-19 14:22:28.000,0,imissed,0
2026-05-19 14:22:28.000,0,ipackets,4
2026-05-19 14:22:28.000,0,obytes,10531910044
2026-05-19 14:22:28.000,0,opackets,175531865
2026-05-19 14:22:28.000,0,ibytes,1143
2026-05-19 14:22:28.000,0,ierrors,0
2026-05-19 14:22:28.000,0,rx_nombuf,0
2026-05-19 14:22:28.000,n,Value,1
2026-05-19 14:22:29.000,0,oerrors,572
2026-05-19 14:22:29.000,0,imissed,0
2026-05-19 14:22:29.000,0,ipackets,4
2026-05-19 14:22:29.000,0,obytes,12764101924
2026-05-19 14:22:29.000,0,opackets,212735063
2026-05-19 14:22:29.000,0,ibytes,1143
2026-05-19 14:22:29.000,0,ierrors,0
2026-05-19 14:22:29.000,0,rx_nombuf,0
2026-05-19 14:22:29.000,n,Value,1
2026-05-19 14:22:30.000,0,oerrors,672
2026-05-19 14:22:30.000,0,imissed,0
2026-05-19 14:22:30.000,0,ipackets,4
2026-05-19 14:22:30.000,0,obytes,14996293736
2026-05-19 14:22:30.000,0,opackets,249938262
2026-05-19 14:22:30.000,0,ibytes,1143
2026-05-19 14:22:30.000,0,ierrors,0
2026-05-19 14:22:30.000,0,rx_nombuf,0
2026-05-19 14:22:30.000,n,Value,1
2026-05-19 14:22:31.000,0,oerrors,772
2026-05-19 14:22:31.000,0,imissed,0
2026-05-19 14:22:31.000,0,ipackets,4
2026-05-19 14:22:31.000,0,obytes,17228485800
2026-05-19 14:22:31.000,0,opackets,287141462
2026-05-19 14:22:31.000,0,ibytes,1143
2026-05-19 14:22:31.000,0,ierrors,0
2026-05-19 14:22:31.000,0,rx_nombuf,0
2026-05-19 14:22:31.000,n,Value,1
2026-05-19 14:22:32.000,0,oerrors,872
2026-05-19 14:22:32.000,0,imissed,0
2026-05-19 14:22:32.000,0,ipackets,4
2026-05-19 14:22:32.000,0,obytes,19460232964
2026-05-19 14:22:32.000,0,opackets,324337247
2026-05-19 14:22:32.000,0,ibytes,1143
2026-05-19 14:22:32.000,0,ierrors,0
2026-05-19 14:22:32.000,0,rx_nombuf,0
2026-05-19 14:22:32.000,n,Value,1
2026-05-19 14:22:33.000,0,oerrors,972
2026-05-19 14:22:33.000,0,imissed,0
2026-05-19 14:22:33.000,0,ipackets,4
2026-05-19 14:22:33.000,0,obytes,21691545188
2026-05-19 14:22:33.000,0,opackets,361525783
2026-05-19 14:22:33.000,0,ibytes,1143
2026-05-19 14:22:33.000,0,ierrors,0
2026-05-19 14:22:33.000,0,rx_nombuf,0
2026-05-19 14:22:33.000,n,Value,1
2026-05-19 14:22:34.000,0,oerrors,1072
2026-05-19 14:22:34.000,0,imissed,0
2026-05-19 14:22:34.000,0,ipackets,4
2026-05-19 14:22:34.000,0,obytes,23923736348
2026-05-19 14:22:34.000,0,opackets,398728969
2026-05-19 14:22:34.000,0,ibytes,1143
2026-05-19 14:22:34.000,0,ierrors,0
2026-05-19 14:22:34.000,0,rx_nombuf,0
2026-05-19 14:22:34.000,n,Value,1
2026-05-19 14:22:35.000,0,oerrors,1172
2026-05-19 14:22:35.000,0,imissed,0
2026-05-19 14:22:35.000,0,ipackets,4
2026-05-19 14:22:35.000,0,obytes,26155928280
2026-05-19 14:22:35.000,0,opackets,435932170
2026-05-19 14:22:35.000,0,ibytes,1143
2026-05-19 14:22:35.000,0,ierrors,0
2026-05-19 14:22:35.000,0,rx_nombuf,0
2026-05-19 14:22:35.000,n,Value,1
2026-05-19 14:22:36.000,0,oerrors,1272
2026-05-19 14:22:36.000,0,imissed,0
2026-05-19 14:22:36.000,0,ipackets,4
2026-05-19 14:22:36.000,0,obytes,28388119740
2026-05-19 14:22:36.000,0,opackets,473135361
2026-05-19 14:22:36.000,0,ibytes,1143
2026-05-19 14:22:36.000,0,ierrors,0
2026-05-19 14:22:36.000,0,rx_nombuf,0
2026-05-19 14:22:36.000,n,Value,1
2026-05-19 14:22:37.000,0,oerrors,1372
2026-05-19 14:22:37.000,0,imissed,0
2026-05-19 14:22:37.000,0,ipackets,4
2026-05-19 14:22:37.000,0,obytes,30620312644
2026-05-19 14:22:37.000,0,opackets,510338575
2026-05-19 14:22:37.000,0,ibytes,1143
2026-05-19 14:22:37.000,0,ierrors,0
2026-05-19 14:22:37.000,0,rx_nombuf,0
2026-05-19 14:22:37.000,n,Value,1
2026-05-19 14:22:38.000,0,oerrors,1472
2026-05-19 14:22:38.000,0,imissed,0
2026-05-19 14:22:38.000,0,ipackets,4
2026-05-19 14:22:38.000,0,obytes,32850529628
2026-05-19 14:22:38.000,0,opackets,547508857
2026-05-19 14:22:38.000,0,ibytes,1143
2026-05-19 14:22:38.000,0,ierrors,0
