Time,Port,Metric,Value
2026-05-29 15:11:25.000,0,obytes,0
2026-05-29 15:11:25.000,0,ierrors,0
2026-05-29 15:11:25.000,0,imissed,0
2026-05-29 15:11:25.000,0,ipackets,3
2026-05-29 15:11:25.000,0,rx_nombuf,0
2026-05-29 15:11:25.000,0,opackets,0
2026-05-29 15:11:25.000,0,ibytes,871
2026-05-29 15:11:25.000,0,oerrors,0
2026-05-29 15:11:25.000,n,Value,1
2026-05-29 15:11:26.000,0,obytes,0
2026-05-29 15:11:26.000,0,ierrors,0
2026-05-29 15:11:26.000,0,imissed,0
2026-05-29 15:11:26.000,0,ipackets,3
2026-05-29 15:11:26.000,0,rx_nombuf,0
2026-05-29 15:11:26.000,0,opackets,0
2026-05-29 15:11:26.000,0,ibytes,871
2026-05-29 15:11:26.000,0,oerrors,0
2026-05-29 15:11:26.000,n,Value,1
2026-05-29 15:11:27.000,0,obytes,0
2026-05-29 15:11:27.000,0,ierrors,0
2026-05-29 15:11:27.000,0,imissed,0
2026-05-29 15:11:27.000,0,ipackets,3
2026-05-29 15:11:27.000,0,rx_nombuf,0
2026-05-29 15:11:27.000,0,opackets,0
2026-05-29 15:11:27.000,0,ibytes,871
2026-05-29 15:11:27.000,0,oerrors,0
2026-05-29 15:11:27.000,n,Value,1
2026-05-29 15:11:28.000,0,obytes,0
2026-05-29 15:11:28.000,0,ierrors,0
2026-05-29 15:11:28.000,0,imissed,0
2026-05-29 15:11:28.000,0,ipackets,3
2026-05-29 15:11:28.000,0,rx_nombuf,0
2026-05-29 15:11:28.000,0,opackets,0
2026-05-29 15:11:28.000,0,ibytes,871
2026-05-29 15:11:28.000,0,oerrors,0
2026-05-29 15:11:28.000,n,Value,1
2026-05-29 15:11:29.000,0,obytes,0
2026-05-29 15:11:29.000,0,ierrors,0
2026-05-29 15:11:29.000,0,imissed,0
2026-05-29 15:11:29.000,0,ipackets,3
2026-05-29 15:11:29.000,0,rx_nombuf,0
2026-05-29 15:11:29.000,0,opackets,0
2026-05-29 15:11:29.000,0,ibytes,871
2026-05-29 15:11:29.000,0,oerrors,0
2026-05-29 15:11:29.000,n,Value,1
2026-05-29 15:11:30.000,0,obytes,0
2026-05-29 15:11:30.000,0,ierrors,0
2026-05-29 15:11:30.000,0,imissed,0
2026-05-29 15:11:30.000,0,ipackets,3
2026-05-29 15:11:30.000,0,rx_nombuf,0
2026-05-29 15:11:30.000,0,opackets,0
2026-05-29 15:11:30.000,0,ibytes,871
2026-05-29 15:11:30.000,0,oerrors,0
2026-05-29 15:11:30.000,n,Value,1
2026-05-29 15:11:31.000,0,obytes,0
2026-05-29 15:11:31.000,0,ierrors,0
2026-05-29 15:11:31.000,0,imissed,0
2026-05-29 15:11:31.000,0,ipackets,3
2026-05-29 15:11:31.000,0,rx_nombuf,0
2026-05-29 15:11:31.000,0,opackets,0
2026-05-29 15:11:31.000,0,ibytes,871
2026-05-29 15:11:31.000,0,oerrors,0
2026-05-29 15:11:31.000,n,Value,1
2026-05-29 15:11:32.000,0,obytes,0
2026-05-29 15:11:32.000,0,ierrors,0
2026-05-29 15:11:32.000,0,imissed,0
2026-05-29 15:11:32.000,0,ipackets,3
2026-05-29 15:11:32.000,0,rx_nombuf,0
2026-05-29 15:11:32.000,0,opackets,0
2026-05-29 15:11:32.000,0,ibytes,871
2026-05-29 15:11:32.000,0,oerrors,0
2026-05-29 15:11:32.000,n,Value,1
2026-05-29 15:11:33.000,0,obytes,0
2026-05-29 15:11:33.000,0,ierrors,0
2026-05-29 15:11:33.000,0,imissed,0
2026-05-29 15:11:33.000,0,ipackets,3
2026-05-29 15:11:33.000,0,rx_nombuf,0
2026-05-29 15:11:33.000,0,opackets,0
2026-05-29 15:11:33.000,0,ibytes,871
2026-05-29 15:11:33.000,0,oerrors,0
2026-05-29 15:11:33.000,n,Value,1
2026-05-29 15:11:34.000,0,obytes,0
2026-05-29 15:11:34.000,0,ierrors,0
2026-05-29 15:11:34.000,0,imissed,0
2026-05-29 15:11:34.000,0,ipackets,3
2026-05-29 15:11:34.000,0,rx_nombuf,0
2026-05-29 15:11:34.000,0,opackets,0
2026-05-29 15:11:34.000,0,ibytes,871
2026-05-29 15:11:34.000,0,oerrors,0
2026-05-29 15:11:34.000,n,Value,1
2026-05-29 15:11:35.000,0,obytes,0
2026-05-29 15:11:35.000,0,ierrors,0
2026-05-29 15:11:35.000,0,imissed,0
2026-05-29 15:11:35.000,0,ipackets,3
2026-05-29 15:11:35.000,0,rx_nombuf,0
2026-05-29 15:11:35.000,0,opackets,0
2026-05-29 15:11:35.000,0,ibytes,871
2026-05-29 15:11:35.000,0,oerrors,0
2026-05-29 15:11:35.000,n,Value,1
2026-05-29 15:11:36.000,0,obytes,0
2026-05-29 15:11:36.000,0,ierrors,0
2026-05-29 15:11:36.000,0,imissed,0
2026-05-29 15:11:36.000,0,ipackets,3
2026-05-29 15:11:36.000,0,rx_nombuf,0
2026-05-29 15:11:36.000,0,opackets,0
2026-05-29 15:11:36.000,0,ibytes,871
2026-05-29 15:11:36.000,0,oerrors,0
2026-05-29 15:11:36.000,n,Value,1
2026-05-29 15:11:37.000,0,obytes,0
2026-05-29 15:11:37.000,0,ierrors,0
2026-05-29 15:11:37.000,0,imissed,0
2026-05-29 15:11:37.000,0,ipackets,3
2026-05-29 15:11:37.000,0,rx_nombuf,0
2026-05-29 15:11:37.000,0,opackets,0
2026-05-29 15:11:37.000,0,ibytes,871
2026-05-29 15:11:37.000,0,oerrors,0
2026-05-29 15:11:37.000,n,Value,1
2026-05-29 15:11:38.000,0,obytes,0
2026-05-29 15:11:38.000,0,ierrors,0
2026-05-29 15:11:38.000,0,imissed,0
2026-05-29 15:11:38.000,0,ipackets,3
2026-05-29 15:11:38.000,0,rx_nombuf,0
2026-05-29 15:11:38.000,0,opackets,0
2026-05-29 15:11:38.000,0,ibytes,871
2026-05-29 15:11:38.000,0,oerrors,0
2026-05-29 15:11:38.000,n,Value,1
2026-05-29 15:11:39.000,0,obytes,0
2026-05-29 15:11:39.000,0,ierrors,0
2026-05-29 15:11:39.000,0,imissed,0
2026-05-29 15:11:39.000,0,ipackets,3
2026-05-29 15:11:39.000,0,rx_nombuf,0
2026-05-29 15:11:39.000,0,opackets,0
2026-05-29 15:11:39.000,0,ibytes,871
2026-05-29 15:11:39.000,0,oerrors,0
2026-05-29 15:11:39.000,n,Value,1
